,squad,goals_assists_pens_perG,goals,fouls,goals_assists_perG,shots_on_target,assists,players_used,cards_yellow,goals_perG,cards_red,shots_on_target_perG,fouls_perG,cards_perG,pens_made,games,goals_pens_perG,pens_att
0,Arsenal,3.82,84,515,3.95,259,66,28,56,2.21,3,6.82,13.55,1.55,5,38,2.08,6
1,Aston Villa,1.79,42,571,1.87,196,29,27,65,1.11,4,5.16,15.03,1.82,3,38,1.03,4
2,Birmingham City,1.63,40,553,1.74,141,26,34,70,1.05,4,3.71,14.55,1.95,4,38,0.95,5
3,Blackburn Rovers,2.18,50,590,2.32,174,38,27,62,1.32,4,4.58,15.53,1.74,5,38,1.18,6
4,Bolton Wanderers,1.45,38,464,1.63,152,24,27,66,1.00,4,4.00,12.21,1.84,1,38,0.82,2
5,Charlton Athletic,1.66,43,533,1.76,156,24,26,57,1.13,2,4.11,14.03,1.55,4,38,1.03,5
6,Chelsea,2.74,67,498,2.82,222,40,21,63,1.76,1,5.84,13.11,1.68,3,38,1.68,3
7,Everton,2.00,48,514,2.11,182,32,26,52,1.26,7,4.79,13.53,1.55,4,38,1.16,4
8,Fulham,1.45,38,540,1.61,182,23,27,56,1.00,6,4.79,14.21,1.63,6,38,0.84,7
9,Leeds United,2.34,54,568,2.45,176,39,26,69,1.42,2,4.63,14.95,1.87,4,38,1.32,5
10,Liverpool,2.79,61,439,2.89,209,49,23,48,1.61,3,5.50,11.55,1.34,4,38,1.50,6
11,Manchester City,2.24,47,510,2.29,168,40,26,55,1.24,6,4.42,13.42,1.61,2,38,1.18,2
12,Manchester United,3.16,73,488,3.39,235,56,26,49,1.92,1,6.18,12.84,1.32,9,38,1.68,9
13,Middlesbrough,2.00,48,515,2.08,139,31,29,52,1.26,5,3.66,13.55,1.50,2,38,1.18,3
14,Newcastle United,2.68,63,500,2.76,221,42,25,50,1.66,3,5.82,13.16,1.39,3,38,1.58,4
15,Southampton,1.58,42,548,1.74,191,24,24,47,1.11,3,5.03,14.42,1.32,6,38,0.95,6
16,Sunderland,0.95,21,573,0.97,142,16,33,61,0.55,0,3.74,15.08,1.61,1,38,0.53,3
17,Tottenham Hotspur,2.05,50,497,2.24,166,35,24,60,1.32,6,4.37,13.08,1.66,3,38,1.16,3
18,West Bromwich Albion,1.03,29,573,1.05,167,11,22,54,0.76,4,4.39,15.08,1.53,1,38,0.74,1
19,West Ham United,1.74,41,542,1.84,185,29,24,68,1.08,4,4.87,14.26,1.89,4,38,0.97,5
