,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,780",49,13,0,42,42,1.17,90,190,31.0,2,13,17,.742,12
1,Aston Villa,"3,780",56,11,1,42,43,1.33,88,197,26.2,2,11,16,.716,15
2,Blackburn Rovers,"3,790",39,16,1,42,43,0.93,88,165,38.1,2,27,7,.764,8
3,Chelsea,"3,780",55,13,0,42,42,1.31,90,214,31.0,2,13,14,.743,15
4,Coventry City,"3,780",62,13,0,42,42,1.48,90,213,31.0,3,12,16,.709,14
5,Crystal Palace,"3,780",49,14,1,42,43,1.17,88,196,33.3,2,11,19,.750,12
6,Everton,"3,780",51,14,0,42,42,1.21,90,232,33.3,2,11,14,.780,17
7,Ipswich Town,"3,780",93,3,0,42,42,2.21,90,285,7.1,3,7,29,.674,6
8,Leeds United,"3,780",38,17,0,42,42,0.90,90,198,40.5,1,20,9,.808,13
9,Leicester City,"3,780",80,4,0,42,42,1.90,90,245,9.5,2,6,25,.673,11
10,Liverpool,"3,780",37,16,0,42,42,0.88,90,170,38.1,1,21,10,.782,11
11,Manchester City,"3,780",64,10,1,42,43,1.52,88,224,23.8,3,12,17,.714,13
12,Manchester United,"3,780",28,24,0,42,42,0.67,90,160,57.1,2,26,6,.825,10
13,Newcastle United,"3,730",47,14,2,42,44,1.13,85,185,33.3,2,20,10,.746,12
14,Norwich City,"3,780",53,10,0,42,42,1.26,90,194,23.8,3,10,18,.727,13
15,Nottingham Forest,"3,780",43,13,0,42,42,1.02,90,169,31.0,1,22,9,.746,11
16,Queens Park Rangers,"3,780",59,10,0,42,42,1.40,90,194,23.8,2,17,16,.696,9
17,Sheffield Wednesday,"3,750",57,12,1,42,43,1.37,87,195,28.6,2,13,17,.708,12
18,Southampton,"3,870",63,9,1,42,43,1.47,90,222,21.4,2,12,12,.716,18
19,Tottenham Hotspur,"3,780",58,11,0,42,42,1.38,90,181,26.2,2,16,12,.680,14
20,West Ham United,"3,780",48,13,0,42,42,1.14,90,192,31.0,1,13,18,.750,11
21,Wimbledon,"3,780",65,12,0,42,42,1.55,90,211,28.6,2,15,16,.692,11
