,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,420",36,14,1,38,39,0.95,88,178,36.8,3,26,3,.798,9
1,Aston Villa,"3,420",47,8,0,38,38,1.24,90,193,21.1,2,12,12,.756,14
2,Blackburn Rovers,"3,420",51,8,0,38,38,1.34,90,250,21.1,2,12,16,.796,10
3,Bolton Wanderers,"3,448",65,7,2,38,40,1.70,86,252,18.4,5,9,16,.742,13
4,Charlton Athletic,"3,420",49,12,0,38,38,1.29,90,223,31.6,1,10,14,.780,14
5,Chelsea,"3,510",38,15,1,38,39,0.97,90,192,39.5,3,17,8,.802,13
6,Derby County,"3,410",63,6,1,38,39,1.66,87,248,15.8,3,8,24,.746,6
7,Everton,"3,420",57,11,0,38,38,1.50,90,241,28.9,2,11,17,.763,10
8,Fulham,"3,420",44,15,1,38,39,1.16,88,207,39.5,2,10,14,.787,14
9,Ipswich Town,"3,150",64,8,1,34,35,1.83,90,224,23.5,3,9,20,.714,9
10,Leeds United,"3,420",37,18,0,38,38,0.97,90,195,47.4,1,18,8,.810,12
11,Leicester City,"3,420",64,7,1,38,39,1.68,88,242,18.4,2,5,20,.736,13
12,Liverpool,"3,330",30,18,1,37,38,0.81,88,156,48.6,3,24,6,.808,8
13,Manchester United,"3,440",44,13,1,38,39,1.15,88,168,34.2,2,24,9,.738,5
14,Middlesbrough,"3,399",47,12,2,38,40,1.24,85,249,31.6,3,12,17,.811,9
15,Newcastle United,"3,420",52,9,0,38,38,1.37,90,225,23.7,1,21,9,.769,8
16,Southampton,"3,420",54,9,0,38,38,1.42,90,204,23.7,2,12,17,.735,9
17,Sunderland,"3,420",51,11,0,38,38,1.34,90,229,28.9,2,10,18,.777,10
18,Tottenham Hotspur,"3,420",53,8,0,38,38,1.39,90,199,21.1,2,14,16,.734,8
19,West Ham United,"3,420",57,13,0,38,38,1.50,90,215,34.2,2,15,15,.735,8
