,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,420",33,19,0,38,38,0.87,90,134,50.0,2,23,6,.754,9
1,Aston Villa,"3,420",48,9,0,38,38,1.26,90,163,23.7,2,17,15,.706,6
2,Barnsley,"3,484",82,5,1,38,39,2.12,89,284,13.2,2,10,23,.711,5
3,Blackburn Rovers,"4,320",71,15,0,48,48,1.48,90,245,31.3,4,18,17,.710,11
4,Bolton Wanderers,"3,472",61,10,2,38,40,1.58,87,217,26.3,2,9,16,.719,13
5,Chelsea,"3,420",43,14,0,38,38,1.13,90,168,36.8,2,20,15,.744,3
6,Coventry City,"3,510",44,13,0,39,39,1.13,90,192,33.3,2,12,10,.771,16
7,Crystal Palace,"3,420",71,6,0,38,38,1.87,90,250,15.8,1,8,21,.716,9
8,Derby County,"3,420",49,13,0,38,38,1.29,90,138,34.2,2,16,15,.645,7
9,Everton,"3,420",56,10,0,38,38,1.47,90,197,26.3,3,9,16,.716,13
10,Leeds United,"3,420",57,11,0,38,38,1.50,90,176,28.9,2,17,14,.676,8
11,Leicester City,"3,420",41,15,0,38,38,1.08,90,194,39.5,2,13,11,.789,14
12,Liverpool,"3,420",42,13,0,38,38,1.11,90,158,34.2,2,18,9,.734,11
13,Manchester United,"3,510",26,20,0,39,39,0.67,90,138,51.3,3,23,7,.812,8
14,Newcastle United,"3,510",44,9,0,39,39,1.13,90,154,23.1,3,11,16,.714,11
15,Sheffield Wednesday,"3,484",67,8,1,38,39,1.73,89,205,21.1,2,12,18,.673,8
16,Southampton,"3,420",55,8,0,38,38,1.45,90,194,21.1,1,14,18,.716,6
17,Tottenham Hotspur,"3,420",56,10,0,38,38,1.47,90,194,26.3,2,11,16,.711,11
18,West Ham United,"3,420",57,8,0,38,38,1.50,90,199,21.1,3,16,14,.714,8
19,Wimbledon,"3,420",46,13,0,38,38,1.21,90,182,34.2,1,10,14,.747,14
