,squad,games_starts,minutes,clean_sheets_perc,losses,wins,goals_against_per90,games_subs,keepers_used,minutes_per_game,goals_against,shots_on_target_against,save_perc,games,draws,clean_sheets
0,Arsenal,38,"3,420",36.8,7,21,0.97,0,3,90,37,142,.739,38,10,14
1,Aston Villa,38,"3,420",13.2,17,10,1.82,0,2,90,69,193,.642,38,11,5
2,Chelsea,38,"3,420",36.8,7,22,1.03,1,2,88,39,162,.759,39,9,14
3,Everton,38,"3,420",28.9,7,16,1.05,0,2,90,40,143,.720,38,15,11
4,Fulham,38,"3,420",21.1,17,11,1.58,0,2,90,60,198,.697,38,10,8
5,Liverpool,38,"3,420",42.1,9,16,1.13,0,2,90,43,135,.681,38,13,16
6,Manchester City,38,"3,420",47.4,6,23,0.89,0,1,90,34,112,.696,38,9,18
7,Manchester United,38,"3,420",34.2,5,28,1.13,0,2,90,43,152,.717,38,5,13
8,Newcastle United,38,"3,420",15.8,19,11,1.79,2,3,86,68,189,.640,40,8,6
9,Norwich City,38,"3,420",26.3,14,10,1.53,3,3,83,58,176,.670,41,14,10
10,Queens Park Rangers,38,"3,420",18.4,21,4,1.58,2,2,86,60,192,.688,40,13,7
11,Reading,38,"3,420",13.2,22,6,1.92,0,3,90,73,236,.691,38,10,5
12,Southampton,38,"3,420",18.4,15,9,1.58,1,3,88,60,162,.630,39,14,7
13,Stoke City,38,"3,420",31.6,14,9,1.18,0,1,90,45,154,.708,38,15,12
14,Sunderland,38,"3,420",28.9,17,9,1.42,0,1,90,54,200,.730,38,12,11
15,Swansea City,38,"3,420",26.3,14,11,1.34,2,2,86,51,201,.746,40,13,10
16,Tottenham Hotspur,38,"3,420",23.7,8,21,1.21,0,2,90,46,127,.638,38,9,9
17,West Bromwich Albion,38,"3,420",21.1,17,14,1.50,0,2,90,57,177,.678,38,7,8
18,West Ham United,38,"3,420",28.9,16,12,1.39,0,1,90,53,215,.753,38,10,11
19,Wigan Athletic,38,"3,420",13.2,20,9,1.92,0,2,90,73,188,.612,38,9,5
