,squad,goals_assists_pens_perG,goals,fouls,goals_assists_perG,shots_on_target,assists,players_used,cards_yellow,goals_perG,cards_red,shots_on_target_perG,fouls_perG,cards_perG,pens_made,games,goals_pens_perG,pens_att
0,Arsenal,3.97,86,441,4.05,301,68,24,46,2.26,1,7.92,11.61,1.24,3,38,2.18,4
1,Aston Villa,1.95,43,583,2.03,213,34,21,55,1.13,2,5.61,15.34,1.50,3,38,1.05,6
2,Birmingham City,1.45,37,492,1.50,158,24,25,61,0.97,3,4.16,12.95,1.68,2,38,0.82,2
3,Blackburn Rovers,1.39,31,554,1.45,196,24,27,73,0.82,5,5.16,14.58,2.05,2,38,0.76,3
4,Bolton Wanderers,2.03,49,538,2.16,260,33,24,58,1.29,2,6.84,14.16,1.58,5,38,1.16,6
5,Charlton Athletic,1.82,41,450,1.82,171,28,21,35,1.08,4,4.50,11.84,1.03,0,38,1.08,0
6,Chelsea,3.26,71,479,3.39,310,58,27,54,1.87,0,8.16,12.61,1.42,5,38,1.74,6
7,Crystal Palace,1.55,43,539,1.82,191,26,26,58,1.13,3,5.03,14.18,1.61,10,38,0.87,12
8,Everton,2.03,45,508,2.08,173,34,21,55,1.18,4,4.55,13.37,1.55,2,38,1.13,3
9,Fulham,2.34,52,477,2.39,187,39,24,56,1.37,7,4.92,12.55,1.66,2,38,1.32,4
10,Liverpool,2.32,49,430,2.39,245,42,28,45,1.29,2,6.45,11.32,1.24,3,38,1.21,5
11,Manchester City,1.92,45,475,2.05,213,33,24,44,1.18,3,5.61,12.50,1.24,5,38,1.05,6
12,Manchester United,2.61,57,477,2.68,337,45,24,56,1.50,5,8.87,12.55,1.61,3,38,1.42,4
13,Middlesbrough,2.29,49,474,2.32,242,39,27,54,1.29,2,6.37,12.47,1.47,1,38,1.26,1
14,Newcastle United,1.92,44,526,2.00,240,32,26,65,1.16,6,6.32,13.84,1.87,3,38,1.08,3
15,Norwich City,1.76,41,534,1.84,183,29,25,39,1.08,2,4.82,14.05,1.08,3,38,1.00,4
16,Portsmouth,1.71,41,393,1.87,173,30,23,45,1.08,1,4.55,10.34,1.21,6,38,0.92,6
17,Southampton,1.84,44,431,1.92,173,30,28,45,1.16,2,4.55,11.34,1.11,3,38,1.05,3
18,Tottenham Hotspur,2.05,47,424,2.08,242,32,27,49,1.24,1,6.37,11.16,1.32,1,38,1.21,1
19,West Bromwich Albion,1.50,34,512,1.55,191,25,26,41,0.89,5,5.03,13.47,1.21,2,38,0.84,3
