,squad,goals_assists_pens_perG,goals,fouls,goals_assists_perG,shots_on_target,assists,players_used,cards_yellow,goals_perG,cards_red,shots_on_target_perG,fouls_perG,cards_perG,pens_made,games,goals_pens_perG,pens_att
0,Arsenal,2.19,54,,2.26,201,41,30,59,1.29,4,4.79,,1.50,3,42,1.21,4
1,Aston Villa,1.95,48,,1.98,175,39,23,52,1.14,3,4.17,,1.31,1,42,1.02,1
2,Blackburn Rovers,3.00,78,,3.24,264,58,19,49,1.86,4,6.29,,1.26,10,42,1.62,12
3,Chelsea,2.02,47,,2.05,191,39,23,58,1.12,3,4.55,,1.45,1,42,1.10,2
4,Coventry City,1.74,42,,1.86,204,36,27,63,1.00,2,4.86,,1.55,5,42,0.88,5
5,Crystal Palace,1.14,33,,1.17,132,22,22,50,0.79,1,3.14,,1.21,1,42,0.62,3
6,Everton,1.93,43,,1.95,186,39,24,54,1.02,6,4.43,,1.43,1,42,1.00,3
7,Ipswich Town,1.07,27,,1.14,137,21,27,37,0.64,2,3.26,,0.93,3,42,0.57,3
8,Leeds United,2.36,56,,2.43,223,46,20,57,1.33,0,5.31,,1.36,3,42,1.26,4
9,Leicester City,1.74,46,,1.74,159,27,28,58,1.10,8,3.79,,1.57,0,42,1.10,1
10,Liverpool,2.26,60,,2.52,228,46,20,42,1.43,1,5.43,,0.90,5,42,1.24,6
11,Manchester City,2.33,53,,2.36,195,46,26,50,1.26,4,4.64,,1.29,1,42,1.24,2
12,Manchester United,2.81,76,,2.90,198,58,23,59,1.81,2,4.71,,1.45,4,42,1.43,4
13,Newcastle United,2.48,66,,2.57,172,54,22,51,1.57,4,4.10,,1.31,4,42,1.19,5
14,Norwich City,1.33,31,,1.38,145,27,24,61,0.74,1,3.45,,1.48,2,42,0.69,3
15,Nottingham Forest,3.19,71,,3.31,210,68,20,58,1.69,1,5.00,,1.40,5,42,1.57,6
16,Queens Park Rangers,2.55,60,,2.55,206,47,22,63,1.43,4,4.90,,1.60,0,42,1.43,1
17,Sheffield Wednesday,1.64,48,,1.67,158,34,25,52,1.14,3,3.76,,1.31,1,42,0.83,2
18,Southampton,2.05,61,,2.12,175,36,24,64,1.45,0,4.17,,1.52,3,42,1.19,3
19,Tottenham Hotspur,2.60,62,,2.64,199,49,24,44,1.48,2,4.74,,1.10,2,42,1.43,3
20,West Ham United,1.69,44,,1.81,184,32,24,63,1.05,4,4.38,,1.60,5,42,0.93,5
21,Wimbledon,1.69,40,,1.76,171,34,23,56,0.95,5,4.07,,1.45,3,42,0.88,4
