,squad,goals_assists_pens_perG,goals,fouls,goals_assists_perG,shots_on_target,assists,players_used,cards_yellow,goals_perG,cards_red,shots_on_target_perG,fouls_perG,cards_perG,pens_made,games,goals_pens_perG,pens_att
0,Arsenal,1.76,40,,1.76,179,34,28,34,0.95,1,4.26,,0.83,0,42,0.95,0
1,Aston Villa,2.26,56,,2.31,217,41,23,23,1.33,0,5.17,,0.55,2,42,1.29,3
2,Blackburn Rovers,2.74,66,,2.81,230,52,23,38,1.57,3,5.48,,0.98,3,42,1.50,4
3,Chelsea,2.12,50,,2.14,195,40,29,38,1.19,2,4.64,,0.95,1,42,1.17,1
4,Coventry City,1.64,48,,1.69,168,27,28,32,1.14,1,4.00,,0.79,2,42,1.00,3
5,Crystal Palace,1.79,45,,1.79,160,30,23,25,1.07,3,3.81,,0.67,0,42,1.07,1
6,Everton,1.90,51,,2.00,195,33,25,26,1.21,3,4.64,,0.69,4,42,1.12,4
7,Ipswich Town,1.79,50,,1.88,167,29,22,31,1.19,1,3.98,,0.76,4,42,1.10,5
8,Leeds United,1.88,55,,2.00,203,35,29,41,1.31,0,4.83,,0.98,5,42,1.05,5
9,Liverpool,2.24,61,,2.52,211,45,25,26,1.45,3,5.02,,0.69,8,42,1.21,9
10,Manchester City,2.19,53,,2.26,227,42,23,44,1.26,1,5.40,,1.07,3,42,1.19,4
11,Manchester United,2.14,66,,2.19,191,35,20,29,1.57,0,4.55,,0.69,2,42,1.31,2
12,Middlesbrough,2.07,49,,2.10,182,39,26,43,1.17,2,4.33,,1.07,1,42,1.14,2
13,Norwich City,2.33,58,,2.40,193,43,19,18,1.38,0,4.60,,0.43,3,42,1.31,4
14,Nottingham Forest,1.55,41,,1.64,176,30,23,27,0.98,1,4.19,,0.67,4,42,0.83,5
15,Oldham Athletic,2.43,61,,2.45,202,42,20,36,1.45,0,4.81,,0.86,1,42,1.43,2
16,Queens Park Rangers,2.45,61,,2.52,212,45,19,27,1.45,0,5.05,,0.64,3,42,1.38,4
17,Sheffield United,2.02,50,,2.05,209,36,21,45,1.19,3,4.98,,1.14,1,42,1.17,2
18,Sheffield Wednesday,2.17,54,,2.24,216,40,24,30,1.29,1,5.14,,0.74,3,42,1.21,3
19,Southampton,2.14,54,,2.19,205,38,18,49,1.29,3,4.88,,1.24,2,42,1.24,2
20,Tottenham Hotspur,1.67,38,,1.67,149,33,24,34,0.90,1,3.55,,0.83,0,42,0.88,0
21,Wimbledon,2.19,54,,2.24,198,40,22,49,1.29,3,4.71,,1.24,2,42,1.24,3
