,clean_sheets_perc,nationality,squad,draws,goals_against,player,save_perc,minutes_per_game,position,minutes,games_subs,games,age,wins,losses,goals_against_per90,games_starts,shots_on_target_against,clean_sheets
0,26.2,eng ENG,Crystal Palace,16,61,Nigel Martyn,.697,90,GK,"3,780",0,42,25,11,15,1.45,42,201,11
1,26.2,sco SCO,Norwich City,9,65,Bryan Gunn,.684,90,GK,"3,780",0,42,28,21,12,1.55,42,206,11
2,45.2,eng ENG,Blackburn Rovers,11,46,Bobby Mimms,.750,90,GK,"3,780",0,42,28,20,11,1.10,42,184,19
3,23.8,eng ENG,Southampton,11,61,Tim Flowers,.712,90,GK,"3,780",0,42,25,13,18,1.45,42,212,10
4,42.9,dk DEN,Manchester United,12,31,Peter Schmeichel,.782,90,GK,"3,780",0,42,28,24,6,0.74,42,142,18
5,31.7,nl NED,Wimbledon,11,53,Hans Segers,.710,90,GK,"3,690",0,41,30,14,16,1.29,41,183,13
6,27.5,eng ENG,Manchester City,12,45,Tony Coton,.744,89,GK,"3,545",0,40,31,15,15,1.14,40,176,11
7,38.5,eng ENG,Arsenal,10,33,David Seaman,.824,91,GK,"3,536",0,39,28,15,14,0.84,39,188,15
8,20.5,eng ENG,Sheffield Wednesday,15,46,Chris Woods,.723,90,GK,"3,510",0,39,32,13,12,1.18,39,166,8
9,28.2,eng ENG,Leeds United,14,53,John Lukic,.679,90,GK,"3,510",0,39,31,12,13,1.36,39,165,11
10,27.5,wal WAL,Everton,7,47,Neville Southall,.730,87,GK,"3,467",0,40,33,15,17,1.22,40,174,11
11,24.3,wal WAL,Nottingham Forest,9,55,Mark Crossley,.704,90,GK,"3,330",0,37,23,9,19,1.49,37,186,9
12,24.2,eng ENG,Coventry City,11,39,Steve Ogrizovic,.719,90,GK,"2,970",0,33,34,10,12,1.18,33,139,8
13,28.1,ie IRL,Sheffield United,8,39,Alan Kelly Jr.,.745,89,GK,"2,944",1,33,23,11,13,1.19,32,153,9
14,26.7,,Ipswich Town,9,40,Clive Baker,.699,87,GK,"2,705",1,31,33,8,13,1.33,30,133,8
15,31.0,eng ENG,Liverpool,10,34,David James,.699,90,GK,"2,610",0,29,21,8,10,1.17,29,113,9
