,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,420",36,13,1,38,39,0.95,88,128,34.2,3,22,7,.719,9
1,Aston Villa,"3,420",57,10,0,38,38,1.50,90,168,26.3,3,10,20,.661,8
2,Burnley,"3,420",53,10,0,38,38,1.39,90,179,26.3,1,7,19,.704,12
3,Chelsea,"3,420",32,17,1,38,39,0.84,88,121,44.7,2,26,3,.736,9
4,Crystal Palace,"3,420",51,7,1,38,39,1.34,88,144,18.4,2,13,16,.646,9
5,Everton,"3,420",50,10,1,38,39,1.32,88,128,26.3,2,12,15,.609,11
6,Hull City,"3,420",51,10,1,38,39,1.34,88,153,26.3,3,8,19,.667,11
7,Leicester City,"3,420",55,10,0,38,38,1.45,90,173,26.3,3,11,19,.682,8
8,Liverpool,"3,420",48,14,1,38,39,1.26,88,139,36.8,2,18,12,.655,8
9,Manchester City,"3,420",38,14,0,38,38,1.00,90,128,36.8,2,24,7,.703,7
10,Manchester United,"3,420",37,11,1,38,39,0.97,88,135,28.9,2,20,8,.726,10
11,Newcastle United,"3,420",63,8,1,38,39,1.66,88,161,21.1,3,10,19,.609,9
12,Queens Park Rangers,"3,420",73,6,1,38,39,1.92,88,209,15.8,2,8,24,.651,6
13,Southampton,"3,420",33,15,1,38,39,0.87,88,110,39.5,3,18,14,.700,6
14,Stoke City,"3,420",45,9,0,38,38,1.18,90,140,23.7,2,15,14,.679,9
15,Sunderland,"3,420",53,13,0,38,38,1.39,90,192,34.2,2,7,14,.724,17
16,Swansea City,"3,420",49,13,1,38,39,1.29,88,188,34.2,2,16,14,.739,8
17,Tottenham Hotspur,"3,420",53,9,1,38,39,1.39,88,170,23.7,2,19,12,.688,7
18,West Bromwich Albion,"3,420",51,16,1,38,39,1.34,88,182,42.1,2,11,16,.720,11
19,West Ham United,"3,420",47,9,1,38,39,1.24,88,174,23.7,2,12,15,.730,11
