,squad,goals_assists_pens_perG,goals,fouls,goals_assists_perG,shots_on_target,assists,players_used,cards_yellow,goals_perG,cards_red,shots_on_target_perG,fouls_perG,cards_perG,pens_made,games,goals_pens_perG,pens_att
0,Arsenal,2.89,69,377,3.05,226,47,29,69,1.82,2,5.95,9.92,1.87,6,38,1.66,7
1,Aston Villa,1.39,31,398,1.42,127,23,27,73,0.82,7,3.34,10.47,2.11,1,38,0.79,1
2,Burnley,1.26,27,406,1.29,124,22,24,65,0.71,2,3.26,10.68,1.76,1,38,0.68,2
3,Chelsea,3.34,72,382,3.45,209,59,25,74,1.89,4,5.50,10.05,2.05,4,38,1.79,5
4,Crystal Palace,1.79,46,527,1.92,139,27,30,67,1.21,4,3.66,13.87,1.87,5,38,1.08,7
5,Everton,1.95,47,387,2.05,167,31,28,68,1.24,2,4.39,10.18,1.84,4,38,1.13,7
6,Hull City,1.39,32,451,1.42,131,22,29,74,0.84,6,3.45,11.87,2.11,1,38,0.82,1
7,Leicester City,1.87,45,485,1.95,137,29,28,50,1.18,4,3.61,12.76,1.42,3,38,1.11,3
8,Liverpool,1.92,48,386,2.05,193,30,25,68,1.26,3,5.08,10.16,1.87,5,38,1.13,6
9,Manchester City,3.58,82,445,3.76,228,61,24,79,2.16,2,6.00,11.71,2.13,7,38,1.97,8
10,Manchester United,2.58,60,452,2.66,177,41,33,66,1.58,5,4.66,11.89,1.87,3,38,1.50,5
11,Newcastle United,1.82,40,433,1.84,140,30,27,72,1.05,7,3.68,11.39,2.08,1,38,1.03,1
12,Queens Park Rangers,1.71,39,450,1.79,149,29,32,77,1.03,3,3.92,11.84,2.11,3,38,0.95,5
13,Southampton,2.08,49,468,2.13,167,32,29,58,1.29,3,4.39,12.32,1.61,2,38,1.24,3
14,Stoke City,1.95,47,477,2.03,136,30,25,83,1.24,1,3.58,12.55,2.21,3,38,1.16,3
15,Sunderland,1.21,30,440,1.32,129,20,25,95,0.79,2,3.39,11.58,2.55,4,38,0.68,4
16,Swansea City,1.97,43,397,2.03,146,34,27,51,1.13,5,3.84,10.45,1.47,2,38,1.08,2
17,Tottenham Hotspur,2.45,56,442,2.53,171,40,27,80,1.47,4,4.50,11.63,2.21,3,38,1.39,5
18,West Bromwich Albion,1.63,37,420,1.74,132,29,26,64,0.97,3,3.47,11.05,1.76,4,38,0.87,5
19,West Ham United,2.00,43,416,2.03,153,34,26,62,1.13,1,4.03,10.95,1.66,1,38,1.11,2
