,squad,goals_assists_pens_perG,goals,fouls,goals_assists_perG,shots_on_target,assists,players_used,cards_yellow,goals_perG,cards_red,shots_on_target_perG,fouls_perG,cards_perG,pens_made,games,goals_pens_perG,pens_att
0,Arsenal,3.08,70,442,3.18,243,51,27,68,1.84,6,6.39,11.63,1.95,4,38,1.74,7
1,Aston Villa,1.92,45,448,2.03,167,32,32,70,1.18,2,4.39,11.79,1.89,4,38,1.08,6
2,Birmingham City,1.53,37,420,1.58,122,23,26,57,0.97,3,3.21,11.05,1.58,2,38,0.92,2
3,Blackburn Rovers,1.84,43,465,1.87,143,28,29,65,1.13,4,3.76,12.24,1.82,1,38,1.11,2
4,Blackpool,2.00,54,433,2.18,171,29,30,47,1.42,2,4.50,11.39,1.29,7,38,1.24,8
5,Bolton Wanderers,2.11,50,503,2.21,176,34,24,69,1.32,6,4.63,13.24,1.97,4,38,1.21,5
6,Chelsea,2.66,68,433,2.82,241,39,24,59,1.79,1,6.34,11.39,1.58,6,38,1.63,8
7,Everton,2.11,50,482,2.18,192,33,24,58,1.32,5,5.05,12.68,1.66,3,38,1.24,4
8,Fulham,2.05,48,477,2.11,182,32,29,52,1.26,1,4.79,12.55,1.39,2,38,1.21,3
9,Liverpool,2.13,58,458,2.32,204,30,30,64,1.53,2,5.37,12.05,1.74,7,38,1.34,8
10,Manchester City,2.18,56,481,2.39,182,35,27,73,1.47,5,4.79,12.66,2.05,8,38,1.26,9
11,Manchester United,3.45,75,420,3.53,218,59,29,58,1.97,3,5.74,11.05,1.61,3,38,1.89,5
12,Newcastle United,2.24,55,462,2.37,179,35,30,76,1.45,2,4.71,12.16,2.05,5,38,1.32,5
13,Stoke City,1.82,44,428,1.89,146,28,25,69,1.16,2,3.84,11.26,1.87,3,38,1.08,3
14,Sunderland,1.58,41,432,1.68,159,23,31,60,1.08,5,4.18,11.37,1.71,4,38,0.97,5
15,Tottenham Hotspur,2.18,54,382,2.32,202,34,28,51,1.42,2,5.32,10.05,1.39,5,38,1.29,5
16,West Bromwich Albion,2.24,52,425,2.34,183,37,28,54,1.37,7,4.82,11.18,1.61,4,38,1.26,6
17,West Ham United,1.50,41,447,1.63,176,21,35,59,1.08,1,4.63,11.76,1.58,5,38,0.95,6
18,Wigan Athletic,1.45,37,484,1.50,175,20,25,68,0.97,4,4.61,12.74,1.89,2,38,0.92,3
19,Wolverhampton Wanderers,1.87,45,473,1.95,145,29,30,63,1.18,2,3.82,12.45,1.71,3,38,1.11,3
