,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,330",41,16,0,37,37,1.11,90,147,43.2,1,23,7,.721,7
1,Aston Villa,"3,420",61,9,0,38,38,1.61,90,174,23.7,1,10,20,.649,8
2,Cardiff City,"3,420",74,7,0,38,38,1.95,90,220,18.4,2,7,22,.664,9
3,Chelsea,"3,420",27,18,0,38,38,0.71,90,121,47.4,2,25,6,.777,7
4,Crystal Palace,"3,420",48,12,0,38,38,1.26,90,169,31.6,2,13,19,.716,6
5,Everton,"3,420",39,15,1,38,39,1.03,88,148,39.5,2,21,8,.736,9
6,Fulham,"3,420",85,4,2,38,40,2.24,86,241,10.5,2,9,24,.647,5
7,Hull City,"3,419",53,10,2,38,40,1.40,85,164,26.3,3,10,21,.677,7
8,Liverpool,"3,420",50,10,0,38,38,1.32,90,152,26.3,1,26,6,.671,6
9,Manchester City,"3,420",37,16,0,38,38,0.97,90,126,42.1,2,27,6,.706,5
10,Manchester United,"3,420",43,13,0,38,38,1.13,90,143,34.2,2,19,12,.699,7
11,Newcastle United,"3,420",59,10,0,38,38,1.55,90,170,26.3,2,15,19,.653,4
12,Norwich City,"3,420",62,12,0,38,38,1.63,90,189,31.6,1,8,21,.672,9
13,Southampton,"3,420",46,15,1,38,39,1.21,88,132,39.5,3,15,12,.652,11
14,Stoke City,"3,420",52,9,1,38,39,1.37,88,173,23.7,3,13,14,.699,11
15,Sunderland,"3,420",60,11,1,38,39,1.58,88,217,28.9,2,10,20,.724,8
16,Swansea City,"3,420",54,8,0,38,38,1.42,90,155,21.1,2,11,18,.652,9
17,Tottenham Hotspur,"3,420",51,14,0,38,38,1.34,90,152,36.8,2,21,11,.664,6
18,West Bromwich Albion,"3,420",59,6,1,38,39,1.55,88,174,15.8,3,7,16,.661,15
19,West Ham United,"3,420",51,14,0,38,38,1.34,90,193,36.8,2,11,20,.736,7
