,squad,goals_assists_pens_perG,goals,fouls,goals_assists_perG,shots_on_target,assists,players_used,cards_yellow,goals_perG,cards_red,shots_on_target_perG,fouls_perG,cards_perG,pens_made,games,goals_pens_perG,pens_att
0,Arsenal,3.00,69,532,3.18,235,52,22,53,1.82,3,6.18,14.00,1.47,7,38,1.63,7
1,Aston Villa,2.05,48,609,2.16,182,34,24,56,1.26,3,4.79,16.03,1.55,4,38,1.16,5
2,Birmingham City,1.79,43,560,1.89,161,29,27,44,1.13,5,4.24,14.74,1.29,4,38,1.03,5
3,Blackburn Rovers,2.39,52,556,2.39,184,39,28,62,1.37,3,4.84,14.63,1.71,0,38,1.37,0
4,Bolton Wanderers,2.13,47,521,2.16,212,35,24,72,1.24,0,5.58,13.71,1.89,1,38,1.21,1
5,Charlton Athletic,1.92,50,494,2.08,154,29,23,36,1.32,2,4.05,13.00,1.00,6,38,1.16,8
6,Chelsea,3.18,67,543,3.29,216,58,27,52,1.76,4,5.68,14.29,1.47,4,38,1.66,4
7,Everton,1.89,42,474,1.92,160,31,26,55,1.11,3,4.21,12.47,1.53,1,38,1.08,1
8,Fulham,1.82,52,537,2.21,154,32,30,63,1.37,3,4.05,14.13,1.74,2,38,0.97,3
9,Leeds United,1.68,40,564,1.79,134,28,29,69,1.05,5,3.53,14.84,1.95,4,38,0.95,4
10,Leicester City,2.11,45,558,2.16,168,37,28,60,1.18,7,4.42,14.68,1.76,2,38,1.13,3
11,Liverpool,2.13,53,479,2.34,221,36,24,46,1.39,1,5.82,12.61,1.24,8,38,1.18,10
12,Manchester City,2.24,52,463,2.34,198,37,24,51,1.37,4,5.21,12.18,1.45,4,38,1.26,4
13,Manchester United,2.79,63,448,3.08,182,54,22,43,1.66,3,4.79,11.79,1.21,1,38,1.45,4
14,Middlesbrough,1.76,42,554,1.84,182,28,27,55,1.11,1,4.79,14.58,1.47,3,38,1.03,5
15,Newcastle United,2.08,53,534,2.26,178,33,23,47,1.39,3,4.68,14.05,1.32,7,38,1.21,10
16,Portsmouth,2.00,49,603,2.08,167,31,31,61,1.29,3,4.39,15.87,1.68,3,38,1.18,3
17,Southampton,1.79,43,504,1.84,175,27,27,53,1.13,3,4.61,13.26,1.47,2,38,1.08,2
18,Tottenham Hotspur,2.00,47,595,2.08,186,33,27,58,1.24,1,4.89,15.66,1.39,3,38,1.13,3
19,Wolverhampton Wanderers,1.66,39,520,1.68,177,25,27,67,1.03,2,4.66,13.68,1.82,1,38,1.00,4
