,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,420",41,14,0,38,38,1.08,90,129,36.8,3,23,9,.682,6
1,Aston Villa,"3,420",39,15,0,38,38,1.03,90,186,39.5,1,17,8,.790,13
2,Birmingham City,"3,420",47,11,0,38,38,1.24,90,208,28.9,2,13,14,.774,11
3,Blackburn Rovers,"3,420",55,13,1,38,39,1.45,88,176,34.2,2,13,14,.688,11
4,Bolton Wanderers,"3,420",67,5,0,38,38,1.76,90,208,13.2,1,10,19,.678,9
5,Burnley,"3,420",82,3,1,38,39,2.16,88,234,7.9,2,8,24,.650,6
6,Chelsea,"3,420",32,18,1,38,39,0.84,88,113,47.4,3,27,6,.717,5
7,Everton,"3,420",49,11,0,38,38,1.29,90,170,28.9,1,16,9,.712,13
8,Fulham,"3,420",46,12,0,38,38,1.21,90,176,31.6,2,12,16,.739,10
9,Hull City,"3,420",75,7,0,38,38,1.97,90,236,18.4,2,6,20,.682,12
10,Liverpool,"3,420",35,17,0,38,38,0.92,90,139,44.7,1,18,11,.748,9
11,Manchester City,"3,420",45,11,1,38,39,1.18,88,157,28.9,3,18,7,.713,13
12,Manchester United,"3,420",28,19,0,38,38,0.74,90,146,50.0,3,27,7,.808,4
13,Portsmouth,"3,420",66,7,2,38,40,1.74,86,211,18.4,3,7,24,.687,7
14,Stoke City,"3,420",48,14,2,38,40,1.26,86,192,36.8,3,11,13,.750,14
15,Sunderland,"3,420",56,7,1,38,39,1.47,88,199,18.4,2,11,16,.719,11
16,Tottenham Hotspur,"3,420",41,13,1,38,39,1.08,88,178,34.2,3,21,10,.770,7
17,West Ham United,"3,420",66,8,1,38,39,1.74,88,193,21.1,2,8,19,.658,11
18,Wigan Athletic,"3,420",79,8,2,38,40,2.08,86,206,21.1,3,9,20,.617,9
19,Wolverhampton Wanderers,"3,420",56,8,0,38,38,1.47,90,225,21.1,2,9,18,.751,11
