,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,420",36,18,0,38,38,0.95,90,149,47.4,2,20,7,.758,11
1,Aston Villa,"3,420",76,6,0,38,38,2.00,90,186,15.8,2,3,27,.591,8
2,Bournemouth,"3,420",67,7,1,38,39,1.76,88,153,18.4,3,11,18,.562,9
3,Chelsea,"3,419",53,9,2,38,40,1.40,85,172,23.7,2,12,12,.692,14
4,Crystal Palace,"3,420",51,8,0,38,38,1.34,90,168,21.1,3,11,18,.696,9
5,Everton,"3,420",55,10,0,38,38,1.45,90,180,26.3,2,11,13,.694,14
6,Leicester City,"3,420",36,15,0,38,38,0.95,90,136,39.5,1,23,3,.735,12
7,Liverpool,"3,420",50,0,0,38,38,1.32,90,130,0.0,3,16,10,.615,12
8,Manchester City,"3,420",41,16,1,38,39,1.08,88,125,42.1,2,19,10,.672,9
9,Manchester United,"3,420",35,18,0,38,38,0.92,90,120,47.4,2,19,10,.708,9
10,Newcastle United,"3,420",65,8,0,38,38,1.71,90,178,21.1,3,9,19,.635,10
11,Norwich City,"3,420",67,5,0,38,38,1.76,90,165,13.2,2,9,22,.594,7
12,Southampton,"3,420",41,12,0,38,38,1.08,90,133,31.6,4,18,11,.692,9
13,Stoke City,"3,420",55,10,1,38,39,1.45,88,175,26.3,3,14,15,.686,9
14,Sunderland,"3,420",62,7,0,38,38,1.63,90,214,18.4,3,9,17,.710,12
15,Swansea City,"3,420",52,9,0,38,38,1.37,90,165,23.7,2,12,15,.685,11
16,Tottenham Hotspur,"3,420",35,13,0,38,38,0.92,90,121,34.2,2,19,6,.711,13
17,Watford,"3,420",50,11,1,38,39,1.32,88,124,28.9,2,12,17,.597,9
18,West Bromwich Albion,"3,420",48,11,0,38,38,1.26,90,155,28.9,2,10,15,.690,13
19,West Ham United,"3,420",51,11,0,38,38,1.34,90,162,28.9,2,16,8,.685,14
