,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
0,0,Portsmouth,1,DF,0.03,0,0.00,"3,420",0.00,30,0.05,0.66,2,0.00,90,25,38,0,fr FRA,0,0.00,0,0,38,Sylvain Distin
1,0,Bolton Wanderers,0,GK,0.00,0,0.00,"3,420",0.00,33,0.08,0.00,3,0.00,90,0,38,0,fi FIN,0,0.00,0,0,38,Jussi Jääskeläinen
2,4,Hull City,12,DF,0.32,0,0.13,"3,420",0.11,24,0.08,1.24,3,0.11,90,47,38,1,,0,0.13,0,0,38,Michael Turner
3,0,West Ham United,0,GK,0.00,0,0.00,"3,420",0.00,28,0.00,0.00,0,0.00,90,0,38,0,eng ENG,0,0.00,0,0,38,Robert Green
4,0,Everton,0,GK,0.00,0,0.00,"3,420",0.00,29,0.00,0.00,0,0.00,90,0,38,0,us USA,0,0.00,0,0,38,Tim Howard
5,0,Fulham,0,GK,0.00,0,0.00,"3,420",0.00,35,0.00,0.00,0,0.00,90,0,38,0,au AUS,0,0.00,0,0,38,Mark Schwarzer
6,0,Liverpool,0,GK,0.00,0,0.00,"3,420",0.00,25,0.00,0.00,0,0.00,90,0,38,0,es ESP,0,0.00,0,0,38,Pepe Reina
7,0,Liverpool,3,"DF,MF",0.08,0,0.03,"3,400",0.00,30,0.11,0.66,4,0.00,90,25,38,1,eng ENG,0,0.03,0,0,38,Jamie Carragher
8,0,Fulham,0,DF,0.00,0,0.00,"3,395",0.00,28,0.00,0.19,0,0.00,89,7,38,0,nir NIR,0,0.00,0,0,38,Aaron Hughes
9,0,Aston Villa,0,GK,0.00,0,0.00,"3,394",0.00,37,0.05,0.00,1,0.00,89,0,38,0,us USA,0,0.00,1,0,38,Brad Friedel
10,5,Aston Villa,22,MF,0.59,0,0.16,"3,383",0.03,27,0.21,1.70,8,0.13,89,64,38,5,eng ENG,4,0.27,0,4,38,Gareth Barry
11,11,Bolton Wanderers,31,FW,0.83,1,0.37,"3,361",0.29,31,0.11,3.00,4,0.29,88,112,37,3,eng ENG,0,0.37,0,0,38,Kevin Davies
12,10,Portsmouth,40,FW,1.07,0,0.38,"3,358",0.27,27,0.08,1.23,3,0.27,88,46,38,4,eng ENG,0,0.38,0,0,38,Peter Crouch
13,5,Fulham,10,MF,0.27,0,0.11,"3,341",0.00,31,0.22,1.32,8,0.13,88,49,38,4,eng ENG,5,0.24,0,5,38,Danny Murphy
14,1,Wigan Athletic,7,DF,0.19,0,0.08,"3,341",0.03,25,0.11,1.13,4,0.03,88,42,38,2,hn HON,0,0.08,0,0,38,Maynor Figueroa
15,1,Fulham,7,DF,0.19,0,0.05,"3,330",0.03,27,0.08,0.76,3,0.03,90,28,37,1,no NOR,0,0.05,0,0,37,Brede Hangeland
16,0,Bolton Wanderers,2,"MF,DF",0.05,0,0.03,"3,321",0.00,27,0.08,0.87,3,0.00,87,32,38,1,tt TRI,0,0.03,0,0,38,Jlloyd Samuel
17,0,Fulham,1,"DF,MF",0.03,0,0.00,"3,290",0.00,27,0.19,1.23,7,0.00,89,45,37,0,gh GHA,0,0.00,0,0,37,John Paintsil
18,3,Bolton Wanderers,7,DF,0.19,0,0.22,"3,278",0.08,26,0.19,1.24,7,0.08,89,45,37,5,is ISL,0,0.22,0,0,37,Grétar Steinsson
19,3,Blackburn Rovers,8,DF,0.22,0,0.17,"3,271",0.08,26,0.22,1.10,8,0.08,88,40,37,3,eng ENG,0,0.17,0,0,37,Stephen Warnock
20,12,Chelsea,67,MF,1.85,0,0.55,"3,257",0.28,30,0.11,0.86,3,0.33,88,31,37,10,eng ENG,2,0.61,1,2,37,Frank Lampard
21,0,Middlesbrough,21,MF,0.58,0,0.11,"3,254",0.00,24,0.00,0.61,0,0.00,88,22,37,4,eng ENG,2,0.11,0,0,37,Stewart Downing
