,squad,goals_assists_pens_perG,goals,fouls,goals_assists_perG,shots_on_target,assists,players_used,cards_yellow,goals_perG,cards_red,shots_on_target_perG,fouls_perG,cards_perG,pens_made,games,goals_pens_perG,pens_att
0,Arsenal,3.08,71,517,3.16,282,49,24,67,1.87,5,7.42,13.61,1.89,3,38,1.79,5
1,Aston Villa,2.26,48,538,2.34,160,41,24,65,1.26,1,4.21,14.16,1.74,3,38,1.18,5
2,Bradford City,1.39,37,519,1.53,150,21,25,54,0.97,1,3.95,13.66,1.45,5,38,0.84,5
3,Chelsea,2.42,48,622,2.45,197,45,27,64,1.26,5,5.18,16.37,1.82,1,38,1.24,1
4,Coventry City,1.92,46,467,2.05,181,32,27,53,1.21,2,4.76,12.29,1.45,5,38,1.08,5
5,Derby County,1.79,42,550,1.84,160,28,29,84,1.11,4,4.21,14.47,2.32,2,38,1.05,4
6,Everton,2.63,58,614,2.79,175,48,28,67,1.53,6,4.61,16.16,1.92,6,38,1.37,7
7,Leeds United,2.34,57,613,2.45,221,36,20,75,1.50,3,5.82,16.13,2.05,4,38,1.39,6
8,Leicester City,2.03,53,398,2.11,138,34,24,41,1.39,2,3.63,10.47,1.13,3,38,1.13,3
9,Liverpool,1.95,50,511,2.03,219,30,23,59,1.32,4,5.76,13.45,1.55,3,38,1.16,5
10,Manchester United,4.21,94,409,4.29,254,69,29,41,2.47,4,6.68,10.76,1.18,3,38,2.39,5
11,Middlesbrough,1.68,44,583,1.84,176,26,27,79,1.16,3,4.63,15.34,2.16,6,38,1.00,9
12,Newcastle United,2.55,60,539,2.71,195,43,32,49,1.58,3,5.13,14.18,1.37,6,38,1.42,6
13,Sheffield Wednesday,1.45,34,439,1.53,157,24,23,42,0.89,1,4.13,11.55,1.13,3,38,0.82,4
14,Southampton,1.92,42,522,1.95,189,32,28,59,1.11,5,4.97,13.74,1.68,1,38,1.08,1
15,Sunderland,2.37,57,606,2.53,185,39,25,76,1.50,4,4.87,15.95,2.11,6,38,1.34,8
16,Tottenham Hotspur,2.47,55,533,2.50,207,40,27,84,1.45,1,5.45,14.03,2.24,1,38,1.42,1
17,Watford,1.61,35,557,1.66,173,28,31,71,0.92,4,4.55,14.66,1.97,2,38,0.87,2
18,West Ham United,2.39,51,558,2.45,220,42,26,70,1.34,8,5.79,14.68,2.05,2,38,1.29,2
19,Wimbledon,2.00,44,508,2.03,146,33,26,52,1.16,4,3.84,13.37,1.47,1,38,1.13,1
