,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,1,3.00,1.63,509,52,1.61,26,1.29,13.39,62,38,7.03,46,267,3,2.97,2
1,Aston Villa,1,2.13,1.21,540,35,1.18,22,1.71,14.21,46,38,4.37,62,166,3,2.11,1
2,Bradford City,3,1.13,0.68,487,17,0.61,27,1.24,12.82,26,38,3.24,46,123,1,1.05,5
3,Charlton Athletic,3,2.11,1.24,451,33,1.16,27,1.24,11.87,47,38,5.68,44,216,3,2.03,3
4,Chelsea,4,3.05,1.76,528,49,1.66,26,2.03,13.89,67,38,5.79,75,220,2,2.95,4
5,Coventry City,3,1.45,0.87,518,22,0.79,26,2.08,13.63,33,38,4.21,75,160,4,1.37,3
6,Derby County,2,1.58,0.95,553,24,0.89,29,2.16,14.55,36,38,3.82,79,145,3,1.53,3
7,Everton,5,1.92,1.18,617,28,1.05,31,2.08,16.24,45,38,4.97,75,189,4,1.79,7
8,Ipswich Town,3,2.50,1.47,461,39,1.39,23,0.95,12.13,56,38,5.39,34,205,2,2.42,3
9,Leeds United,3,2.82,1.66,596,44,1.58,24,1.95,15.68,63,38,6.03,71,229,3,2.74,4
10,Leicester City,3,1.84,1.03,486,31,0.95,28,1.50,12.79,39,38,4.71,55,179,2,1.76,3
11,Liverpool,3,3.11,1.84,504,48,1.76,24,1.32,13.26,70,38,6.00,45,228,5,3.03,4
12,Manchester City,2,1.74,1.00,605,28,0.95,30,1.68,15.92,38,38,4.34,61,165,3,1.68,2
13,Manchester United,2,3.61,2.03,430,60,1.97,27,1.16,11.32,77,38,6.61,41,251,3,3.55,3
14,Middlesbrough,3,1.79,1.13,572,25,1.05,26,2.32,15.05,43,38,4.61,83,175,5,1.71,3
15,Newcastle United,5,1.82,1.11,508,27,0.97,28,1.39,13.37,42,38,4.82,48,183,5,1.68,7
16,Southampton,0,1.79,1.05,492,28,1.05,24,1.13,12.95,40,38,4.55,42,173,1,1.79,0
17,Sunderland,2,2.05,1.21,609,32,1.16,25,2.05,16.03,46,38,5.13,72,195,6,2.00,4
18,Tottenham Hotspur,3,2.03,1.21,523,31,1.13,28,1.29,13.76,46,38,4.87,47,185,2,1.95,4
19,West Ham United,4,1.97,1.18,465,30,1.08,32,1.92,12.24,45,38,5.71,71,217,2,1.87,4
