,squad,goals_assists_pens_perG,goals,fouls,goals_assists_perG,shots_on_target,assists,players_used,cards_yellow,goals_perG,cards_red,shots_on_target_perG,fouls_perG,cards_perG,pens_made,games,goals_pens_perG,pens_att
0,Arsenal,3.00,62,348,3.03,210,53,25,42,1.63,4,5.53,9.16,1.21,1,38,1.61,2
1,Aston Villa,1.08,24,429,1.13,110,19,29,75,0.63,3,2.89,11.29,2.05,2,38,0.58,2
2,Bournemouth,1.79,43,361,1.87,143,28,28,53,1.13,1,3.76,9.50,1.42,3,38,1.05,4
3,Chelsea,2.39,55,401,2.50,172,40,28,60,1.45,5,4.53,10.55,1.71,4,38,1.34,5
4,Crystal Palace,1.45,38,465,1.55,153,21,30,61,1.00,2,4.03,12.24,1.66,4,38,0.89,5
5,Everton,2.53,56,306,2.63,174,44,31,47,1.47,5,4.58,8.05,1.37,4,38,1.37,5
6,Leicester City,2.66,68,406,2.92,179,43,23,51,1.79,3,4.71,10.68,1.42,10,38,1.53,13
7,Liverpool,2.89,62,410,2.95,199,50,34,64,1.63,3,5.24,10.79,1.76,2,38,1.58,2
8,Manchester City,3.13,71,409,3.26,210,53,25,61,1.87,0,5.53,10.76,1.61,5,38,1.74,8
9,Manchester United,1.95,46,473,2.03,144,31,33,66,1.21,1,3.79,12.45,1.76,3,38,1.13,3
10,Newcastle United,1.95,43,419,2.03,150,34,31,60,1.13,5,3.95,11.03,1.71,3,38,1.05,3
11,Norwich City,1.68,38,431,1.71,130,27,28,62,1.00,3,3.42,11.34,1.71,1,38,0.97,1
12,Southampton,2.63,58,417,2.71,165,45,26,60,1.53,6,4.34,10.97,1.74,3,38,1.45,4
13,Stoke City,1.68,40,420,1.82,127,29,27,52,1.05,4,3.34,11.05,1.47,5,38,0.92,5
14,Sunderland,1.87,44,484,1.95,173,30,31,66,1.16,2,4.55,12.74,1.79,3,38,1.08,3
15,Swansea City,1.61,41,392,1.74,135,25,27,60,1.08,1,3.55,10.32,1.61,5,38,0.95,5
16,Tottenham Hotspur,2.97,68,451,3.11,250,50,24,72,1.79,0,6.58,11.87,1.89,5,38,1.66,5
17,Watford,1.32,38,455,1.47,139,18,25,75,1.00,3,3.66,11.97,2.05,6,38,0.84,7
18,West Bromwich Albion,1.47,32,400,1.50,108,25,28,65,0.84,3,2.84,10.53,1.79,1,38,0.82,5
19,West Ham United,2.58,64,381,2.68,186,38,28,57,1.68,5,4.89,10.03,1.63,4,38,1.58,4
