,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,420",31,16,0,38,38,0.82,90,169,42.1,1,20,11,.817,7
1,Aston Villa,"3,420",55,11,0,38,38,1.45,90,251,28.9,2,10,16,.781,12
2,Birmingham City,"3,420",50,10,0,38,38,1.32,90,222,26.3,2,8,20,.775,10
3,Blackburn Rovers,"3,420",42,16,0,38,38,1.11,90,185,42.1,1,19,13,.773,6
4,Bolton Wanderers,"3,420",41,15,0,38,38,1.08,90,188,39.5,1,15,12,.782,11
5,Charlton Athletic,"3,150",47,12,0,35,35,1.34,90,211,34.3,2,12,15,.777,8
6,Chelsea,"3,420",22,20,1,38,39,0.58,88,154,52.6,3,29,5,.857,4
7,Everton,"3,879",58,13,2,44,46,1.35,84,231,29.5,4,14,20,.749,9
8,Fulham,"3,420",58,10,2,38,40,1.53,86,226,26.3,3,14,18,.743,6
9,Liverpool,"3,412",25,22,0,38,38,0.66,90,163,57.9,2,25,6,.847,7
10,Manchester City,"3,420",48,6,0,38,38,1.26,90,206,15.8,1,13,21,.767,4
11,Manchester United,"3,420",34,18,1,38,39,0.89,88,187,47.4,2,25,5,.818,8
12,Middlesbrough,"3,420",58,10,0,38,38,1.53,90,222,26.3,3,12,17,.739,9
13,Newcastle United,"3,420",42,13,0,38,38,1.11,90,175,34.2,1,17,14,.760,7
14,Portsmouth,"3,150",61,5,0,35,35,1.74,90,194,14.3,2,10,18,.686,4
15,Sunderland,"3,420",69,4,0,38,38,1.82,90,277,10.5,2,3,29,.751,6
16,Tottenham Hotspur,"3,420",38,13,0,38,38,1.00,90,165,34.2,1,18,9,.770,11
17,West Bromwich Albion,"3,391",56,10,0,38,38,1.49,89,245,26.3,2,7,22,.771,9
18,West Ham United,"3,420",55,9,1,38,39,1.45,88,219,23.7,4,16,15,.749,7
19,Wigan Athletic,"3,420",52,10,1,38,39,1.37,88,201,26.3,2,15,17,.741,6
