,squad,games_starts,minutes,clean_sheets_perc,losses,wins,goals_against_per90,games_subs,keepers_used,minutes_per_game,goals_against,shots_on_target_against,save_perc,games,draws,clean_sheets
0,Arsenal,38,"3,420",39.5,3,24,0.82,1,3,88,31,155,.800,39,11,15
1,Aston Villa,38,"3,420",23.7,10,16,1.34,1,2,88,51,170,.700,39,12,9
2,Birmingham City,38,"3,420",7.9,19,8,1.63,0,3,90,62,266,.767,38,11,3
3,Blackburn Rovers,38,"3,420",21.1,10,15,1.26,0,1,90,48,201,.761,38,13,8
4,Bolton Wanderers,38,"3,420",31.6,19,9,1.42,0,2,90,54,207,.739,38,10,12
5,Chelsea,38,"3,420",55.3,3,25,0.68,1,3,88,26,142,.817,39,10,21
6,Derby County,38,"3,420",7.9,29,1,2.34,0,3,90,89,263,.662,38,8,3
7,Everton,38,"3,420",36.8,11,19,0.87,0,2,90,33,176,.813,38,8,14
8,Fulham,38,"3,420",18.4,18,8,1.58,0,3,90,60,230,.739,38,12,7
9,Liverpool,38,"3,420",47.4,4,21,0.74,0,1,90,28,138,.797,38,13,18
10,Manchester City,38,"3,420",28.9,13,15,1.39,0,3,90,53,221,.760,38,10,11
11,Manchester United,38,"3,420",55.3,5,27,0.58,1,3,88,22,150,.853,39,6,21
12,Middlesbrough,38,"3,420",21.1,16,10,1.39,0,3,90,53,184,.712,38,12,8
13,Newcastle United,38,"3,420",21.1,17,11,1.71,2,2,86,65,256,.746,40,10,8
14,Portsmouth,38,"3,420",42.1,13,16,1.05,0,2,90,40,205,.805,38,9,16
15,Reading,38,"3,420",21.1,22,10,1.74,0,1,90,66,254,.740,38,6,8
16,Sunderland,38,"3,420",18.4,21,11,1.55,0,3,90,59,182,.676,38,6,7
17,Tottenham Hotspur,38,"3,420",23.7,14,11,1.61,0,2,90,61,206,.704,38,13,9
18,West Ham United,38,"3,420",21.1,15,13,1.32,0,1,90,50,189,.735,38,10,8
19,Wigan Athletic,38,"3,420",31.6,18,10,1.34,0,2,90,51,197,.741,38,10,12
