,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,420",36,16,0,38,38,0.95,90,146,42.1,2,25,5,.753,8
1,Aston Villa,"3,420",52,11,1,38,39,1.37,88,236,28.9,2,12,15,.780,11
2,Birmingham City,"3,420",46,9,0,38,38,1.21,90,212,23.7,1,11,15,.783,12
3,Blackburn Rovers,"3,420",43,15,0,38,38,1.13,90,227,39.5,1,9,14,.811,15
4,Bolton Wanderers,"3,420",44,8,1,38,39,1.16,88,179,21.1,3,16,12,.754,10
5,Charlton Athletic,"3,420",58,12,0,38,38,1.53,90,232,31.6,2,12,16,.750,10
6,Chelsea,"3,420",15,25,0,38,38,0.39,90,112,65.8,2,29,1,.866,8
7,Crystal Palace,"3,420",62,10,0,38,38,1.63,90,291,26.3,2,7,19,.787,12
8,Everton,"3,420",46,13,1,38,39,1.21,88,194,34.2,2,18,13,.763,7
9,Fulham,"3,420",60,8,1,38,39,1.58,88,258,21.1,2,12,18,.767,8
10,Liverpool,"3,420",41,7,0,38,38,1.08,90,171,18.4,3,17,14,.760,7
11,Manchester City,"3,420",39,11,0,38,38,1.03,90,195,28.9,1,13,12,.800,13
12,Manchester United,"3,420",26,19,0,38,38,0.68,90,106,50.0,2,22,5,.755,11
13,Middlesbrough,"3,420",46,11,0,38,38,1.21,90,213,28.9,3,14,11,.784,13
14,Newcastle United,"3,420",57,6,0,38,38,1.50,90,236,15.8,2,10,14,.758,14
15,Norwich City,"3,420",77,6,1,38,39,2.03,88,291,15.8,2,7,19,.735,12
16,Portsmouth,"3,420",59,5,0,38,38,1.55,90,266,13.2,3,10,19,.778,9
17,Southampton,"3,420",68,3,1,38,39,1.79,88,170,7.9,4,6,19,.600,14
18,Tottenham Hotspur,"3,420",41,13,1,38,39,1.08,88,217,34.2,2,14,14,.811,10
19,West Bromwich Albion,"3,420",61,8,1,38,39,1.61,88,247,21.1,2,6,16,.753,16
