,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,420",37,14,1,38,39,0.97,88,149,36.8,3,20,6,.752,12
1,Aston Villa,"3,420",48,13,1,38,39,1.26,88,186,34.2,2,17,10,.742,11
2,Blackburn Rovers,"3,420",60,10,1,38,39,1.58,88,177,26.3,2,10,17,.661,11
3,Bolton Wanderers,"3,420",53,7,0,38,38,1.39,90,213,18.4,1,11,19,.751,8
4,Chelsea,"3,420",24,22,0,38,38,0.63,90,144,57.9,3,25,5,.833,8
5,Everton,"3,420",37,17,0,38,38,0.97,90,186,44.7,1,17,9,.801,12
6,Fulham,"3,420",34,15,0,38,38,0.89,90,195,39.5,1,14,13,.826,11
7,Hull City,"3,420",64,6,0,38,38,1.68,90,212,15.8,2,8,19,.698,11
8,Liverpool,"3,420",27,20,0,38,38,0.71,90,122,52.6,1,25,2,.779,11
9,Manchester City,"3,420",50,10,1,38,39,1.32,88,192,26.3,3,15,18,.740,5
10,Manchester United,"3,420",24,24,1,38,39,0.63,88,138,63.2,3,28,4,.826,6
11,Middlesbrough,"3,420",57,7,0,38,38,1.50,90,216,18.4,2,7,20,.736,11
12,Newcastle United,"3,420",59,7,0,38,38,1.55,90,210,18.4,2,7,18,.719,13
13,Portsmouth,"3,420",57,8,0,38,38,1.50,90,212,21.1,2,10,17,.731,11
14,Stoke City,"3,420",55,12,3,38,41,1.45,83,191,31.6,2,12,17,.712,9
15,Sunderland,"3,420",54,9,0,38,38,1.42,90,168,23.7,2,9,20,.679,9
16,Tottenham Hotspur,"3,420",45,13,0,38,38,1.18,90,203,34.2,2,14,15,.778,9
17,West Bromwich Albion,"3,420",67,8,0,38,38,1.76,90,227,21.1,2,8,22,.705,8
18,West Ham United,"3,420",45,10,0,38,38,1.18,90,197,26.3,1,14,15,.772,9
19,Wigan Athletic,"3,420",45,13,1,38,39,1.18,88,134,34.2,3,12,17,.664,9
