,games_starts,losses,minutes_per_game,save_perc,nationality,player,position,age,clean_sheets_perc,wins,goals_against_per90,games_subs,goals_against,shots_on_target_against,games,clean_sheets,minutes,draws,squad
0,38,19,90,.678,fi FIN,Jussi Jääskeläinen,GK,34,13.2,10,1.76,0,67,208,38,5,"3,420",9,Bolton Wanderers
1,38,8,90,.790,us USA,Brad Friedel,GK,38,39.5,17,1.03,0,39,186,38,15,"3,420",13,Aston Villa
2,38,9,90,.712,us USA,Tim Howard,GK,30,28.9,16,1.29,0,49,170,38,11,"3,420",13,Everton
3,38,11,90,.748,es ESP,Pepe Reina,GK,26,44.7,18,0.92,0,35,139,38,17,"3,420",9,Liverpool
4,38,19,90,.658,eng ENG,Robert Green,GK,29,21.1,8,1.75,0,66,193,38,8,"3,402",11,West Ham United
5,38,23,88,.652,dk DEN,Brian Jensen,GK,34,7.9,8,2.15,0,80,230,38,3,"3,344",6,Burnley
6,37,16,90,.738,au AUS,Mark Schwarzer,GK,36,32.4,11,1.22,0,45,172,37,12,"3,330",10,Fulham
7,36,13,90,.786,eng ENG,Joe Hart,GK,22,27.8,13,1.17,0,42,196,36,10,"3,240",10,Birmingham City
8,35,6,89,.704,ie IRL,Shay Given,GK,33,31.4,17,1.21,0,42,142,35,11,"3,132",12,Manchester City
9,35,13,88,.691,eng ENG,Paul Robinson,GK,29,34.3,11,1.46,0,50,162,35,12,"3,084",10,Blackburn Rovers
10,34,4,89,.742,cz CZE,Petr Čech,GK,27,50.0,25,0.71,0,24,93,34,17,"3,021",4,Chelsea
11,33,10,87,.761,dk DEN,Thomas Sørensen,GK,33,33.3,8,1.16,0,37,155,33,11,"2,864",13,Stoke City
12,32,14,87,.639,eng ENG,Chris Kirkland,GK,28,25.0,9,1.85,0,57,158,32,8,"2,768",8,Wigan Athletic
13,31,7,88,.790,br BRA,Heurelho Gomes,GK,28,38.7,17,0.86,0,26,124,31,12,"2,715",6,Tottenham Hotspur
14,29,7,90,.663,es ESP,Manuel Almunia,GK,32,34.5,18,1.07,0,31,92,29,10,"2,610",4,Arsenal
15,27,16,90,.685,wal WAL,Boaz Myhill,GK,26,18.5,4,2.15,0,58,184,27,5,"2,430",7,Hull City
16,26,10,89,.775,sco SCO,Craig Gordon,GK,26,19.2,8,1.24,0,32,142,26,5,"2,315",8,Sunderland
17,25,11,90,.797,us USA,Marcus Hahnemann,GK,37,28.0,7,1.20,0,30,148,25,7,"2,250",7,Wolverhampton Wanderers
18,25,16,89,.689,eng ENG,David James,GK,38,12.0,5,1.65,0,41,132,25,3,"2,232",4,Portsmouth
19,21,4,90,.831,nl NED,Edwin van der Sar,GK,38,57.1,15,0.62,0,13,77,21,12,"1,890",2,Manchester United
20,13,7,90,.662,wal WAL,Wayne Hennessey,GK,22,7.7,2,2.00,0,26,77,13,1,"1,170",4,Wolverhampton Wanderers
21,12,6,85,.579,hu HUN,Márton Fülöp,GK,26,16.7,3,1.95,1,24,57,13,2,"1,105",3,Sunderland
22,11,4,90,.673,eng ENG,Matt Duke,GK,32,18.2,2,1.55,0,17,52,11,2,990,5,Hull City
23,9,1,90,.758,eng ENG,Ben Foster,GK,26,44.4,7,0.89,0,8,33,9,4,810,1,Manchester United
24,8,2,90,.806,pl POL,Tomasz Kuszczak,GK,27,37.5,5,0.87,0,7,36,8,3,720,1,Manchester United
25,6,2,88,.761,it ITA,Carlo Cudicini,GK,35,16.7,4,1.61,1,11,46,7,1,615,1,Tottenham Hotspur
26,5,3,75,.838,eng ENG,Jamie Ashdown,GK,28,40.0,0,1.19,1,6,37,6,2,452,2,Portsmouth
27,5,0,90,.783,it ITA,Vito Mannone,GK,21,40.0,4,1.00,0,5,23,5,2,450,1,Arsenal
28,4,2,90,.643,pl POL,Łukasz Fabiański,GK,24,50.0,1,1.25,0,5,14,4,2,360,1,Arsenal
29,4,3,90,.579,rs SRB,Vladimir Stojković,GK,26,0.0,0,2.00,0,8,19,4,0,360,1,Wigan Athletic
30,3,1,84,.643,wal WAL,Jason Brown,GK,27,33.3,2,1.34,1,5,14,4,1,336,1,Blackburn Rovers
31,3,2,82,.667,ba BIH,Asmir Begović,GK,22,66.7,1,1.93,1,7,21,4,2,326,1,Stoke City
32,2,3,73,.517,eng ENG,Mike Pollitt,GK,37,0.0,0,4.32,2,14,29,4,0,292,0,Wigan Athletic
33,2,1,77,.750,eng ENG,Steve Simonsen,GK,30,50.0,2,1.57,1,4,16,3,1,230,0,Stoke City
34,2,2,73,.571,pt POR,Henrique Hilário,GK,33,50.0,1,2.47,1,6,14,3,1,219,0,Chelsea
35,2,0,90,.667,eng ENG,Ross Turnbull,GK,24,0.0,1,1.00,0,2,6,2,0,180,1,Chelsea
36,2,1,90,.583,nir NIR,Maik Taylor,GK,37,50.0,0,2.50,0,5,12,2,1,180,1,Birmingham City
37,1,1,90,.500,eng ENG,Ben Alnwick,GK,22,0.0,0,4.00,0,4,8,1,0,90,0,Tottenham Hotspur
38,1,0,90,.750,eng ENG,David Stockdale,GK,23,0.0,1,1.00,0,1,4,1,0,90,0,Fulham
39,0,1,76,.500,pe PER,Diego Penny,GK,25,,0,2.37,1,2,4,1,0,76,0,Burnley
40,0,0,18,1.000,fo FRO,Gunnar Nielsen,GK,22,,0,0.00,1,0,1,1,0,18,0,Manchester City
41,0,0,18,,hu HUN,Péter Kurucz,GK,21,,0,0.00,1,0,0,1,0,18,0,West Ham United
