,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,420",44,13,1,38,39,1.16,88,167,34.2,3,23,9,.737,6
1,Bournemouth,"3,420",67,10,0,38,38,1.76,90,189,26.3,3,12,16,.646,10
2,Burnley,"3,420",55,10,0,38,38,1.45,90,208,26.3,2,11,20,.736,7
3,Chelsea,"3,420",33,16,0,38,38,0.87,90,105,42.1,2,30,5,.686,3
4,Crystal Palace,"3,420",63,7,0,38,38,1.66,90,177,18.4,2,12,21,.644,5
5,Everton,"3,420",44,13,1,38,39,1.16,88,148,34.2,2,17,11,.703,10
6,Hull City,"3,420",80,5,0,38,38,2.11,90,214,13.2,2,9,22,.626,7
7,Leicester City,"3,420",63,9,1,38,39,1.66,88,191,23.7,2,12,18,.670,8
8,Liverpool,"3,420",42,12,0,38,38,1.11,90,114,31.6,2,22,6,.632,10
9,Manchester City,"3,420",39,11,1,38,39,1.03,88,105,28.9,2,23,6,.629,9
10,Manchester United,"3,420",29,17,0,38,38,0.76,90,116,44.7,3,18,5,.750,15
11,Middlesbrough,"3,420",53,11,0,38,38,1.39,90,171,28.9,2,5,20,.690,13
12,Southampton,"3,420",48,14,0,38,38,1.26,90,130,36.8,1,12,16,.631,10
13,Stoke City,"3,420",56,11,0,38,38,1.47,90,180,28.9,3,11,16,.689,11
14,Sunderland,"3,420",69,6,0,38,38,1.82,90,248,15.8,2,6,26,.722,6
15,Swansea City,"3,420",70,8,0,38,38,1.84,90,179,21.1,2,12,21,.609,5
16,Tottenham Hotspur,"3,420",26,17,1,38,39,0.68,88,110,44.7,2,26,4,.764,8
17,Watford,"3,420",68,6,2,38,40,1.79,86,187,15.8,2,11,20,.636,7
18,West Bromwich Albion,"3,420",51,6,0,38,38,1.34,90,161,15.8,1,12,17,.683,9
19,West Ham United,"3,420",64,10,0,38,38,1.68,90,182,26.3,2,12,17,.648,9
