,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,420",44,13,0,38,38,1.16,90,150,34.2,4,19,8,.707,11
1,Aston Villa,"3,420",59,7,0,38,38,1.55,90,189,18.4,1,12,14,.688,12
2,Birmingham City,"3,420",58,9,1,38,39,1.53,88,257,23.7,2,8,15,.774,15
3,Blackburn Rovers,"3,420",59,8,1,38,39,1.55,88,194,21.1,2,11,17,.696,10
4,Blackpool,"3,420",80,6,3,38,41,2.11,83,240,15.8,4,10,19,.667,9
5,Bolton Wanderers,"3,420",56,5,1,38,39,1.47,88,193,13.2,2,12,16,.710,10
6,Chelsea,"3,420",33,15,0,38,38,0.87,90,148,39.5,1,21,9,.777,8
7,Everton,"3,420",45,9,0,38,38,1.18,90,153,23.7,1,13,10,.706,15
8,Fulham,"3,420",43,14,0,38,38,1.13,90,171,36.8,2,11,11,.749,16
9,Liverpool,"3,420",44,14,0,38,38,1.16,90,149,36.8,1,17,14,.705,7
10,Manchester City,"3,420",33,18,0,38,38,0.87,90,153,47.4,1,21,9,.784,8
11,Manchester United,"3,420",37,15,0,38,38,0.97,90,139,39.5,2,23,4,.734,11
12,Newcastle United,"3,420",57,8,1,38,39,1.50,88,161,21.1,2,11,14,.646,13
13,Stoke City,"3,420",48,9,0,38,38,1.26,90,176,23.7,2,13,18,.727,7
14,Sunderland,"3,420",56,13,0,38,38,1.47,90,206,34.2,2,12,15,.728,11
15,Tottenham Hotspur,"3,420",46,8,0,38,38,1.21,90,183,21.1,2,16,8,.749,14
16,West Bromwich Albion,"3,420",71,2,0,38,38,1.87,90,182,5.3,2,12,15,.610,11
17,West Ham United,"3,420",70,5,0,38,38,1.84,90,243,13.2,2,7,19,.712,12
18,Wigan Athletic,"3,420",61,7,1,38,39,1.61,88,196,18.4,3,9,14,.689,15
19,Wolverhampton Wanderers,"3,420",66,5,0,38,38,1.74,90,199,13.2,2,11,20,.668,7
