,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,8,2.50,1.55,,36,1.34,20,1.84,,59,38,6.29,67,239,3,2.29,8
1,Aston Villa,4,2.05,1.21,,32,1.11,18,1.32,,46,38,5.71,50,217,0,1.95,5
2,Blackburn Rovers,2,2.05,1.11,,36,1.05,22,1.82,,42,38,4.37,68,166,1,2.00,3
3,Chelsea,4,2.71,1.47,,47,1.37,24,2.13,,56,38,5.66,80,215,1,2.61,5
4,Coventry City,3,1.71,0.95,,29,0.87,19,1.74,,36,38,4.82,62,183,4,1.63,3
5,Derby County,3,2.00,1.11,,34,1.03,23,1.61,,42,38,5.11,60,194,1,1.92,4
6,Everton,4,2.13,1.18,,36,1.08,22,1.63,,45,38,5.55,60,211,2,2.03,6
7,Leeds United,0,1.29,0.71,,22,0.71,23,2.26,,27,38,4.42,85,168,1,1.29,1
8,Leicester City,3,1.92,1.16,,29,1.08,22,1.79,,44,38,5.08,67,193,1,1.84,6
9,Liverpool,2,2.79,1.53,,48,1.39,17,1.21,,58,38,6.08,45,231,1,2.58,3
10,Manchester United,4,3.08,1.84,,47,1.74,19,1.89,,70,38,6.29,71,239,1,2.97,6
11,Middlesbrough,5,2.08,1.32,,29,1.18,23,2.37,,50,38,7.08,87,269,3,1.95,8
12,Newcastle United,5,3.16,1.89,,48,1.76,17,1.79,,72,38,6.76,67,257,1,3.03,7
13,Nottingham Forest,2,1.39,0.82,,22,0.76,25,1.84,,31,38,4.87,70,185,0,1.34,3
14,Sheffield Wednesday,2,2.08,1.32,,29,1.26,20,1.53,,50,38,4.76,56,181,2,2.03,4
15,Southampton,6,2.21,1.24,,37,1.08,27,2.03,,47,38,5.29,73,201,4,2.05,7
16,Sunderland,4,1.42,0.84,,22,0.74,19,1.26,,32,38,4.39,43,167,5,1.32,6
17,Tottenham Hotspur,2,1.97,1.13,,32,1.08,22,1.82,,43,38,5.03,68,191,1,1.92,3
18,West Ham United,5,1.97,1.05,,35,0.92,26,2.13,,40,38,5.76,78,219,3,1.84,6
19,Wimbledon,0,2.21,1.26,,36,1.26,22,1.37,,48,38,5.50,51,209,1,2.21,1
