,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
0,6,Coventry City,25,MF,0.66,0,0.34,"3,420",0.08,31,0.03,,1,0.16,90,,38,10,sco SCO,3,0.42,0,3,38,Gary McAllister
1,0,Sheffield Wednesday,0,GK,0.00,0,0.00,"3,420",0.00,28,0.00,,0,0.00,90,,38,0,eng ENG,0,0.00,0,0,38,Kevin Pressman
2,0,Coventry City,0,GK,0.00,0,0.00,"3,420",0.00,38,0.00,,0,0.00,90,,38,0,eng ENG,0,0.00,0,0,38,Steve Ogrizovic
3,0,Liverpool,0,GK,0.00,0,0.00,"3,420",0.00,25,0.00,,0,0.00,90,,38,0,eng ENG,0,0.00,0,0,38,David James
4,3,Aston Villa,11,DF,0.29,0,0.13,"3,420",0.08,23,0.11,,4,0.08,90,,38,2,eng ENG,0,0.13,0,0,38,Ugo Ehiogu
5,1,Aston Villa,7,DF,0.18,0,0.18,"3,420",0.03,24,0.08,,3,0.03,90,,38,6,eng ENG,0,0.18,0,0,38,Alan Wright
6,0,Tottenham Hotspur,2,"DF,FW",0.05,0,0.08,"3,403",0.00,21,0.05,,2,0.00,90,,38,3,eng ENG,0,0.08,0,0,38,Sol Campbell
7,0,Arsenal,4,DF,0.11,0,0.05,"3,375",0.00,32,0.13,,5,0.00,89,,38,2,eng ENG,0,0.05,0,0,38,Nigel Winterburn
8,1,Sheffield Wednesday,7,DF,0.19,0,0.13,"3,375",0.03,26,0.08,,3,0.03,89,,38,4,nir NIR,0,0.13,0,0,38,Ian Nolan
9,9,Everton,29,MF,0.78,0,0.30,"3,330",0.24,26,0.24,,9,0.24,90,,37,2,wal WAL,0,0.30,0,0,37,Gary Speed
10,0,Tottenham Hotspur,0,GK,0.00,0,0.00,"3,330",0.00,24,0.00,,0,0.00,90,,37,0,eng ENG,0,0.00,0,0,37,Ian Walker
11,0,Leeds United,0,GK,0.00,0,0.00,"3,330",0.00,29,0.00,,0,0.00,90,,37,0,eng ENG,0,0.00,0,0,37,Nigel Martyn
12,2,Liverpool,11,DF,0.30,0,0.30,"3,328",0.05,26,0.11,,4,0.05,88,,38,9,no NOR,0,0.30,0,0,38,Stig Inge Bjørnebye
13,0,Sunderland,9,MF,0.24,0,0.08,"3,325",0.00,34,0.05,,2,0.00,88,,38,3,eng ENG,0,0.08,0,0,38,Paul Bracewell
14,2,Sheffield Wednesday,8,"DF,MF",0.22,0,0.08,"3,314",0.05,26,0.19,,7,0.05,90,,37,1,eng ENG,0,0.08,0,0,37,Peter Atherton
15,1,Wimbledon,5,DF,0.14,0,0.05,"3,302",0.03,23,0.00,,0,0.03,89,,37,1,eng ENG,0,0.05,0,0,37,Chris Perry
16,3,Blackburn Rovers,15,MF,0.41,0,0.27,"3,295",0.08,27,0.25,,8,0.08,89,,37,7,eng ENG,0,0.27,1,0,37,Tim Sherwood
