,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,4,1.83,1.19,,27,1.10,20,0.74,,50,42,5.33,30,224,1,1.74,5
1,Aston Villa,3,1.74,1.07,,28,1.00,24,0.52,,45,42,3.95,21,166,1,1.67,3
2,Blackburn Rovers,3,2.50,1.50,,42,1.43,21,0.67,,63,42,5.83,28,245,0,2.43,4
3,Chelsea,3,1.83,1.21,,28,1.10,26,0.76,,51,42,4.24,30,178,2,1.76,5
4,Coventry City,3,1.62,1.02,,25,0.95,26,0.31,,43,42,4.67,13,196,0,1.55,5
5,Everton,3,1.48,1.02,,23,0.86,21,0.83,,43,42,4.36,35,183,0,1.40,4
6,Ipswich Town,2,1.19,0.74,,19,0.69,19,0.50,,31,42,4.21,21,177,0,1.14,3
7,Leeds United,1,2.26,1.50,,38,1.33,23,0.81,,63,42,4.74,34,199,0,2.24,2
8,Liverpool,5,2.12,1.29,,35,1.07,22,0.64,,54,42,5.21,30,219,1,1.81,7
9,Manchester City,1,1.14,0.83,,15,0.76,29,0.57,,35,42,3.24,24,136,0,1.12,2
10,Manchester United,3,3.19,1.88,,55,1.81,24,0.79,,79,42,5.90,31,248,2,3.12,3
11,Newcastle United,9,3.10,1.90,,50,1.64,23,0.45,,80,42,5.40,18,227,1,2.83,10
12,Norwich City,1,2.45,1.52,,39,1.33,21,0.62,,64,42,4.38,24,184,2,2.24,1
13,Oldham Athletic,1,1.55,0.95,,25,0.93,24,0.81,,40,42,3.95,30,166,4,1.52,2
14,Queens Park Rangers,5,2.31,1.43,,37,1.24,21,0.74,,60,42,4.43,28,186,3,2.12,6
15,Sheffield United,0,1.60,0.98,,26,0.98,25,1.00,,41,42,4.21,38,177,4,1.60,0
16,Sheffield Wednesday,2,2.81,1.69,,47,1.64,24,0.60,,71,42,5.45,23,229,2,2.76,3
17,Southampton,7,1.90,1.19,,30,1.02,25,0.95,,50,42,4.86,39,204,1,1.74,7
18,Swindon Town,7,1.74,1.07,,28,0.90,24,0.93,,45,42,4.50,38,189,1,1.57,8
19,Tottenham Hotspur,2,2.00,1.26,,31,1.21,26,0.62,,53,42,4.64,25,195,1,1.95,4
20,West Ham United,2,1.74,1.05,,29,1.00,20,0.45,,44,42,4.02,19,169,0,1.69,3
21,Wimbledon,1,1.83,1.17,,28,1.14,22,0.83,,49,42,4.69,35,197,0,1.81,2
