,squad,goals_assists_pens_perG,goals,fouls,goals_assists_perG,shots_on_target,assists,players_used,cards_yellow,goals_perG,cards_red,shots_on_target_perG,fouls_perG,cards_perG,pens_made,games,goals_pens_perG,pens_att
0,Arsenal,3.11,69,374,3.24,272,54,26,44,1.82,5,7.16,9.84,1.29,5,38,1.68,6
1,Aston Villa,2.05,47,457,2.13,176,34,28,74,1.24,3,4.63,12.03,2.03,3,38,1.16,3
2,Chelsea,2.95,71,370,3.18,257,50,26,52,1.87,3,6.76,9.74,1.45,9,38,1.63,11
3,Everton,2.45,53,446,2.50,266,42,23,61,1.39,3,7.00,11.74,1.68,2,38,1.34,2
4,Fulham,1.87,45,420,2.03,205,32,29,48,1.18,3,5.39,11.05,1.34,6,38,1.03,6
5,Liverpool,2.87,67,399,3.00,297,47,28,54,1.76,2,7.82,10.50,1.47,5,38,1.63,6
6,Manchester City,2.76,64,456,2.87,285,45,25,63,1.68,3,7.50,12.00,1.74,4,38,1.58,6
7,Manchester United,3.66,80,371,3.76,243,63,25,56,2.11,1,6.39,9.76,1.50,4,38,2.00,7
8,Newcastle United,1.61,43,459,1.71,208,22,32,73,1.13,4,5.47,12.08,2.03,4,38,1.03,5
9,Norwich City,1.74,40,421,1.76,177,27,27,60,1.05,1,4.66,11.08,1.61,1,38,1.03,2
10,Queens Park Rangers,1.32,29,397,1.34,183,22,30,60,0.76,3,4.82,10.45,1.66,1,38,0.74,4
11,Reading,1.71,41,387,1.82,146,28,28,45,1.08,1,3.84,10.18,1.21,4,38,0.97,4
12,Southampton,1.79,46,406,1.87,207,25,25,43,1.21,2,5.45,10.68,1.18,3,38,1.13,3
13,Stoke City,1.39,33,485,1.47,144,23,24,80,0.87,4,3.79,12.76,2.21,3,38,0.79,5
14,Sunderland,1.55,39,454,1.66,164,24,28,62,1.03,3,4.32,11.95,1.71,4,38,0.92,4
15,Swansea City,2.08,47,399,2.08,209,32,25,59,1.24,2,5.50,10.50,1.61,0,38,1.24,0
16,Tottenham Hotspur,2.82,62,382,2.82,284,45,28,54,1.63,2,7.47,10.05,1.47,0,38,1.63,0
17,West Bromwich Albion,2.18,50,429,2.32,200,38,25,62,1.32,4,5.26,11.29,1.74,5,38,1.18,7
18,West Ham United,1.89,43,467,2.00,206,33,26,74,1.13,1,5.42,12.29,1.97,4,38,1.03,4
19,Wigan Athletic,2.08,45,444,2.11,209,35,28,66,1.18,2,5.50,11.68,1.79,1,38,1.16,1
