,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,420",42,10,1,38,39,1.11,88,147,26.3,3,23,6,.714,9
1,Aston Villa,"3,420",47,9,1,38,39,1.24,88,176,23.7,2,12,17,.733,9
2,Birmingham City,"3,420",49,9,1,38,39,1.29,88,171,23.7,4,13,16,.713,9
3,Blackburn Rovers,"3,420",43,15,0,38,38,1.13,90,207,39.5,2,16,10,.792,12
4,Bolton Wanderers,"3,420",51,10,0,38,38,1.34,90,189,26.3,1,10,14,.730,14
5,Charlton Athletic,"3,420",56,8,1,38,39,1.47,88,190,21.1,2,14,17,.705,7
6,Chelsea,"3,420",38,13,0,38,38,1.00,90,156,34.2,2,19,9,.756,10
7,Everton,"3,420",49,11,0,38,38,1.29,90,173,28.9,4,17,13,.717,8
8,Fulham,"3,420",50,11,2,38,40,1.32,86,197,28.9,3,13,17,.746,8
9,Leeds United,"3,420",57,10,0,38,38,1.50,90,188,26.3,1,14,19,.697,5
10,Liverpool,"3,420",41,14,0,38,38,1.08,90,146,36.8,2,18,10,.719,10
11,Manchester City,"3,420",54,10,0,38,38,1.42,90,184,26.3,2,15,17,.707,6
12,Manchester United,"3,420",34,13,3,38,41,0.89,83,122,34.2,3,25,5,.721,8
13,Middlesbrough,"3,420",44,10,0,38,38,1.16,90,184,26.3,1,13,15,.761,10
14,Newcastle United,"3,420",48,14,0,38,38,1.26,90,179,36.8,1,21,11,.732,6
15,Southampton,"3,420",46,13,1,38,39,1.21,88,197,34.2,2,13,12,.766,13
16,Sunderland,"3,420",65,6,2,38,40,1.71,86,210,15.8,4,4,27,.690,7
17,Tottenham Hotspur,"3,420",62,5,0,38,38,1.63,90,210,13.2,1,14,16,.705,8
18,West Bromwich Albion,"3,420",65,6,1,38,39,1.71,88,208,15.8,2,6,24,.688,8
19,West Ham United,"3,420",59,9,0,38,38,1.55,90,198,23.7,1,10,16,.702,12
