,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,420",26,15,0,38,38,0.68,90,114,39.5,1,26,0,.772,12
1,Aston Villa,"3,420",44,12,2,38,40,1.16,86,173,31.6,2,15,12,.746,11
2,Birmingham City,"3,420",48,15,2,38,40,1.26,86,183,39.5,2,12,12,.738,14
3,Blackburn Rovers,"3,420",59,9,0,38,38,1.55,90,201,23.7,2,12,18,.706,8
4,Bolton Wanderers,"3,420",56,10,0,38,38,1.47,90,182,26.3,1,14,13,.692,11
5,Charlton Athletic,"3,420",51,10,0,38,38,1.34,90,205,26.3,2,14,13,.751,11
6,Chelsea,"3,420",30,21,0,38,38,0.79,90,125,55.3,3,24,7,.760,7
7,Everton,"3,330",57,10,1,38,39,1.54,85,190,26.3,3,9,17,.700,12
8,Fulham,"3,330",46,15,0,38,38,1.24,88,207,39.5,2,14,14,.778,10
9,Leeds United,"3,420",79,3,1,38,39,2.08,88,215,7.9,2,8,21,.633,9
10,Leicester City,"3,420",65,9,3,38,41,1.71,83,210,23.7,2,6,17,.690,15
11,Liverpool,"3,240",35,12,1,36,37,0.97,88,139,33.3,3,15,9,.748,12
12,Manchester City,"3,420",54,7,2,38,40,1.42,86,184,18.4,3,9,15,.707,14
13,Manchester United,"3,330",35,14,0,38,38,0.95,88,163,36.8,2,23,9,.785,6
14,Middlesbrough,"3,420",52,14,0,38,38,1.37,90,182,36.8,3,13,16,.714,9
15,Newcastle United,"3,420",40,11,0,38,38,1.05,90,171,28.9,1,13,8,.766,17
16,Portsmouth,"3,420",54,8,0,38,38,1.42,90,192,21.1,3,12,17,.719,9
17,Southampton,"2,700",39,8,0,30,30,1.30,90,179,26.7,2,9,13,.782,8
18,Tottenham Hotspur,"3,420",57,8,0,38,38,1.50,90,198,21.1,1,13,19,.712,6
19,Wolverhampton Wanderers,"4,320",85,12,0,48,48,1.77,90,283,25.0,3,11,22,.700,15
