,squad,goals_assists_pens_perG,goals,fouls,goals_assists_perG,shots_on_target,assists,players_used,cards_yellow,goals_perG,cards_red,shots_on_target_perG,fouls_perG,cards_perG,pens_made,games,goals_pens_perG,pens_att
0,Arsenal,3.08,66,,3.21,249,56,21,72,1.74,4,6.55,,2.00,5,38,1.61,6
1,Aston Villa,2.24,49,,2.32,207,39,18,45,1.29,2,5.45,,1.24,3,38,1.21,4
2,Barnsley,1.37,37,,1.45,155,18,21,62,0.97,5,4.08,,1.76,3,38,0.89,5
3,Blackburn Rovers,2.82,55,,2.87,230,54,19,56,1.45,4,6.05,,1.58,2,38,1.39,2
4,Bolton Wanderers,1.87,41,,1.95,233,33,24,70,1.08,5,6.13,,1.97,3,38,1.00,3
5,Chelsea,3.34,67,,3.50,224,66,25,67,1.76,3,5.89,,1.84,6,38,1.61,6
6,Coventry City,1.92,46,,2.05,197,32,20,69,1.21,5,5.18,,1.95,5,38,1.08,7
7,Crystal Palace,1.61,35,,1.63,143,27,24,66,0.92,3,3.76,,1.82,1,38,0.89,2
8,Derby County,2.18,52,,2.32,224,36,23,77,1.37,2,5.89,,2.08,5,38,1.24,6
9,Everton,1.61,38,,1.61,164,30,30,75,1.00,4,4.32,,2.08,0,38,0.82,0
10,Leeds United,2.47,52,,2.50,200,43,19,76,1.37,5,5.26,,2.13,1,38,1.34,2
11,Leicester City,2.29,51,,2.39,180,40,20,43,1.34,2,4.74,,1.18,4,38,1.24,4
12,Liverpool,3.03,68,,3.29,245,57,22,52,1.79,2,6.45,,1.34,4,38,1.61,5
13,Manchester United,3.21,68,,3.29,222,57,23,61,1.79,1,5.84,,1.63,3,38,1.71,6
14,Newcastle United,1.47,35,,1.50,185,25,24,60,0.92,3,4.87,,1.66,1,38,0.82,2
15,Sheffield Wednesday,2.42,51,,2.50,199,44,25,71,1.34,5,5.24,,2.00,3,38,1.26,3
16,Southampton,2.11,48,,2.24,169,37,24,58,1.26,4,4.45,,1.63,5,38,1.13,5
17,Tottenham Hotspur,2.18,44,,2.18,208,39,25,56,1.16,2,5.47,,1.53,0,38,1.16,2
18,West Ham United,2.47,53,,2.50,226,42,23,60,1.39,5,5.95,,1.71,1,38,1.37,1
19,Wimbledon,1.58,32,,1.61,175,29,21,48,0.84,2,4.61,,1.32,1,38,0.82,1
