,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,420",43,10,1,38,39,1.13,88,126,26.3,2,22,9,.659,7
1,Aston Villa,"3,420",35,15,2,38,40,0.92,86,135,39.5,3,15,10,.741,13
2,Bradford City,"3,420",68,7,1,38,39,1.79,88,240,18.4,4,9,20,.717,9
3,Chelsea,"3,420",34,17,0,38,38,0.89,90,132,44.7,2,18,9,.742,11
4,Coventry City,"3,420",54,9,0,38,38,1.42,90,213,23.7,2,12,18,.746,8
5,Derby County,"3,420",57,11,0,38,38,1.50,90,196,28.9,2,9,18,.709,11
6,Everton,"3,420",49,11,1,38,39,1.29,88,206,28.9,3,12,12,.762,14
7,Leeds United,"3,420",43,13,0,38,38,1.13,90,189,34.2,1,21,6,.772,11
8,Leicester City,"3,420",55,7,2,38,40,1.45,86,179,18.4,2,16,15,.693,7
9,Liverpool,"3,420",30,15,0,38,38,0.79,90,129,39.5,2,19,9,.767,10
10,Manchester United,"3,421",45,10,4,38,42,1.18,81,156,26.3,4,28,3,.712,7
11,Middlesbrough,"3,420",49,9,0,38,38,1.29,90,234,23.7,2,14,14,.791,10
12,Newcastle United,"3,420",54,11,0,38,38,1.42,90,150,28.9,4,14,14,.640,10
13,Sheffield Wednesday,"3,420",70,7,1,38,39,1.84,88,232,18.4,2,8,23,.698,7
14,Southampton,"3,448",62,11,5,38,43,1.62,80,212,28.9,3,12,18,.708,8
15,Sunderland,"3,420",56,9,0,38,38,1.47,90,191,23.7,2,16,12,.707,10
16,Tottenham Hotspur,"3,420",49,8,0,38,38,1.29,90,163,21.1,1,15,15,.699,8
17,Watford,"3,420",77,5,0,38,38,2.03,90,220,13.2,2,6,26,.650,6
18,West Ham United,"3,483",53,10,2,39,41,1.37,85,193,25.6,5,15,13,.725,10
19,Wimbledon,"3,420",74,5,0,38,38,1.95,90,256,13.2,2,7,19,.711,12
