,squad,goals_assists_pens_perG,goals,fouls,goals_assists_perG,shots_on_target,assists,players_used,cards_yellow,goals_perG,cards_red,shots_on_target_perG,fouls_perG,cards_perG,pens_made,games,goals_pens_perG,pens_att
0,Arsenal,3.37,73,405,3.42,230,57,32,67,1.92,4,6.05,10.66,1.87,2,38,1.87,3
1,Aston Villa,1.58,37,415,1.66,146,26,27,70,0.97,2,3.84,10.92,1.89,3,38,0.89,3
2,Blackburn Rovers,1.89,44,442,2.00,150,32,31,68,1.16,5,3.95,11.63,1.92,4,38,1.05,8
3,Bolton Wanderers,1.76,43,448,1.89,159,29,30,51,1.13,5,4.18,11.79,1.47,5,38,1.00,6
4,Chelsea,2.74,63,419,2.84,232,45,29,75,1.66,4,6.11,11.03,2.08,4,38,1.55,5
5,Everton,1.95,47,452,2.08,166,32,29,58,1.24,1,4.37,11.89,1.55,5,38,1.11,5
6,Fulham,1.89,44,370,1.97,197,31,28,54,1.16,0,5.18,9.74,1.42,3,38,1.08,4
7,Liverpool,1.68,42,390,1.71,210,23,26,55,1.11,5,5.53,10.26,1.58,1,38,1.08,4
8,Manchester City,4.13,91,422,4.32,262,73,24,55,2.39,5,6.89,11.11,1.58,7,38,2.21,8
9,Manchester United,3.87,87,378,4.11,255,69,31,50,2.29,1,6.71,9.95,1.34,9,38,2.05,11
10,Newcastle United,2.24,51,405,2.29,157,36,26,67,1.34,2,4.13,10.66,1.82,2,38,1.29,3
11,Norwich City,2.18,52,399,2.24,171,33,27,59,1.37,3,4.50,10.50,1.63,2,38,1.32,2
12,Queens Park Rangers,1.68,41,405,1.74,156,25,34,56,1.08,9,4.11,10.66,1.71,2,38,1.03,2
13,Stoke City,1.55,35,446,1.66,105,28,23,60,0.92,2,2.76,11.74,1.63,4,38,0.82,6
14,Sunderland,1.76,43,396,1.79,147,25,28,60,1.13,3,3.87,10.42,1.66,1,38,1.11,2
15,Swansea City,1.63,43,313,1.76,149,24,25,41,1.13,2,3.92,8.24,1.13,5,38,1.00,6
16,Tottenham Hotspur,2.89,66,381,3.00,240,48,29,45,1.74,3,6.32,10.03,1.26,4,38,1.63,5
17,West Bromwich Albion,1.92,44,421,1.95,184,30,25,48,1.16,1,4.84,11.08,1.29,1,38,1.13,2
18,Wigan Athletic,1.53,41,468,1.66,161,22,24,68,1.08,3,4.24,12.32,1.87,5,38,0.95,7
19,Wolverhampton Wanderers,1.63,40,364,1.71,152,25,32,65,1.05,4,4.00,9.58,1.82,3,38,0.97,4
