,squad,goals_assists_pens_perG,goals,fouls,goals_assists_perG,shots_on_target,assists,players_used,cards_yellow,goals_perG,cards_red,shots_on_target_perG,fouls_perG,cards_perG,pens_made,games,goals_pens_perG,pens_att
0,Arsenal,2.13,49,,2.21,200,35,23,61,1.29,2,5.26,,1.66,3,38,1.21,5
1,Aston Villa,2.21,49,,2.26,173,37,22,46,1.29,2,4.55,,1.26,2,38,1.24,2
2,Blackburn Rovers,2.68,60,,2.76,220,45,25,70,1.58,5,5.79,,1.97,3,38,1.50,3
3,Bolton Wanderers,1.66,39,,1.74,166,27,23,64,1.03,2,4.37,,1.74,3,38,0.95,3
4,Chelsea,2.00,45,,2.08,174,34,22,74,1.18,2,4.58,,2.00,3,38,1.11,4
5,Coventry City,1.89,42,,1.92,183,31,26,60,1.11,2,4.82,,1.63,1,38,1.08,2
6,Everton,2.74,63,,2.84,189,45,23,67,1.66,3,4.97,,1.84,4,38,1.55,4
7,Leeds United,1.68,38,,1.74,186,28,28,57,1.00,5,4.89,,1.63,2,38,0.95,3
8,Liverpool,2.97,68,,3.21,242,54,18,40,1.79,0,6.37,,1.03,1,38,1.68,1
9,Manchester City,1.53,33,,1.55,166,26,24,57,0.87,6,4.37,,1.66,1,38,0.84,2
10,Manchester United,3.42,72,,3.53,215,62,21,52,1.89,3,5.66,,1.45,4,38,1.79,4
11,Middlesbrough,1.53,34,,1.61,153,27,28,68,0.89,3,4.03,,1.87,3,38,0.82,4
12,Newcastle United,3.13,68,,3.21,215,54,18,50,1.79,0,5.66,,1.32,3,38,1.71,4
13,Nottingham Forest,2.11,48,,2.18,183,35,19,46,1.26,2,4.82,,1.26,3,38,1.18,3
14,Queens Park Rangers,1.82,37,,1.84,152,33,25,70,0.97,4,4.00,,1.95,0,38,0.97,1
15,Sheffield Wednesday,2.13,48,,2.24,184,37,25,29,1.26,2,4.84,,0.82,4,38,1.16,4
16,Southampton,1.32,33,,1.42,152,21,23,61,0.87,2,4.00,,1.66,4,38,0.76,4
17,Tottenham Hotspur,2.18,47,,2.24,181,38,21,55,1.24,0,4.76,,1.45,2,38,1.18,2
18,West Ham United,1.76,43,,1.89,195,29,27,51,1.13,4,5.13,,1.45,5,38,1.00,6
19,Wimbledon,2.39,54,,2.45,184,39,29,63,1.42,8,4.84,,1.87,2,38,1.37,2
