,squad,goals_assists_pens_perG,goals,fouls,goals_assists_perG,shots_on_target,assists,players_used,cards_yellow,goals_perG,cards_red,shots_on_target_perG,fouls_perG,cards_perG,pens_made,games,goals_pens_perG,pens_att
0,Arsenal,2.58,60,367,2.84,249,48,24,58,1.58,3,6.55,9.66,1.61,10,38,1.32,11
1,Aston Villa,1.84,45,541,2.00,228,31,29,50,1.18,1,6.00,14.24,1.34,6,38,1.03,8
2,Blackburn Rovers,2.03,49,497,2.16,211,33,27,73,1.29,6,5.55,13.08,2.08,5,38,1.16,7
3,Bolton Wanderers,1.95,45,528,2.11,195,35,22,86,1.18,4,5.13,13.89,2.37,6,38,1.03,7
4,Charlton Athletic,1.32,32,443,1.42,172,22,28,64,0.84,4,4.53,11.66,1.79,4,38,0.74,4
5,Chelsea,2.74,58,437,2.82,235,49,25,64,1.53,4,6.18,11.50,1.79,3,38,1.45,4
6,Everton,2.03,50,523,2.24,200,35,24,65,1.32,1,5.26,13.76,1.74,8,38,1.11,8
7,Fulham,1.58,36,459,1.66,177,27,24,58,0.95,3,4.66,12.08,1.61,3,38,0.87,3
8,Liverpool,2.47,56,446,2.63,249,44,27,44,1.47,0,6.55,11.74,1.16,6,38,1.32,7
9,Manchester City,1.24,28,493,1.29,179,21,26,53,0.74,4,4.71,12.97,1.50,2,38,0.68,4
10,Manchester United,3.55,80,426,3.68,300,60,25,57,2.11,1,7.89,11.21,1.53,5,38,1.97,6
11,Middlesbrough,1.89,43,489,2.00,169,33,26,65,1.13,2,4.45,12.87,1.76,4,38,1.03,5
12,Newcastle United,1.55,38,461,1.68,182,26,29,68,1.00,1,4.79,12.13,1.82,5,38,0.87,5
13,Portsmouth,1.82,40,505,1.87,195,31,22,47,1.05,2,5.13,13.29,1.29,2,38,1.00,3
14,Reading,2.18,48,400,2.26,167,38,23,40,1.26,3,4.39,10.53,1.13,3,38,1.18,3
15,Sheffield United,1.32,31,438,1.37,193,21,29,66,0.82,2,5.08,11.53,1.79,2,38,0.76,4
16,Tottenham Hotspur,2.26,54,410,2.39,214,37,25,45,1.42,3,5.63,10.79,1.26,5,38,1.29,5
17,Watford,1.03,24,517,1.11,144,18,28,46,0.63,2,3.79,13.61,1.26,3,38,0.55,3
18,West Ham United,1.58,36,573,1.61,153,25,26,94,0.95,4,4.03,15.08,2.58,1,38,0.92,3
19,Wigan Athletic,1.53,37,510,1.61,188,24,23,76,0.97,4,4.95,13.42,2.11,3,38,0.89,6
