,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,3,3.47,2.08,468,53,2.00,30,1.50,12.32,79,38,6.24,56,237,1,3.39,4
1,Aston Villa,5,2.16,1.26,504,34,1.13,23,1.63,13.26,48,38,4.32,60,164,2,2.03,8
2,Birmingham City,2,1.53,0.95,449,22,0.89,25,1.97,11.82,36,38,4.11,74,156,1,1.47,4
3,Blackburn Rovers,3,1.58,1.00,538,22,0.92,27,1.61,14.16,38,38,4.37,59,166,2,1.50,3
4,Bolton Wanderers,4,1.74,1.11,552,24,1.00,25,2.11,14.53,42,38,4.50,75,171,5,1.63,4
5,Burnley,6,1.76,1.11,451,25,0.95,26,1.55,11.87,42,38,4.05,57,154,2,1.61,6
6,Chelsea,11,4.29,2.61,461,64,2.32,30,1.63,12.13,99,38,7.47,57,284,5,4.00,12
7,Everton,5,2.34,1.47,511,33,1.34,28,1.58,13.45,56,38,5.42,58,206,2,2.21,6
8,Fulham,4,1.55,1.00,465,21,0.89,29,1.24,12.24,38,38,3.71,46,141,1,1.45,4
9,Hull City,6,1.29,0.87,554,16,0.71,30,1.89,14.58,33,38,3.16,66,120,6,1.13,8
10,Liverpool,3,2.50,1.53,457,37,1.45,29,1.61,12.03,58,38,5.05,56,192,5,2.42,3
11,Manchester City,5,3.18,1.92,443,48,1.79,31,1.39,11.66,73,38,5.24,51,199,2,3.05,5
12,Manchester United,6,3.21,1.95,441,48,1.79,30,1.45,11.61,74,38,6.47,51,246,4,3.05,8
13,Portsmouth,3,1.39,0.89,500,19,0.82,33,2.00,13.16,34,38,3.92,71,149,5,1.32,6
14,Stoke City,2,1.45,0.84,476,23,0.79,23,1.87,12.53,32,38,3.13,66,119,5,1.39,2
15,Sunderland,6,1.92,1.18,540,28,1.03,28,2.39,14.21,45,38,4.00,82,152,9,1.76,9
16,Tottenham Hotspur,2,2.92,1.74,453,45,1.68,30,1.55,11.92,66,38,6.05,58,230,1,2.87,3
17,West Ham United,7,1.92,1.21,539,27,1.03,30,1.82,14.18,46,38,4.92,66,187,3,1.74,9
18,Wigan Athletic,1,1.50,0.95,500,21,0.92,27,1.76,13.16,36,38,4.79,64,182,3,1.47,2
19,Wolverhampton Wanderers,2,1.13,0.74,513,15,0.68,29,1.79,13.50,28,38,3.74,64,142,4,1.08,2
