,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,4,3.53,1.92,388,61,1.82,30,1.55,10.21,73,38,6.37,57,242,2,3.42,5
1,Bournemouth,3,2.13,1.18,339,36,1.11,22,1.50,8.92,45,38,4.16,56,158,1,2.05,3
2,Brighton & Hove Albion,5,1.53,0.87,414,25,0.74,24,1.47,10.89,33,38,3.16,54,120,2,1.39,7
3,Burnley,0,1.61,0.92,352,26,0.92,24,1.71,9.26,35,38,3.34,65,127,0,1.61,0
4,Chelsea,3,2.68,1.58,364,42,1.50,26,1.26,9.58,60,38,5.84,44,222,4,2.61,3
5,Crystal Palace,8,1.84,1.16,425,26,0.95,28,1.89,11.18,44,38,3.97,72,151,0,1.63,10
6,Everton,5,1.79,1.11,454,26,0.97,30,1.47,11.95,42,38,3.24,53,123,3,1.66,8
7,Huddersfield Town,2,1.16,0.66,397,19,0.61,25,1.74,10.45,25,38,2.89,63,110,3,1.11,2
8,Leicester City,5,2.39,1.39,370,38,1.26,27,1.61,9.74,53,38,4.00,56,152,5,2.26,6
9,Liverpool,2,3.68,2.16,349,58,2.11,27,1.18,9.18,82,38,6.08,44,231,1,3.63,3
10,Manchester City,6,4.95,2.71,343,85,2.55,25,1.66,9.03,103,38,6.97,61,265,2,4.79,8
11,Manchester United,1,3.16,1.76,403,53,1.74,27,1.71,10.61,67,38,4.71,64,179,1,3.13,3
12,Newcastle United,0,1.76,1.00,407,29,1.00,27,1.45,10.71,38,38,3.97,53,151,2,1.76,1
13,Southampton,3,1.55,0.95,415,23,0.87,26,1.74,10.92,36,38,3.82,64,145,2,1.47,3
14,Stoke City,0,1.63,0.89,433,28,0.89,30,1.66,11.39,34,38,3.45,62,131,1,1.63,3
15,Swansea City,1,1.24,0.71,378,20,0.68,26,1.37,9.95,27,38,2.71,51,103,1,1.21,1
16,Tottenham Hotspur,2,3.18,1.84,383,51,1.79,25,1.39,10.08,70,38,5.71,51,217,2,3.13,3
17,Watford,3,1.82,1.11,440,27,1.03,29,1.79,11.58,42,38,3.53,64,134,4,1.74,6
18,West Bromwich Albion,1,1.45,0.82,440,24,0.79,24,1.95,11.58,31,38,3.05,73,116,1,1.42,1
19,West Ham United,2,2.03,1.26,378,29,1.21,27,2.00,9.95,48,38,3.45,74,131,2,1.97,4
