,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,3,3.05,1.79,326,48,1.71,27,1.50,8.58,68,38,6.68,53,254,4,2.97,3
1,Aston Villa,2,1.66,1.00,483,25,0.95,26,2.05,12.71,38,38,3.58,78,136,0,1.61,4
2,Cardiff City,1,1.45,0.82,348,24,0.79,32,1.32,9.16,31,38,3.29,49,125,1,1.42,1
3,Chelsea,5,2.84,1.82,424,39,1.68,29,1.63,11.16,69,38,7.39,59,281,3,2.71,7
4,Crystal Palace,5,1.39,0.84,408,21,0.71,32,1.58,10.74,32,38,3.74,58,142,2,1.26,6
5,Everton,3,2.63,1.53,360,42,1.45,28,1.45,9.47,58,38,6.18,54,235,1,2.55,3
6,Fulham,2,1.74,1.00,385,28,0.95,39,1.55,10.13,38,38,3.92,58,149,1,1.68,3
7,Hull City,2,1.47,0.92,418,21,0.87,27,1.53,11.00,35,38,3.39,54,129,4,1.42,3
8,Liverpool,10,4.16,2.55,410,61,2.29,25,1.45,10.79,97,38,7.89,54,300,1,3.89,12
9,Manchester City,6,4.21,2.55,393,63,2.39,23,1.92,10.34,97,38,6.29,72,239,1,4.05,7
10,Manchester United,5,2.63,1.66,400,37,1.53,30,1.87,10.53,63,38,6.16,68,234,3,2.50,5
11,Newcastle United,2,1.74,1.08,412,25,1.03,26,1.55,10.84,41,38,4.87,53,185,6,1.68,3
12,Norwich City,1,1.21,0.74,425,18,0.71,25,1.71,11.18,28,38,3.82,63,145,2,1.18,2
13,Southampton,3,2.34,1.37,444,37,1.29,24,1.58,11.68,52,38,4.76,60,181,0,2.26,3
14,Stoke City,4,1.84,1.16,486,26,1.05,26,2.11,12.79,44,38,3.74,75,142,5,1.74,5
15,Sunderland,6,1.71,1.08,444,24,0.92,31,2.00,11.68,41,38,3.55,69,135,7,1.55,6
16,Swansea City,4,2.21,1.24,374,37,1.13,27,1.55,9.84,47,38,4.29,56,163,3,2.11,4
17,Tottenham Hotspur,5,2.18,1.32,403,33,1.18,28,1.82,10.61,50,38,6.00,65,228,4,2.05,6
18,West Bromwich Albion,2,1.79,1.08,424,27,1.03,28,1.76,11.16,41,38,3.82,67,145,0,1.74,2
19,West Ham United,2,1.53,0.95,402,22,0.89,29,1.82,10.58,36,38,3.24,64,123,5,1.47,2
