,squad,goals_assists_pens_perG,goals,fouls,goals_assists_perG,shots_on_target,assists,players_used,cards_yellow,goals_perG,cards_red,shots_on_target_perG,fouls_perG,cards_perG,pens_made,games,goals_pens_perG,pens_att
0,Arsenal,3.26,73,394,3.37,201,55,29,68,1.92,3,5.29,10.37,1.87,4,38,1.82,6
1,Bournemouth,2.08,53,372,2.26,160,33,27,54,1.39,3,4.21,9.79,1.50,7,38,1.21,10
2,Burnley,1.50,39,428,1.66,121,24,27,66,1.03,2,3.18,11.26,1.79,6,38,0.87,6
3,Chelsea,3.53,83,394,3.58,205,53,24,72,2.18,0,5.39,10.37,1.89,2,38,2.13,4
4,Crystal Palace,2.00,48,471,2.11,137,32,31,77,1.26,0,3.61,12.39,2.03,4,38,1.16,7
5,Everton,2.63,58,457,2.71,192,45,27,73,1.53,2,5.05,12.03,1.97,3,38,1.45,4
6,Hull City,1.50,36,403,1.58,126,24,28,67,0.95,5,3.32,10.61,1.89,3,38,0.87,3
7,Leicester City,1.95,46,447,2.05,145,32,25,72,1.21,1,3.82,11.76,1.92,4,38,1.11,6
8,Liverpool,3.21,77,396,3.39,236,52,23,54,2.03,0,6.21,10.42,1.42,7,38,1.84,8
9,Manchester City,3.21,75,395,3.39,215,54,25,71,1.97,4,5.66,10.39,1.97,7,38,1.79,9
10,Manchester United,2.32,54,498,2.39,207,37,31,79,1.42,2,5.45,13.11,2.13,3,38,1.34,4
11,Middlesbrough,1.21,26,480,1.26,98,22,27,78,0.68,1,2.58,12.63,2.08,2,38,0.63,2
12,Southampton,1.66,39,426,1.74,179,27,26,60,1.03,2,4.71,11.21,1.63,3,38,0.95,6
13,Stoke City,1.50,37,434,1.61,135,24,26,71,0.97,2,3.55,11.42,1.92,4,38,0.87,6
14,Sunderland,0.89,28,437,1.03,122,11,31,81,0.74,4,3.21,11.50,2.24,5,38,0.61,5
15,Swansea City,1.92,45,399,2.00,145,31,27,56,1.18,0,3.82,10.50,1.47,3,38,1.11,3
16,Tottenham Hotspur,3.58,84,431,3.76,257,59,24,62,2.21,0,6.76,11.34,1.63,7,38,2.03,9
17,Watford,1.66,39,514,1.74,143,27,33,87,1.03,5,3.76,13.53,2.42,3,38,0.95,3
18,West Bromwich Albion,1.97,43,448,2.00,124,33,23,80,1.13,0,3.26,11.79,2.11,1,38,1.11,1
19,West Ham United,1.87,46,408,1.95,136,28,29,82,1.21,5,3.58,10.74,2.29,3,38,1.13,4
