,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
0,0,Aston Villa,0,GK,0.00,0,0.00,"3,420",0.00,29,0.00,0.00,0,0.00,90,0,38,0,eng ENG,0,0.00,0,0,38,David James
1,0,Southampton,8,DF,0.21,0,0.05,"3,420",0.00,19,0.03,0.61,1,0.00,90,23,38,2,eng ENG,0,0.05,0,0,38,Wayne Bridge
2,0,Liverpool,0,GK,0.00,0,0.00,"3,420",0.00,25,0.00,0.00,0,0.00,90,0,38,0,nl NED,0,0.00,0,0,38,Sander Westerveld
3,2,Leicester City,9,DF,0.24,0,0.11,"3,403",0.05,26,0.11,0.71,4,0.05,90,27,38,2,eng ENG,0,0.11,0,0,38,Gary Rowett
4,3,Ipswich Town,14,MF,0.37,0,0.19,"3,379",0.08,26,0.00,0.51,0,0.08,89,19,38,4,ie IRL,0,0.19,0,0,38,Matt Holland
5,6,Aston Villa,18,"FW,MF",0.48,0,0.32,"3,364",0.16,32,0.05,0.29,2,0.16,89,11,38,6,eng ENG,0,0.32,0,0,38,Paul Merson
6,3,Liverpool,7,DF,0.19,0,0.16,"3,354",0.08,27,0.16,1.23,6,0.08,88,46,38,3,de GER,0,0.16,0,0,38,Markus Babbel
7,0,Southampton,4,DF,0.11,0,0.00,"3,351",0.00,27,0.08,0.59,3,0.00,88,22,38,0,no NOR,0,0.00,0,0,38,Claus Lundekvam
8,9,Leeds United,36,MF,0.97,0,0.40,"3,346",0.24,23,0.24,1.37,9,0.24,88,51,38,6,eng ENG,0,0.40,0,0,38,Lee Bowyer
9,1,Everton,6,DF,0.17,0,0.08,"3,249",0.03,30,0.11,0.97,4,0.03,88,35,37,2,sco SCO,0,0.08,0,0,37,David Weir
10,1,Bradford City,5,MF,0.14,1,0.03,"3,243",0.03,36,0.14,1.22,4,0.03,88,44,36,0,sco SCO,0,0.03,1,0,37,Stuart McCall
11,0,Ipswich Town,0,GK,0.00,0,0.00,"3,240",0.00,22,0.00,0.00,0,0.00,90,0,36,0,eng ENG,0,0.00,0,0,36,Richard Wright
12,1,Sunderland,4,"DF,MF",0.11,0,0.11,"3,218",0.03,25,0.17,0.81,5,0.03,89,29,36,3,eng ENG,0,0.11,1,0,36,Michael Gray
13,5,Charlton Athletic,29,MF,0.82,1,0.23,"3,174",0.11,23,0.00,0.26,0,0.14,84,9,37,4,dk DEN,1,0.26,0,1,38,Claus Jensen
14,3,Chelsea,16,MF,0.46,1,0.20,"3,151",0.09,33,0.26,1.54,9,0.09,90,54,34,4,eng ENG,0,0.20,0,0,35,Dennis Wise
15,3,Liverpool,11,DF,0.31,0,0.11,"3,150",0.09,26,0.00,0.80,0,0.09,90,28,35,1,fi FIN,0,0.11,0,0,35,Sami Hyypiä
16,0,Southampton,0,GK,0.00,0,0.00,"3,150",0.00,33,0.00,0.00,0,0.00,90,0,35,0,wal WAL,0,0.00,0,0,35,Paul Jones
17,5,Newcastle United,19,MF,0.54,0,0.23,"3,150",0.14,30,0.26,2.00,8,0.14,90,70,35,3,wal WAL,0,0.23,1,0,35,Gary Speed
18,6,Manchester City,11,DF,0.31,0,0.20,"3,147",0.17,28,0.20,1.74,7,0.17,87,61,36,1,eng ENG,0,0.20,0,0,36,Steve Howey
19,1,Aston Villa,5,DF,0.14,1,0.12,"3,113",0.03,28,0.09,0.49,3,0.03,87,17,35,3,eng ENG,0,0.12,0,0,36,Alan Wright
20,1,Ipswich Town,8,DF,0.23,1,0.12,"3,109",0.03,26,0.09,1.77,3,0.03,86,61,35,3,is ISL,0,0.12,0,0,36,Hermann Hreiðarsson
21,0,Tottenham Hotspur,0,GK,0.00,0,0.00,"3,108",0.00,30,0.00,0.00,0,0.00,89,0,35,0,sco SCO,0,0.00,0,0,35,Neil Sullivan
