,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,780",28,21,1,42,43,0.67,88,148,50.0,2,18,7,.811,17
1,Aston Villa,"3,850",50,15,2,42,44,1.17,88,175,35.7,2,15,15,.714,12
2,Blackburn Rovers,"4,860",59,18,0,54,54,1.09,90,253,33.3,2,27,16,.767,11
3,Chelsea,"3,780",53,11,0,42,42,1.26,90,192,26.2,2,13,17,.724,12
4,Coventry City,"3,780",45,14,0,42,42,1.07,90,198,33.3,2,14,14,.773,14
5,Everton,"3,780",63,10,0,42,42,1.50,90,226,23.8,1,12,22,.721,8
6,Ipswich Town,"3,780",58,14,0,42,42,1.38,90,247,33.3,2,9,17,.765,16
7,Leeds United,"3,780",39,18,0,42,42,0.93,90,186,42.9,2,18,8,.790,16
8,Liverpool,"3,750",55,9,1,42,43,1.32,87,191,21.4,2,17,16,.712,9
9,Manchester City,"3,780",49,13,0,42,42,1.17,90,201,31.0,2,9,15,.756,18
10,Manchester United,"4,410",47,17,1,48,49,0.96,90,187,35.4,2,31,7,.749,12
11,Newcastle United,"3,818",41,15,1,42,43,0.97,89,200,35.7,3,24,11,.795,8
12,Norwich City,"3,780",61,10,1,42,43,1.45,88,204,23.8,2,12,13,.701,17
13,Oldham Athletic,"3,330",59,6,1,36,37,1.59,90,187,16.7,3,7,17,.684,12
14,Queens Park Rangers,"3,780",61,10,0,42,42,1.45,90,196,23.8,2,16,14,.689,12
15,Sheffield United,"3,940",60,13,3,42,45,1.37,88,192,31.0,2,8,9,.688,18
16,Sheffield Wednesday,"3,780",54,10,0,42,42,1.29,90,194,23.8,2,16,10,.722,16
17,Southampton,"2,700",43,6,0,30,30,1.43,90,144,20.0,2,10,15,.701,5
18,Swindon Town,"3,700",93,4,3,40,43,2.26,86,239,10.0,3,5,21,.611,15
19,Tottenham Hotspur,"3,780",59,9,1,42,43,1.40,88,172,21.4,2,11,19,.657,12
20,West Ham United,"3,780",58,8,0,42,42,1.38,90,193,19.0,1,13,16,.699,13
21,Wimbledon,"3,780",53,12,1,42,43,1.26,88,169,28.6,2,18,13,.686,11
