,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,420",38,17,0,38,38,1.00,90,133,44.7,3,20,8,.714,10
1,Aston Villa,"3,420",43,9,0,38,38,1.13,90,166,23.7,1,13,10,.741,15
2,Bradford City,"3,583",73,6,0,41,41,1.83,87,275,14.6,3,6,22,.735,13
3,Charlton Athletic,"3,420",58,14,1,38,39,1.53,88,195,36.8,3,14,14,.703,10
4,Chelsea,"3,420",45,10,1,38,39,1.18,88,150,26.3,2,17,11,.700,10
5,Coventry City,"3,420",63,6,1,38,39,1.66,88,220,15.8,3,8,20,.714,10
6,Derby County,"3,420",61,13,1,38,39,1.61,88,219,34.2,2,10,16,.721,12
7,Everton,"3,420",59,7,1,38,39,1.55,88,172,18.4,3,11,18,.657,9
8,Ipswich Town,"3,420",42,13,0,38,38,1.11,90,157,34.2,2,20,12,.732,6
9,Leeds United,"3,420",43,11,1,38,39,1.13,88,162,28.9,2,20,10,.735,8
10,Leicester City,"3,420",51,11,3,38,41,1.34,83,202,28.9,2,14,18,.748,6
11,Liverpool,"3,420",39,14,0,38,38,1.03,90,165,36.8,1,20,9,.764,9
12,Manchester City,"3,420",65,7,0,38,38,1.71,90,204,18.4,3,7,20,.681,11
13,Manchester United,"3,420",31,16,5,38,43,0.82,80,140,42.1,4,27,6,.779,8
14,Middlesbrough,"3,150",41,7,1,35,36,1.17,88,180,20.0,2,8,14,.772,13
15,Newcastle United,"3,420",50,7,1,38,39,1.32,88,179,18.4,2,14,15,.721,9
16,Southampton,"3,420",48,14,0,38,38,1.26,90,182,36.8,2,14,14,.736,10
17,Sunderland,"3,420",41,13,1,38,39,1.08,88,176,34.2,2,15,11,.767,12
18,Tottenham Hotspur,"3,420",53,11,1,38,39,1.39,88,208,28.9,2,13,15,.745,9
19,West Ham United,"3,420",48,8,1,38,39,1.26,88,180,21.1,3,10,16,.733,12
