,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,5,3.42,1.92,389,57,1.79,27,1.53,10.24,73,38,6.58,55,250,3,3.29,6
1,Aston Villa,6,2.84,1.74,523,42,1.58,22,1.58,13.76,66,38,5.26,56,200,4,2.68,7
2,Birmingham City,6,1.71,1.16,502,21,1.00,28,1.89,13.21,44,38,4.68,69,178,3,1.55,6
3,Blackburn Rovers,5,2.16,1.32,552,32,1.18,22,2.11,14.53,50,38,5.76,74,219,6,2.03,6
4,Bolton Wanderers,0,1.47,0.89,499,22,0.63,30,1.97,13.13,34,38,4.26,75,162,0,1.13,1
5,Chelsea,7,3.05,1.68,431,52,1.47,26,1.87,11.34,64,38,5.45,65,207,6,2.71,7
6,Derby County,0,0.82,0.50,515,12,0.50,36,1.66,13.55,19,38,3.71,62,141,1,0.82,0
7,Everton,1,2.18,1.39,474,30,1.37,23,1.13,12.47,53,38,5.00,40,190,3,2.16,1
8,Fulham,2,1.42,0.97,477,17,0.92,32,1.71,12.55,37,38,4.58,59,174,6,1.37,3
9,Liverpool,5,2.82,1.68,440,43,1.55,25,1.24,11.58,64,38,7.00,46,266,1,2.68,5
10,Manchester City,2,1.89,1.11,395,30,1.05,28,1.45,10.39,42,38,4.45,51,169,4,1.84,2
11,Manchester United,6,3.42,2.05,406,52,1.89,25,1.39,10.68,78,38,7.92,51,301,2,3.26,8
12,Middlesbrough,2,1.84,1.13,516,27,1.08,29,2.29,13.58,43,38,4.76,85,181,2,1.79,2
13,Newcastle United,4,1.84,1.13,470,27,1.03,26,1.58,12.37,43,38,4.58,59,174,1,1.74,4
14,Portsmouth,4,2.05,1.21,528,32,1.11,28,1.55,13.89,46,38,4.87,56,185,3,1.95,7
15,Reading,2,1.76,1.08,451,26,1.03,26,1.74,11.87,41,38,4.82,61,183,5,1.71,4
16,Sunderland,1,1.50,0.95,502,21,0.92,31,1.82,13.21,36,38,4.03,66,153,3,1.47,2
17,Tottenham Hotspur,4,2.63,1.71,385,35,1.61,30,1.37,10.13,65,38,6.21,51,236,1,2.53,6
18,West Ham United,2,1.79,1.03,517,29,0.97,28,1.76,13.61,39,38,4.71,65,179,2,1.74,2
19,Wigan Athletic,4,1.37,0.87,502,19,0.76,27,1.68,13.21,33,38,4.84,60,184,4,1.26,5
