,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,1,3.03,1.63,348,53,1.61,25,1.21,9.16,62,38,5.53,42,210,4,3.00,2
1,Aston Villa,2,1.13,0.63,429,19,0.58,29,2.05,11.29,24,38,2.89,75,110,3,1.08,2
2,Bournemouth,3,1.87,1.13,361,28,1.05,28,1.42,9.50,43,38,3.76,53,143,1,1.79,4
3,Chelsea,4,2.50,1.45,401,40,1.34,28,1.71,10.55,55,38,4.53,60,172,5,2.39,5
4,Crystal Palace,4,1.55,1.00,465,21,0.89,30,1.66,12.24,38,38,4.03,61,153,2,1.45,5
5,Everton,4,2.63,1.47,306,44,1.37,31,1.37,8.05,56,38,4.58,47,174,5,2.53,5
6,Leicester City,10,2.92,1.79,406,43,1.53,23,1.42,10.68,68,38,4.71,51,179,3,2.66,13
7,Liverpool,2,2.95,1.63,410,50,1.58,34,1.76,10.79,62,38,5.24,64,199,3,2.89,2
8,Manchester City,5,3.26,1.87,409,53,1.74,25,1.61,10.76,71,38,5.53,61,210,0,3.13,8
9,Manchester United,3,2.03,1.21,473,31,1.13,33,1.76,12.45,46,38,3.79,66,144,1,1.95,3
10,Newcastle United,3,2.03,1.13,419,34,1.05,31,1.71,11.03,43,38,3.95,60,150,5,1.95,3
11,Norwich City,1,1.71,1.00,431,27,0.97,28,1.71,11.34,38,38,3.42,62,130,3,1.68,1
12,Southampton,3,2.71,1.53,417,45,1.45,26,1.74,10.97,58,38,4.34,60,165,6,2.63,4
13,Stoke City,5,1.82,1.05,420,29,0.92,27,1.47,11.05,40,38,3.34,52,127,4,1.68,5
14,Sunderland,3,1.95,1.16,484,30,1.08,31,1.79,12.74,44,38,4.55,66,173,2,1.87,3
15,Swansea City,5,1.74,1.08,392,25,0.95,27,1.61,10.32,41,38,3.55,60,135,1,1.61,5
16,Tottenham Hotspur,5,3.11,1.79,451,50,1.66,24,1.89,11.87,68,38,6.58,72,250,0,2.97,5
17,Watford,6,1.47,1.00,455,18,0.84,25,2.05,11.97,38,38,3.66,75,139,3,1.32,7
18,West Bromwich Albion,1,1.50,0.84,400,25,0.82,28,1.79,10.53,32,38,2.84,65,108,3,1.47,5
19,West Ham United,4,2.68,1.68,381,38,1.58,28,1.63,10.03,64,38,4.89,57,186,5,2.58,4
