,games_starts,losses,minutes_per_game,save_perc,nationality,player,position,age,clean_sheets_perc,wins,goals_against_per90,games_subs,goals_against,shots_on_target_against,games,clean_sheets,minutes,draws,squad
0,38,14,90,.760,ie IRL,Shay Given,GK,29,34.2,17,1.11,0,42,175,38,13,"3,420",7,Newcastle United
1,38,12,90,.782,fi FIN,Jussi Jääskeläinen,GK,30,39.5,15,1.08,0,41,188,38,15,"3,420",11,Bolton Wanderers
2,38,9,90,.770,eng ENG,Paul Robinson,GK,25,34.2,18,1.00,0,38,165,38,13,"3,420",11,Tottenham Hotspur
3,38,21,90,.767,eng ENG,David James,GK,34,15.8,13,1.26,0,48,206,38,6,"3,420",4,Manchester City
4,38,13,90,.773,us USA,Brad Friedel,GK,34,42.1,19,1.11,0,42,185,38,16,"3,420",6,Blackburn Rovers
5,38,11,90,.817,de GER,Jens Lehmann,GK,35,42.1,20,0.82,0,31,169,38,16,"3,420",7,Arsenal
6,38,5,89,.819,nl NED,Edwin van der Sar,GK,34,47.4,25,0.88,0,33,182,38,18,"3,375",8,Manchester United
7,36,15,90,.788,dk DEN,Thomas Sørensen,GK,29,30.6,9,1.42,0,51,240,36,11,"3,240",12,Aston Villa
8,34,18,90,.782,nir NIR,Maik Taylor,GK,33,23.5,6,1.29,0,44,202,34,8,"3,060",10,Birmingham City
9,34,3,89,.856,cz CZE,Petr Čech,GK,23,52.9,27,0.60,0,20,139,34,18,"3,015",4,Chelsea
10,33,24,90,.756,eng ENG,Kelvin Davis,GK,28,12.1,3,1.73,0,57,234,33,4,"2,970",6,Sunderland
11,33,5,90,.851,es ESP,Pepe Reina,GK,22,60.6,21,0.64,0,21,141,33,20,"2,962",7,Liverpool
12,28,16,89,.797,pl POL,Tomasz Kuszczak,GK,23,32.1,5,1.34,0,37,182,28,9,"2,491",7,West Bromwich Albion
13,27,11,90,.758,au AUS,Mark Schwarzer,GK,32,29.6,9,1.41,0,38,157,27,8,"2,430",7,Middlesbrough
14,23,14,88,.678,eng ENG,Mike Pollitt,GK,33,13.0,6,1.62,1,38,118,24,3,"2,115",4,Wigan Athletic
15,20,7,90,.802,no NOR,Thomas Myhre,GK,31,45.0,6,1.15,0,23,116,20,9,"1,800",7,Charlton Athletic
16,20,9,88,.774,eng ENG,Nigel Martyn,GK,38,35.0,8,1.23,0,24,106,20,7,"1,755",2,Everton
17,19,8,90,.754,nir NIR,Roy Carroll,GK,27,15.8,7,1.47,0,28,114,19,3,"1,710",4,West Ham United
18,18,8,90,.690,ie IRL,Dean Kiely,GK,34,11.1,7,1.72,0,31,100,18,2,"1,620",0,Portsmouth
19,17,10,90,.681,eng ENG,Jamie Ashdown,GK,24,17.6,3,1.76,0,30,94,17,3,"1,530",4,Portsmouth
20,16,12,83,.701,tt TRI,Tony Warner,GK,31,12.5,3,1.94,2,32,107,18,2,"1,486",2,Fulham
21,16,5,88,.761,tt TRI,Shaka Hislop,GK,36,31.3,8,1.34,0,21,88,16,5,"1,410",3,West Ham United
22,15,8,90,.747,dk DEN,Stephan Andersen,GK,23,20.0,6,1.60,0,24,95,15,3,"1,350",1,Charlton Athletic
23,15,3,87,.831,au AUS,John Filan,GK,35,46.7,9,0.97,0,14,83,15,7,"1,305",2,Wigan Athletic
24,14,5,85,.732,eng ENG,Richard Wright,GK,27,28.6,4,1.35,1,19,71,15,4,"1,269",5,Everton
25,13,4,86,.746,wal WAL,Mark Crossley,GK,36,30.8,4,1.36,0,17,67,13,4,"1,124",4,Fulham
26,10,6,90,.698,eng ENG,Chris Kirkland,GK,24,10.0,2,1.90,0,19,63,10,1,900,2,West Bromwich Albion
27,9,2,90,.827,fi FIN,Antti Niemi,GK,33,44.4,7,1.00,0,9,52,9,4,810,0,Fulham
28,9,5,90,.654,au AUS,Brad Jones,GK,23,22.2,3,2.00,0,18,52,9,2,810,1,Middlesbrough
29,8,5,90,.729,nl NED,Sander Westerveld,GK,30,12.5,1,1.62,0,13,48,8,1,720,2,Everton
30,5,1,90,.818,pl POL,Jerzy Dudek,GK,32,40.0,4,0.80,0,4,22,5,2,450,0,Liverpool
31,5,5,90,.721,eng ENG,Ben Alnwick,GK,18,0.0,0,2.40,0,12,43,5,0,450,0,Sunderland
32,4,2,90,.700,be BEL,Nico Vaesen,GK,35,50.0,2,1.50,0,6,20,4,2,360,0,Birmingham City
33,3,1,79,.909,it ITA,Carlo Cudicini,GK,31,66.7,2,0.29,1,1,11,4,2,315,0,Chelsea
34,3,2,90,.571,eng ENG,Jimmy Walker,GK,32,33.3,1,2.00,0,6,14,3,1,270,0,West Ham United
35,2,1,90,.636,eng ENG,Stuart Taylor,GK,24,0.0,1,2.00,0,4,11,2,0,180,0,Aston Villa
36,2,1,90,.846,eng ENG,Ross Turnbull,GK,20,0.0,0,1.00,0,2,13,2,0,180,1,Middlesbrough
37,2,1,45,.667,sco SCO,Iain Turner,GK,21,50.0,1,1.33,1,2,6,3,1,135,0,Everton
38,1,1,90,.750,eng ENG,Lenny Pidgeley,GK,21,0.0,0,1.00,0,1,4,1,0,90,0,Chelsea
39,0,0,45,.800,us USA,Tim Howard,GK,26,,0,2.00,1,1,5,1,0,45,0,Manchester United
40,0,0,30,1.000,eng ENG,Stephen Bywater,GK,24,,0,0.00,1,0,3,1,0,30,0,West Ham United
