,games_starts,losses,minutes_per_game,save_perc,nationality,player,position,age,clean_sheets_perc,wins,goals_against_per90,games_subs,goals_against,shots_on_target_against,games,clean_sheets,minutes,draws,squad
0,38,3,90,.735,dk DEN,Kasper Schmeichel,GK,28,39.5,23,0.95,0,36,136,38,15,"3,420",12,Leicester City
1,38,17,89,.598,br BRA,Heurelho Gomes,GK,34,28.9,12,1.30,0,49,122,38,11,"3,396",9,Watford
2,37,5,90,.714,fr FRA,Hugo Lloris,GK,28,35.1,19,0.92,0,34,119,37,13,"3,330",13,Tottenham Hotspur
3,37,15,90,.681,pl POL,Łukasz Fabiański,GK,30,24.3,12,1.38,0,51,160,37,9,"3,330",10,Swansea City
4,35,9,89,.660,eng ENG,Joe Hart,GK,28,42.9,17,1.04,0,36,106,35,15,"3,109",9,Manchester City
5,34,7,90,.756,cz CZE,Petr Čech,GK,33,47.1,18,0.91,0,31,127,34,16,"3,060",9,Arsenal
6,34,9,90,.703,es ESP,David de Gea,GK,24,44.1,17,0.97,0,33,111,34,15,"3,060",8,Manchester United
7,34,8,90,.622,be BEL,Simon Mignolet,GK,27,0.0,15,1.24,0,42,111,34,0,"3,060",11,Liverpool
8,32,14,90,.589,pl POL,Artur Boruc,GK,35,21.9,11,1.59,0,51,124,32,7,"2,880",7,Bournemouth
9,32,5,90,.717,es ESP,Adrián,GK,28,28.1,13,1.22,0,39,138,32,9,"2,880",14,West Ham United
10,31,11,90,.734,eng ENG,Jack Butland,GK,22,32.3,13,1.19,0,37,139,31,10,"2,790",7,Stoke City
11,29,12,90,.684,wal WAL,Wayne Hennessey,GK,28,27.6,8,1.24,0,36,114,29,8,"2,610",9,Crystal Palace
12,28,22,90,.597,us USA,Brad Guzan,GK,30,7.1,1,2.07,0,58,144,28,2,"2,520",5,Aston Villa
13,27,15,90,.604,eng ENG,John Ruddy,GK,28,11.1,6,1.63,0,44,111,27,3,"2,430",6,Norwich City
14,25,6,90,.698,us USA,Tim Howard,GK,36,28.0,8,1.40,0,35,116,25,7,"2,250",11,Everton
15,23,9,90,.674,wal WAL,Boaz Myhill,GK,32,30.4,7,1.35,0,31,95,23,7,"2,070",7,West Bromwich Albion
16,23,5,88,.688,be BEL,Thibaut Courtois,GK,23,21.7,8,1.29,0,29,93,23,5,"2,020",9,Chelsea
