squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,2,2.63,1.53,,42,1.47,25,2.05,,58,38,6.5,71,247,7,2.58,4,38,3420,60.5,4,22,0.45,0,2,90,17,124,0.863,38,12,23,1998
Aston Villa,2,1.87,1.32,,32,0.97,23,1.82,,50,38,3.79,65,144,4,1.82,4,38,3420,39.5,13,15,1.21,1,3,88,46,204,0.775,39,10,15,1998
Blackburn Rovers,2,1.63,0.89,,28,0.84,29,2.13,,34,38,4.66,76,177,5,1.58,4,40,3600,30.0,17,8,1.3,1,4,88,52,196,0.735,41,15,12,1998
Charlton Athletic,4,1.66,1.03,,24,0.92,27,1.68,,39,38,4.24,61,161,3,1.55,6,38,3284,28.9,18,8,1.53,3,3,80,56,178,0.685,41,12,11,1998
Chelsea,3,2.47,1.47,,38,1.39,26,2.47,,56,38,5.55,90,211,4,2.39,4,37,3330,40.5,3,20,0.81,1,3,88,30,136,0.779,38,15,15,1998
Coventry City,2,1.63,1.03,,26,0.89,27,1.95,,39,38,5.16,73,196,1,1.58,2,38,3420,18.4,18,11,1.34,0,2,90,51,202,0.748,38,9,7,1998
Derby County,4,1.68,1.05,,26,0.89,25,2.26,,40,38,4.0,84,152,2,1.58,6,38,3450,31.6,12,13,1.17,2,2,86,45,193,0.767,40,13,12,1998
Everton,3,1.79,1.16,,28,0.97,30,2.74,,44,38,4.61,99,175,5,1.71,6,38,3420,36.8,17,11,1.24,0,1,90,47,177,0.7340000000000001,38,10,14,1998
Leeds United,2,2.61,1.61,,38,1.55,24,2.16,,61,38,5.66,81,215,1,2.55,3,38,3420,39.5,7,18,0.89,1,2,88,34,207,0.836,39,13,15,1998
Leicester City,2,1.89,1.05,,32,1.0,24,1.47,,40,38,4.58,55,174,1,1.84,3,38,3420,36.8,13,12,1.21,2,2,86,46,198,0.768,40,13,14,1998
Liverpool,7,2.92,1.79,,43,1.61,24,1.58,,68,38,5.87,64,223,2,2.74,7,38,3420,21.1,14,15,1.29,0,2,90,49,181,0.7290000000000001,38,9,8,1998
Manchester United,2,3.68,2.05,,62,2.0,23,1.61,,78,38,6.53,58,248,3,3.63,4,38,3420,34.2,3,22,0.97,1,2,88,37,146,0.747,39,13,13,1998
Middlesbrough,1,1.89,1.24,,30,1.08,28,2.18,,47,38,5.63,81,214,2,1.87,1,38,3420,34.2,11,12,1.42,1,3,88,54,258,0.7909999999999999,39,15,13,1998
Newcastle United,6,1.87,1.24,,26,1.03,29,1.53,,47,38,5.18,54,197,4,1.71,7,38,3420,13.2,14,11,1.42,1,2,88,54,161,0.665,39,13,5,1998
Nottingham Forest,2,1.45,0.92,,23,0.79,31,2.5,,35,38,3.97,89,151,6,1.37,2,38,3420,15.8,22,7,1.82,0,2,90,69,225,0.693,38,9,6,1998
Sheffield Wednesday,1,1.79,1.03,,29,1.0,26,1.37,,39,38,3.82,48,145,4,1.76,2,38,3440,31.6,18,13,1.1,1,2,88,42,192,0.7809999999999999,39,7,12,1998
Southampton,1,1.63,0.92,,27,0.89,27,1.92,,35,38,4.29,70,163,3,1.61,1,39,3478,23.1,19,11,1.66,3,3,83,64,208,0.6920000000000001,42,8,9,1998
Tottenham Hotspur,2,2.13,1.26,,33,1.21,26,1.92,,48,38,5.26,67,200,6,2.08,3,38,3420,31.6,13,11,1.32,0,3,90,50,179,0.721,38,15,12,1998
West Ham United,1,2.11,1.26,,32,1.13,27,2.21,,48,38,5.03,78,191,6,1.95,1,38,3453,42.1,13,16,1.38,1,2,89,53,256,0.7929999999999999,39,9,16,1998
Wimbledon,1,1.87,1.05,,33,0.97,23,1.61,,40,38,3.89,60,148,1,1.84,1,38,3420,18.4,16,10,1.66,0,1,90,63,258,0.7559999999999999,38,12,7,1998
