squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,5,2.97,1.71,449,48,1.58,28,1.63,11.82,65,38,6.08,59,231,3,2.84,5,38,3420,36.8,6,20,0.97,1,3,88,37,149,0.752,39,12,14,2008
Aston Villa,4,2.18,1.26,462,35,1.16,21,1.45,12.16,48,38,4.74,53,180,2,2.08,5,38,3420,34.2,10,17,1.26,1,2,88,48,186,0.742,39,11,13,2008
Blackburn Rovers,4,1.79,1.05,546,28,0.95,28,2.11,14.37,40,38,4.03,76,153,4,1.68,7,38,3420,26.3,17,10,1.58,1,2,88,60,177,0.6609999999999999,39,11,10,2008
Bolton Wanderers,0,1.79,1.05,527,28,1.05,24,1.63,13.87,40,38,4.87,61,185,1,1.79,1,38,3420,18.4,19,11,1.39,0,1,90,53,213,0.7509999999999999,38,8,7,2008
Chelsea,2,2.89,1.71,438,45,1.66,29,1.39,11.53,65,38,7.5,50,285,3,2.84,2,38,3420,57.9,5,25,0.63,0,3,90,24,144,0.833,38,8,22,2008
Everton,4,2.42,1.42,512,38,1.32,25,1.32,13.47,54,38,5.26,49,200,1,2.32,5,38,3420,44.7,9,17,0.97,0,1,90,37,186,0.8009999999999999,38,12,17,2008
Fulham,5,1.66,1.03,446,24,0.89,25,1.08,11.74,39,38,4.55,40,173,1,1.53,5,38,3420,39.5,13,14,0.89,0,1,90,34,195,0.826,38,11,15,2008
Hull City,3,1.37,0.92,568,17,0.84,29,1.95,14.95,35,38,4.21,71,160,3,1.29,3,38,3420,15.8,19,8,1.68,0,2,90,64,212,0.698,38,11,6,2008
Liverpool,5,3.24,1.92,447,50,1.79,23,1.32,11.76,73,38,7.08,50,269,0,3.11,6,38,3420,52.6,2,25,0.71,0,1,90,27,122,0.779,38,11,20,2008
Manchester City,6,2.39,1.47,492,35,1.32,34,1.42,12.95,56,38,5.61,50,213,4,2.24,7,38,3420,26.3,18,15,1.32,1,3,88,50,192,0.74,39,5,10,2008
Manchester United,4,3.13,1.79,425,51,1.68,33,1.82,11.18,68,38,7.16,64,272,5,3.03,4,38,3420,63.2,4,28,0.63,1,3,88,24,138,0.826,39,6,24,2008
Middlesbrough,1,1.13,0.68,450,17,0.66,28,1.5,11.84,26,38,4.03,54,153,3,1.11,3,38,3420,18.4,20,7,1.5,0,2,90,57,216,0.736,38,11,7,2008
Newcastle United,4,1.63,1.03,438,23,0.92,29,1.76,11.53,39,38,3.92,59,149,8,1.53,5,38,3420,18.4,18,7,1.55,0,2,90,59,210,0.7190000000000001,38,13,7,2008
Portsmouth,2,1.61,0.95,460,25,0.89,29,1.74,12.11,36,38,4.29,61,163,5,1.55,3,38,3420,21.1,17,10,1.5,0,2,90,57,212,0.731,38,11,8,2008
Stoke City,5,1.55,0.95,515,23,0.82,29,2.08,13.55,36,38,3.16,74,120,5,1.42,6,38,3420,31.6,17,12,1.45,3,2,83,55,191,0.7120000000000001,41,9,12,2008
Sunderland,1,1.34,0.84,399,19,0.82,30,1.84,10.5,32,38,4.32,69,164,1,1.32,1,38,3420,23.7,20,9,1.42,0,2,90,54,168,0.679,38,9,9,2008
Tottenham Hotspur,3,1.92,1.13,460,30,1.05,29,1.61,12.11,43,38,5.5,56,209,5,1.84,4,38,3420,34.2,15,14,1.18,0,2,90,45,203,0.778,38,9,13,2008
West Bromwich Albion,3,1.5,0.89,466,23,0.82,30,1.76,12.26,34,38,4.79,66,182,1,1.42,5,38,3420,21.1,22,8,1.76,0,2,90,67,227,0.705,38,8,8,2008
West Ham United,1,1.74,1.08,500,25,1.05,30,1.89,13.16,41,38,4.74,68,180,4,1.71,3,38,3420,26.3,15,14,1.18,0,1,90,45,197,0.772,38,9,10,2008
Wigan Athletic,5,1.26,0.87,465,15,0.74,29,1.71,12.24,33,38,4.82,61,183,4,1.13,5,38,3420,34.2,17,12,1.18,1,3,88,45,134,0.664,39,9,13,2008
