squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,1,3.0,1.63,509,52,1.61,26,1.29,13.39,62,38,7.03,46,267,3,2.97,2,38,3420,44.7,8,20,1.0,0,3,90,38,133,0.7140000000000001,38,10,17,2000
Aston Villa,1,2.13,1.21,540,35,1.18,22,1.71,14.21,46,38,4.37,62,166,3,2.11,1,38,3420,23.7,10,13,1.13,0,1,90,43,166,0.741,38,15,9,2000
Bradford City,3,1.13,0.68,487,17,0.61,27,1.24,12.82,26,38,3.24,46,123,1,1.05,5,41,3583,14.6,22,6,1.83,0,3,87,73,275,0.735,41,13,6,2000
Charlton Athletic,3,2.11,1.24,451,33,1.16,27,1.24,11.87,47,38,5.68,44,216,3,2.03,3,38,3420,36.8,14,14,1.53,1,3,88,58,195,0.703,39,10,14,2000
Chelsea,4,3.05,1.76,528,49,1.66,26,2.03,13.89,67,38,5.79,75,220,2,2.95,4,38,3420,26.3,11,17,1.18,1,2,88,45,150,0.7,39,10,10,2000
Coventry City,3,1.45,0.87,518,22,0.79,26,2.08,13.63,33,38,4.21,75,160,4,1.37,3,38,3420,15.8,20,8,1.66,1,3,88,63,220,0.7140000000000001,39,10,6,2000
Derby County,2,1.58,0.95,553,24,0.89,29,2.16,14.55,36,38,3.82,79,145,3,1.53,3,38,3420,34.2,16,10,1.61,1,2,88,61,219,0.721,39,12,13,2000
Everton,5,1.92,1.18,617,28,1.05,31,2.08,16.24,45,38,4.97,75,189,4,1.79,7,38,3420,18.4,18,11,1.55,1,3,88,59,172,0.657,39,9,7,2000
Ipswich Town,3,2.5,1.47,461,39,1.39,23,0.95,12.13,56,38,5.39,34,205,2,2.42,3,38,3420,34.2,12,20,1.11,0,2,90,42,157,0.732,38,6,13,2000
Leeds United,3,2.82,1.66,596,44,1.58,24,1.95,15.68,63,38,6.03,71,229,3,2.74,4,38,3420,28.9,10,20,1.13,1,2,88,43,162,0.735,39,8,11,2000
Leicester City,3,1.84,1.03,486,31,0.95,28,1.5,12.79,39,38,4.71,55,179,2,1.76,3,38,3420,28.9,18,14,1.34,3,2,83,51,202,0.748,41,6,11,2000
Liverpool,3,3.11,1.84,504,48,1.76,24,1.32,13.26,70,38,6.0,45,228,5,3.03,4,38,3420,36.8,9,20,1.03,0,1,90,39,165,0.764,38,9,14,2000
Manchester City,2,1.74,1.0,605,28,0.95,30,1.68,15.92,38,38,4.34,61,165,3,1.68,2,38,3420,18.4,20,7,1.71,0,3,90,65,204,0.6809999999999999,38,11,7,2000
Manchester United,2,3.61,2.03,430,60,1.97,27,1.16,11.32,77,38,6.61,41,251,3,3.55,3,38,3420,42.1,6,27,0.82,5,4,80,31,140,0.779,43,8,16,2000
Middlesbrough,3,1.79,1.13,572,25,1.05,26,2.32,15.05,43,38,4.61,83,175,5,1.71,3,35,3150,20.0,14,8,1.17,1,2,88,41,180,0.772,36,13,7,2000
Newcastle United,5,1.82,1.11,508,27,0.97,28,1.39,13.37,42,38,4.82,48,183,5,1.68,7,38,3420,18.4,15,14,1.32,1,2,88,50,179,0.721,39,9,7,2000
Southampton,0,1.79,1.05,492,28,1.05,24,1.13,12.95,40,38,4.55,42,173,1,1.79,0,38,3420,36.8,14,14,1.26,0,2,90,48,182,0.736,38,10,14,2000
Sunderland,2,2.05,1.21,609,32,1.16,25,2.05,16.03,46,38,5.13,72,195,6,2.0,4,38,3420,34.2,11,15,1.08,1,2,88,41,176,0.767,39,12,13,2000
Tottenham Hotspur,3,2.03,1.21,523,31,1.13,28,1.29,13.76,46,38,4.87,47,185,2,1.95,4,38,3420,28.9,15,13,1.39,1,2,88,53,208,0.745,39,9,11,2000
West Ham United,4,1.97,1.18,465,30,1.08,32,1.92,12.24,45,38,5.71,71,217,2,1.87,4,38,3420,21.1,16,10,1.26,1,3,88,48,180,0.733,39,12,8,2000
