squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,5,3.24,1.82,374,54,1.68,26,1.29,9.84,69,38,7.16,44,272,5,3.11,6,38,3420,36.8,7,21,0.97,0,3,90,37,142,0.7390000000000001,38,10,14,2012
Aston Villa,3,2.13,1.24,457,34,1.16,28,2.03,12.03,47,38,4.63,74,176,3,2.05,3,38,3420,13.2,17,10,1.82,0,2,90,69,193,0.642,38,11,5,2012
Chelsea,9,3.18,1.87,370,50,1.63,26,1.45,9.74,71,38,6.76,52,257,3,2.95,11,38,3420,36.8,7,22,1.03,1,2,88,39,162,0.759,39,9,14,2012
Everton,2,2.5,1.39,446,42,1.34,23,1.68,11.74,53,38,7.0,61,266,3,2.45,2,38,3420,28.9,7,16,1.05,0,2,90,40,143,0.72,38,15,11,2012
Fulham,6,2.03,1.18,420,32,1.03,29,1.34,11.05,45,38,5.39,48,205,3,1.87,6,38,3420,21.1,17,11,1.58,0,2,90,60,198,0.6970000000000001,38,10,8,2012
Liverpool,5,3.0,1.76,399,47,1.63,28,1.47,10.5,67,38,7.82,54,297,2,2.87,6,38,3420,42.1,9,16,1.13,0,2,90,43,135,0.6809999999999999,38,13,16,2012
Manchester City,4,2.87,1.68,456,45,1.58,25,1.74,12.0,64,38,7.5,63,285,3,2.76,6,38,3420,47.4,6,23,0.89,0,1,90,34,112,0.696,38,9,18,2012
Manchester United,4,3.76,2.11,371,63,2.0,25,1.5,9.76,80,38,6.39,56,243,1,3.66,7,38,3420,34.2,5,28,1.13,0,2,90,43,152,0.7170000000000001,38,5,13,2012
Newcastle United,4,1.71,1.13,459,22,1.03,32,2.03,12.08,43,38,5.47,73,208,4,1.61,5,38,3420,15.8,19,11,1.79,2,3,86,68,189,0.64,40,8,6,2012
Norwich City,1,1.76,1.05,421,27,1.03,27,1.61,11.08,40,38,4.66,60,177,1,1.74,2,38,3420,26.3,14,10,1.53,3,3,83,58,176,0.67,41,14,10,2012
Queens Park Rangers,1,1.34,0.76,397,22,0.74,30,1.66,10.45,29,38,4.82,60,183,3,1.32,4,38,3420,18.4,21,4,1.58,2,2,86,60,192,0.688,40,13,7,2012
Reading,4,1.82,1.08,387,28,0.97,28,1.21,10.18,41,38,3.84,45,146,1,1.71,4,38,3420,13.2,22,6,1.92,0,3,90,73,236,0.691,38,10,5,2012
Southampton,3,1.87,1.21,406,25,1.13,25,1.18,10.68,46,38,5.45,43,207,2,1.79,3,38,3420,18.4,15,9,1.58,1,3,88,60,162,0.63,39,14,7,2012
Stoke City,3,1.47,0.87,485,23,0.79,24,2.21,12.76,33,38,3.79,80,144,4,1.39,5,38,3420,31.6,14,9,1.18,0,1,90,45,154,0.708,38,15,12,2012
Sunderland,4,1.66,1.03,454,24,0.92,28,1.71,11.95,39,38,4.32,62,164,3,1.55,4,38,3420,28.9,17,9,1.42,0,1,90,54,200,0.73,38,12,11,2012
Swansea City,0,2.08,1.24,399,32,1.24,25,1.61,10.5,47,38,5.5,59,209,2,2.08,0,38,3420,26.3,14,11,1.34,2,2,86,51,201,0.746,40,13,10,2012
Tottenham Hotspur,0,2.82,1.63,382,45,1.63,28,1.47,10.05,62,38,7.47,54,284,2,2.82,0,38,3420,23.7,8,21,1.21,0,2,90,46,127,0.638,38,9,9,2012
West Bromwich Albion,5,2.32,1.32,429,38,1.18,25,1.74,11.29,50,38,5.26,62,200,4,2.18,7,38,3420,21.1,17,14,1.5,0,2,90,57,177,0.6779999999999999,38,7,8,2012
West Ham United,4,2.0,1.13,467,33,1.03,26,1.97,12.29,43,38,5.42,74,206,1,1.89,4,38,3420,28.9,16,12,1.39,0,1,90,53,215,0.753,38,10,11,2012
Wigan Athletic,1,2.11,1.18,444,35,1.16,28,1.79,11.68,45,38,5.5,66,209,2,2.08,1,38,3420,13.2,20,9,1.92,0,2,90,73,188,0.612,38,9,5,2012
