,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,5,3.21,1.74,,56,1.61,21,2.00,,66,38,6.55,72,249,4,3.08,6
1,Aston Villa,3,2.32,1.29,,39,1.21,18,1.24,,49,38,5.45,45,207,2,2.24,4
2,Barnsley,3,1.45,0.97,,18,0.89,21,1.76,,37,38,4.08,62,155,5,1.37,5
3,Blackburn Rovers,2,2.87,1.45,,54,1.39,19,1.58,,55,38,6.05,56,230,4,2.82,2
4,Bolton Wanderers,3,1.95,1.08,,33,1.00,24,1.97,,41,38,6.13,70,233,5,1.87,3
5,Chelsea,6,3.50,1.76,,66,1.61,25,1.84,,67,38,5.89,67,224,3,3.34,6
6,Coventry City,5,2.05,1.21,,32,1.08,20,1.95,,46,38,5.18,69,197,5,1.92,7
7,Crystal Palace,1,1.63,0.92,,27,0.89,24,1.82,,35,38,3.76,66,143,3,1.61,2
8,Derby County,5,2.32,1.37,,36,1.24,23,2.08,,52,38,5.89,77,224,2,2.18,6
9,Everton,0,1.61,1.00,,30,0.82,30,2.08,,38,38,4.32,75,164,4,1.61,0
10,Leeds United,1,2.50,1.37,,43,1.34,19,2.13,,52,38,5.26,76,200,5,2.47,2
11,Leicester City,4,2.39,1.34,,40,1.24,20,1.18,,51,38,4.74,43,180,2,2.29,4
12,Liverpool,4,3.29,1.79,,57,1.61,22,1.34,,68,38,6.45,52,245,2,3.03,5
13,Manchester United,3,3.29,1.79,,57,1.71,23,1.63,,68,38,5.84,61,222,1,3.21,6
14,Newcastle United,1,1.50,0.92,,25,0.82,24,1.66,,35,38,4.87,60,185,3,1.47,2
15,Sheffield Wednesday,3,2.50,1.34,,44,1.26,25,2.00,,51,38,5.24,71,199,5,2.42,3
16,Southampton,5,2.24,1.26,,37,1.13,24,1.63,,48,38,4.45,58,169,4,2.11,5
17,Tottenham Hotspur,0,2.18,1.16,,39,1.16,25,1.53,,44,38,5.47,56,208,2,2.18,2
18,West Ham United,1,2.50,1.39,,42,1.37,23,1.71,,53,38,5.95,60,226,5,2.47,1
19,Wimbledon,1,1.61,0.84,,29,0.82,21,1.32,,32,38,4.61,48,175,2,1.58,1
