squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,3,3.16,1.87,517,49,1.79,24,1.89,13.61,71,38,7.42,67,282,5,3.08,5,38,3420,26.3,9,22,1.13,1,2,88,43,126,0.659,39,7,10,1999
Aston Villa,3,2.34,1.26,538,41,1.18,24,1.74,14.16,48,38,4.21,65,160,1,2.26,5,38,3420,39.5,10,15,0.92,2,3,86,35,135,0.741,40,13,15,1999
Bradford City,5,1.53,0.97,519,21,0.84,25,1.45,13.66,37,38,3.95,54,150,1,1.39,5,38,3420,18.4,20,9,1.79,1,4,88,68,240,0.7170000000000001,39,9,7,1999
Chelsea,1,2.45,1.26,622,45,1.24,27,1.82,16.37,48,38,5.18,64,197,5,2.42,1,38,3420,44.7,9,18,0.89,0,2,90,34,132,0.742,38,11,17,1999
Coventry City,5,2.05,1.21,467,32,1.08,27,1.45,12.29,46,38,4.76,53,181,2,1.92,5,38,3420,23.7,18,12,1.42,0,2,90,54,213,0.746,38,8,9,1999
Derby County,2,1.84,1.11,550,28,1.05,29,2.32,14.47,42,38,4.21,84,160,4,1.79,4,38,3420,28.9,18,9,1.5,0,2,90,57,196,0.7090000000000001,38,11,11,1999
Everton,6,2.79,1.53,614,48,1.37,28,1.92,16.16,58,38,4.61,67,175,6,2.63,7,38,3420,28.9,12,12,1.29,1,3,88,49,206,0.762,39,14,11,1999
Leeds United,4,2.45,1.5,613,36,1.39,20,2.05,16.13,57,38,5.82,75,221,3,2.34,6,38,3420,34.2,6,21,1.13,0,1,90,43,189,0.772,38,11,13,1999
Leicester City,3,2.11,1.39,398,34,1.13,24,1.13,10.47,53,38,3.63,41,138,2,2.03,3,38,3420,18.4,15,16,1.45,2,2,86,55,179,0.693,40,7,7,1999
Liverpool,3,2.03,1.32,511,30,1.16,23,1.55,13.45,50,38,5.76,59,219,4,1.95,5,38,3420,39.5,9,19,0.79,0,2,90,30,129,0.767,38,10,15,1999
Manchester United,3,4.29,2.47,409,69,2.39,29,1.18,10.76,94,38,6.68,41,254,4,4.21,5,38,3421,26.3,3,28,1.18,4,4,81,45,156,0.7120000000000001,42,7,10,1999
Middlesbrough,6,1.84,1.16,583,26,1.0,27,2.16,15.34,44,38,4.63,79,176,3,1.68,9,38,3420,23.7,14,14,1.29,0,2,90,49,234,0.7909999999999999,38,10,9,1999
Newcastle United,6,2.71,1.58,539,43,1.42,32,1.37,14.18,60,38,5.13,49,195,3,2.55,6,38,3420,28.9,14,14,1.42,0,4,90,54,150,0.64,38,10,11,1999
Sheffield Wednesday,3,1.53,0.89,439,24,0.82,23,1.13,11.55,34,38,4.13,42,157,1,1.45,4,38,3420,18.4,23,8,1.84,1,2,88,70,232,0.698,39,7,7,1999
Southampton,1,1.95,1.11,522,32,1.08,28,1.68,13.74,42,38,4.97,59,189,5,1.92,1,38,3448,28.9,18,12,1.62,5,3,80,62,212,0.708,43,8,11,1999
Sunderland,6,2.53,1.5,606,39,1.34,25,2.11,15.95,57,38,4.87,76,185,4,2.37,8,38,3420,23.7,12,16,1.47,0,2,90,56,191,0.7070000000000001,38,10,9,1999
Tottenham Hotspur,1,2.5,1.45,533,40,1.42,27,2.24,14.03,55,38,5.45,84,207,1,2.47,1,38,3420,21.1,15,15,1.29,0,1,90,49,163,0.6990000000000001,38,8,8,1999
Watford,2,1.66,0.92,557,28,0.87,31,1.97,14.66,35,38,4.55,71,173,4,1.61,2,38,3420,13.2,26,6,2.03,0,2,90,77,220,0.65,38,6,5,1999
West Ham United,2,2.45,1.34,558,42,1.29,26,2.05,14.68,51,38,5.79,70,220,8,2.39,2,39,3483,25.6,13,15,1.37,2,5,85,53,193,0.725,41,10,10,1999
Wimbledon,1,2.03,1.16,508,33,1.13,26,1.47,13.37,44,38,3.84,52,146,4,2.0,1,38,3420,13.2,19,7,1.95,0,2,90,74,256,0.711,38,12,5,1999
