squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,7,3.18,1.82,532,52,1.63,22,1.47,14.0,69,38,6.18,53,235,3,3.0,7,38,3420,39.5,0,26,0.68,0,1,90,26,114,0.772,38,12,15,2003
Aston Villa,4,2.16,1.26,609,34,1.16,24,1.55,16.03,48,38,4.79,56,182,3,2.05,5,38,3420,31.6,12,15,1.16,2,2,86,44,173,0.746,40,11,12,2003
Birmingham City,4,1.89,1.13,560,29,1.03,27,1.29,14.74,43,38,4.24,44,161,5,1.79,5,38,3420,39.5,12,12,1.26,2,2,86,48,183,0.738,40,14,15,2003
Blackburn Rovers,0,2.39,1.37,556,39,1.37,28,1.71,14.63,52,38,4.84,62,184,3,2.39,0,38,3420,23.7,18,12,1.55,0,2,90,59,201,0.706,38,8,9,2003
Bolton Wanderers,1,2.16,1.24,521,35,1.21,24,1.89,13.71,47,38,5.58,72,212,0,2.13,1,38,3420,26.3,13,14,1.47,0,1,90,56,182,0.6920000000000001,38,11,10,2003
Charlton Athletic,6,2.08,1.32,494,29,1.16,23,1.0,13.0,50,38,4.05,36,154,2,1.92,8,38,3420,26.3,13,14,1.34,0,2,90,51,205,0.7509999999999999,38,11,10,2003
Chelsea,4,3.29,1.76,543,58,1.66,27,1.47,14.29,67,38,5.68,52,216,4,3.18,4,38,3420,55.3,7,24,0.79,0,3,90,30,125,0.76,38,7,21,2003
Everton,1,1.92,1.11,474,31,1.08,26,1.53,12.47,42,38,4.21,55,160,3,1.89,1,38,3330,26.3,17,9,1.54,1,3,85,57,190,0.7,39,12,10,2003
Fulham,2,2.21,1.37,537,32,0.97,30,1.74,14.13,52,38,4.05,63,154,3,1.82,3,38,3330,39.5,14,14,1.24,0,2,88,46,207,0.778,38,10,15,2003
Leeds United,4,1.79,1.05,564,28,0.95,29,1.95,14.84,40,38,3.53,69,134,5,1.68,4,38,3420,7.9,21,8,2.08,1,2,88,79,215,0.633,39,9,3,2003
Leicester City,2,2.16,1.18,558,37,1.13,28,1.76,14.68,45,38,4.42,60,168,7,2.11,3,38,3420,23.7,17,6,1.71,3,2,83,65,210,0.69,41,15,9,2003
Liverpool,8,2.34,1.39,479,36,1.18,24,1.24,12.61,53,38,5.82,46,221,1,2.13,10,36,3240,33.3,9,15,0.97,1,3,88,35,139,0.748,37,12,12,2003
Manchester City,4,2.34,1.37,463,37,1.26,24,1.45,12.18,52,38,5.21,51,198,4,2.24,4,38,3420,18.4,15,9,1.42,2,3,86,54,184,0.7070000000000001,40,14,7,2003
Manchester United,1,3.08,1.66,448,54,1.45,22,1.21,11.79,63,38,4.79,43,182,3,2.79,4,38,3330,36.8,9,23,0.95,0,2,88,35,163,0.785,38,6,14,2003
Middlesbrough,3,1.84,1.11,554,28,1.03,27,1.47,14.58,42,38,4.79,55,182,1,1.76,5,38,3420,36.8,16,13,1.37,0,3,90,52,182,0.7140000000000001,38,9,14,2003
Newcastle United,7,2.26,1.39,534,33,1.21,23,1.32,14.05,53,38,4.68,47,178,3,2.08,10,38,3420,28.9,8,13,1.05,0,1,90,40,171,0.7659999999999999,38,17,11,2003
Portsmouth,3,2.08,1.29,603,31,1.18,31,1.68,15.87,49,38,4.39,61,167,3,2.0,3,38,3420,21.1,17,12,1.42,0,3,90,54,192,0.7190000000000001,38,9,8,2003
Southampton,2,1.84,1.13,504,27,1.08,27,1.47,13.26,43,38,4.61,53,175,3,1.79,2,30,2700,26.7,13,9,1.3,0,2,90,39,179,0.782,30,8,8,2003
Tottenham Hotspur,3,2.08,1.24,595,33,1.13,27,1.39,15.66,47,38,4.89,58,186,1,2.0,3,38,3420,21.1,19,13,1.5,0,1,90,57,198,0.7120000000000001,38,6,8,2003
Wolverhampton Wanderers,1,1.68,1.03,520,25,1.0,27,1.82,13.68,39,38,4.66,67,177,2,1.66,4,48,4320,25.0,22,11,1.77,0,3,90,85,283,0.7,48,15,12,2003
