squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,0,1.76,0.95,,34,0.95,28,0.83,,40,42,4.26,34,179,1,1.76,0,42,3880,38.1,16,15,0.88,1,2,90,38,201,0.8109999999999999,43,11,16,1992
Aston Villa,2,2.31,1.33,,41,1.29,23,0.55,,56,42,5.17,23,217,0,2.26,3,42,3780,35.7,10,21,0.95,0,2,90,40,189,0.7879999999999999,42,11,15,1992
Blackburn Rovers,3,2.81,1.57,,52,1.5,23,0.98,,66,42,5.48,38,230,3,2.74,4,42,3780,45.2,11,20,1.1,0,1,90,46,184,0.75,42,11,19,1992
Chelsea,1,2.14,1.19,,40,1.17,29,0.95,,50,42,4.64,38,195,2,2.12,1,42,3780,26.2,14,14,1.29,1,4,88,54,210,0.743,43,14,11,1992
Coventry City,2,1.69,1.14,,27,1.0,28,0.79,,48,42,4.0,32,168,1,1.64,3,42,3780,26.2,16,13,1.36,0,2,90,57,191,0.7020000000000001,42,13,11,1992
Crystal Palace,0,1.79,1.07,,30,1.07,23,0.67,,45,42,3.81,25,160,3,1.79,1,42,3780,26.2,15,11,1.45,0,1,90,61,201,0.6970000000000001,42,16,11,1992
Everton,4,2.0,1.21,,33,1.12,25,0.69,,51,42,4.64,26,195,3,1.9,4,42,3780,26.2,19,15,1.31,3,2,84,55,196,0.7190000000000001,45,8,11,1992
Ipswich Town,4,1.88,1.19,,29,1.1,22,0.76,,50,42,3.98,31,167,1,1.79,5,42,3780,28.6,14,12,1.31,1,3,88,55,188,0.7070000000000001,43,16,12,1992
Leeds United,5,2.0,1.31,,35,1.05,29,0.98,,55,42,4.83,41,203,0,1.88,5,42,3780,26.2,15,12,1.48,0,3,90,62,185,0.665,42,15,11,1992
Liverpool,8,2.52,1.45,,45,1.21,25,0.69,,61,42,5.02,26,211,3,2.24,9,42,3790,28.6,15,16,1.31,1,3,88,55,191,0.7120000000000001,43,11,12,1992
Manchester City,3,2.26,1.26,,42,1.19,23,1.07,,53,42,5.4,44,227,1,2.19,4,42,3780,26.2,16,15,1.21,1,3,88,51,188,0.7290000000000001,43,13,11,1992
Manchester United,2,2.19,1.57,,35,1.31,20,0.69,,66,42,4.55,29,191,0,2.14,2,42,3780,42.9,6,24,0.74,0,1,90,31,142,0.782,42,12,18,1992
Middlesbrough,1,2.1,1.17,,39,1.14,26,1.07,,49,42,4.33,43,182,2,2.07,2,42,3659,19.0,20,11,1.84,2,4,83,75,219,0.6579999999999999,44,11,8,1992
Norwich City,3,2.4,1.38,,43,1.31,19,0.43,,58,42,4.6,18,193,0,2.33,4,42,3780,26.2,12,21,1.55,0,1,90,65,206,0.684,42,9,11,1992
Nottingham Forest,4,1.64,0.98,,30,0.83,23,0.67,,41,42,4.19,27,176,1,1.55,5,42,3780,21.4,22,10,1.48,0,2,90,62,208,0.7020000000000001,42,10,9,1992
Oldham Athletic,1,2.45,1.45,,42,1.43,20,0.86,,61,42,4.81,36,202,0,2.43,2,42,3780,7.1,19,13,1.76,0,3,90,74,208,0.644,42,10,3,1992
Queens Park Rangers,3,2.52,1.45,,45,1.38,19,0.64,,61,42,5.05,27,212,0,2.45,4,42,3770,19.0,13,17,1.31,1,2,88,55,192,0.7140000000000001,43,12,8,1992
Sheffield United,1,2.05,1.19,,36,1.17,21,1.14,,50,42,4.98,45,209,3,2.02,2,42,3820,26.2,18,14,1.25,1,2,89,53,201,0.736,43,10,11,1992
Sheffield Wednesday,3,2.24,1.29,,40,1.21,24,0.74,,54,42,5.14,30,216,1,2.17,3,42,3780,21.4,13,15,1.21,0,2,90,51,178,0.713,42,15,9,1992
Southampton,2,2.19,1.29,,38,1.24,18,1.24,,54,42,4.88,49,205,3,2.14,2,42,3780,23.8,18,13,1.45,0,1,90,61,212,0.7120000000000001,42,11,10,1992
Tottenham Hotspur,0,1.67,0.9,,33,0.88,24,0.83,,38,42,3.55,34,149,1,1.67,0,42,3720,23.8,15,16,1.6,2,2,85,66,186,0.645,44,11,10,1992
Wimbledon,2,2.24,1.29,,40,1.24,22,1.24,,54,42,4.71,49,198,3,2.19,3,42,3780,31.0,16,14,1.31,0,2,90,55,188,0.7070000000000001,42,12,13,1992
