squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,5,3.95,2.21,515,66,2.08,28,1.55,13.55,84,38,6.82,56,259,3,3.82,6,38,3420,26.3,6,23,1.11,1,3,88,42,147,0.7140000000000001,39,9,10,2002
Aston Villa,3,1.87,1.11,571,29,1.03,27,1.82,15.03,42,38,5.16,65,196,4,1.79,4,38,3420,23.7,17,12,1.24,1,2,88,47,176,0.733,39,9,9,2002
Birmingham City,4,1.74,1.05,553,26,0.95,34,1.95,14.55,40,38,3.71,70,141,4,1.63,5,38,3420,23.7,16,13,1.29,1,4,88,49,171,0.713,39,9,9,2002
Blackburn Rovers,5,2.32,1.32,590,38,1.18,27,1.74,15.53,50,38,4.58,62,174,4,2.18,6,38,3420,39.5,10,16,1.13,0,2,90,43,207,0.792,38,12,15,2002
Bolton Wanderers,1,1.63,1.0,464,24,0.82,27,1.84,12.21,38,38,4.0,66,152,4,1.45,2,38,3420,26.3,14,10,1.34,0,1,90,51,189,0.73,38,14,10,2002
Charlton Athletic,4,1.76,1.13,533,24,1.03,26,1.55,14.03,43,38,4.11,57,156,2,1.66,5,38,3420,21.1,17,14,1.47,1,2,88,56,190,0.705,39,7,8,2002
Chelsea,3,2.82,1.76,498,40,1.68,21,1.68,13.11,67,38,5.84,63,222,1,2.74,3,38,3420,34.2,9,19,1.0,0,2,90,38,156,0.7559999999999999,38,10,13,2002
Everton,4,2.11,1.26,514,32,1.16,26,1.55,13.53,48,38,4.79,52,182,7,2.0,4,38,3420,28.9,13,17,1.29,0,4,90,49,173,0.7170000000000001,38,8,11,2002
Fulham,6,1.61,1.0,540,23,0.84,27,1.63,14.21,38,38,4.79,56,182,6,1.45,7,38,3420,28.9,17,13,1.32,2,3,86,50,197,0.746,40,8,11,2002
Leeds United,4,2.45,1.42,568,39,1.32,26,1.87,14.95,54,38,4.63,69,176,2,2.34,5,38,3420,26.3,19,14,1.5,0,1,90,57,188,0.6970000000000001,38,5,10,2002
Liverpool,4,2.89,1.61,439,49,1.5,23,1.34,11.55,61,38,5.5,48,209,3,2.79,6,38,3420,36.8,10,18,1.08,0,2,90,41,146,0.7190000000000001,38,10,14,2002
Manchester City,2,2.29,1.24,510,40,1.18,26,1.61,13.42,47,38,4.42,55,168,6,2.24,2,38,3420,26.3,17,15,1.42,0,2,90,54,184,0.7070000000000001,38,6,10,2002
Manchester United,9,3.39,1.92,488,56,1.68,26,1.32,12.84,73,38,6.18,49,235,1,3.16,9,38,3420,34.2,5,25,0.89,3,3,83,34,122,0.721,41,8,13,2002
Middlesbrough,2,2.08,1.26,515,31,1.18,29,1.5,13.55,48,38,3.66,52,139,5,2.0,3,38,3420,26.3,15,13,1.16,0,1,90,44,184,0.7609999999999999,38,10,10,2002
Newcastle United,3,2.76,1.66,500,42,1.58,25,1.39,13.16,63,38,5.82,50,221,3,2.68,4,38,3420,36.8,11,21,1.26,0,1,90,48,179,0.732,38,6,14,2002
Southampton,6,1.74,1.11,548,24,0.95,24,1.32,14.42,42,38,5.03,47,191,3,1.58,6,38,3420,34.2,12,13,1.21,1,2,88,46,197,0.7659999999999999,39,13,13,2002
Sunderland,1,0.97,0.55,573,16,0.53,33,1.61,15.08,21,38,3.74,61,142,0,0.95,3,38,3420,15.8,27,4,1.71,2,4,86,65,210,0.69,40,7,6,2002
Tottenham Hotspur,3,2.24,1.32,497,35,1.16,24,1.66,13.08,50,38,4.37,60,166,6,2.05,3,38,3420,13.2,16,14,1.63,0,1,90,62,210,0.705,38,8,5,2002
West Bromwich Albion,1,1.05,0.76,573,11,0.74,22,1.53,15.08,29,38,4.39,54,167,4,1.03,1,38,3420,15.8,24,6,1.71,1,2,88,65,208,0.688,39,8,6,2002
West Ham United,4,1.84,1.08,542,29,0.97,24,1.89,14.26,41,38,4.87,68,185,4,1.74,5,38,3420,23.7,16,10,1.55,0,1,90,59,198,0.7020000000000001,38,12,9,2002
