squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,5,3.42,1.92,389,57,1.79,27,1.53,10.24,73,38,6.58,55,250,3,3.29,6,38,3420,39.5,3,24,0.82,1,3,88,31,155,0.8,39,11,15,2007
Aston Villa,6,2.84,1.74,523,42,1.58,22,1.58,13.76,66,38,5.26,56,200,4,2.68,7,38,3420,23.7,10,16,1.34,1,2,88,51,170,0.7,39,12,9,2007
Birmingham City,6,1.71,1.16,502,21,1.0,28,1.89,13.21,44,38,4.68,69,178,3,1.55,6,38,3420,7.9,19,8,1.63,0,3,90,62,266,0.767,38,11,3,2007
Blackburn Rovers,5,2.16,1.32,552,32,1.18,22,2.11,14.53,50,38,5.76,74,219,6,2.03,6,38,3420,21.1,10,15,1.26,0,1,90,48,201,0.7609999999999999,38,13,8,2007
Bolton Wanderers,0,1.47,0.89,499,22,0.63,30,1.97,13.13,34,38,4.26,75,162,0,1.13,1,38,3420,31.6,19,9,1.42,0,2,90,54,207,0.7390000000000001,38,10,12,2007
Chelsea,7,3.05,1.68,431,52,1.47,26,1.87,11.34,64,38,5.45,65,207,6,2.71,7,38,3420,55.3,3,25,0.68,1,3,88,26,142,0.8170000000000001,39,10,21,2007
Derby County,0,0.82,0.5,515,12,0.5,36,1.66,13.55,19,38,3.71,62,141,1,0.82,0,38,3420,7.9,29,1,2.34,0,3,90,89,263,0.662,38,8,3,2007
Everton,1,2.18,1.39,474,30,1.37,23,1.13,12.47,53,38,5.0,40,190,3,2.16,1,38,3420,36.8,11,19,0.87,0,2,90,33,176,0.813,38,8,14,2007
Fulham,2,1.42,0.97,477,17,0.92,32,1.71,12.55,37,38,4.58,59,174,6,1.37,3,38,3420,18.4,18,8,1.58,0,3,90,60,230,0.7390000000000001,38,12,7,2007
Liverpool,5,2.82,1.68,440,43,1.55,25,1.24,11.58,64,38,7.0,46,266,1,2.68,5,38,3420,47.4,4,21,0.74,0,1,90,28,138,0.797,38,13,18,2007
Manchester City,2,1.89,1.11,395,30,1.05,28,1.45,10.39,42,38,4.45,51,169,4,1.84,2,38,3420,28.9,13,15,1.39,0,3,90,53,221,0.76,38,10,11,2007
Manchester United,6,3.42,2.05,406,52,1.89,25,1.39,10.68,78,38,7.92,51,301,2,3.26,8,38,3420,55.3,5,27,0.58,1,3,88,22,150,0.853,39,6,21,2007
Middlesbrough,2,1.84,1.13,516,27,1.08,29,2.29,13.58,43,38,4.76,85,181,2,1.79,2,38,3420,21.1,16,10,1.39,0,3,90,53,184,0.7120000000000001,38,12,8,2007
Newcastle United,4,1.84,1.13,470,27,1.03,26,1.58,12.37,43,38,4.58,59,174,1,1.74,4,38,3420,21.1,17,11,1.71,2,2,86,65,256,0.746,40,10,8,2007
Portsmouth,4,2.05,1.21,528,32,1.11,28,1.55,13.89,46,38,4.87,56,185,3,1.95,7,38,3420,42.1,13,16,1.05,0,2,90,40,205,0.805,38,9,16,2007
Reading,2,1.76,1.08,451,26,1.03,26,1.74,11.87,41,38,4.82,61,183,5,1.71,4,38,3420,21.1,22,10,1.74,0,1,90,66,254,0.74,38,6,8,2007
Sunderland,1,1.5,0.95,502,21,0.92,31,1.82,13.21,36,38,4.03,66,153,3,1.47,2,38,3420,18.4,21,11,1.55,0,3,90,59,182,0.6759999999999999,38,6,7,2007
Tottenham Hotspur,4,2.63,1.71,385,35,1.61,30,1.37,10.13,65,38,6.21,51,236,1,2.53,6,38,3420,23.7,14,11,1.61,0,2,90,61,206,0.7040000000000001,38,13,9,2007
West Ham United,2,1.79,1.03,517,29,0.97,28,1.76,13.61,39,38,4.71,65,179,2,1.74,2,38,3420,21.1,15,13,1.32,0,1,90,50,189,0.735,38,10,8,2007
Wigan Athletic,4,1.37,0.87,502,19,0.76,27,1.68,13.21,33,38,4.84,60,184,4,1.26,5,38,3420,31.6,18,10,1.34,0,2,90,51,197,0.741,38,10,12,2007
