squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,3,4.05,2.26,441,68,2.18,24,1.24,11.61,86,38,7.92,46,301,1,3.97,4,38,3420,42.1,5,25,0.95,0,2,90,36,146,0.753,38,8,16,2004
Aston Villa,3,2.03,1.13,583,34,1.05,21,1.5,15.34,43,38,5.61,55,213,2,1.95,6,38,3420,28.9,15,12,1.37,1,2,88,52,236,0.78,39,11,11,2004
Birmingham City,2,1.5,0.97,492,24,0.82,25,1.68,12.95,37,38,4.16,61,158,3,1.45,2,38,3420,23.7,15,11,1.21,0,1,90,46,212,0.7829999999999999,38,12,9,2004
Blackburn Rovers,2,1.45,0.82,554,24,0.76,27,2.05,14.58,31,38,5.16,73,196,5,1.39,3,38,3420,39.5,14,9,1.13,0,1,90,43,227,0.8109999999999999,38,15,15,2004
Bolton Wanderers,5,2.16,1.29,538,33,1.16,24,1.58,14.16,49,38,6.84,58,260,2,2.03,6,38,3420,21.1,12,16,1.16,1,3,88,44,179,0.754,39,10,8,2004
Charlton Athletic,0,1.82,1.08,450,28,1.08,21,1.03,11.84,41,38,4.5,35,171,4,1.82,0,38,3420,31.6,16,12,1.53,0,2,90,58,232,0.75,38,10,12,2004
Chelsea,5,3.39,1.87,479,58,1.74,27,1.42,12.61,71,38,8.16,54,310,0,3.26,6,38,3420,65.8,1,29,0.39,0,2,90,15,112,0.866,38,8,25,2004
Crystal Palace,10,1.82,1.13,539,26,0.87,26,1.61,14.18,43,38,5.03,58,191,3,1.55,12,38,3420,26.3,19,7,1.63,0,2,90,62,291,0.787,38,12,10,2004
Everton,2,2.08,1.18,508,34,1.13,21,1.55,13.37,45,38,4.55,55,173,4,2.03,3,38,3420,34.2,13,18,1.21,1,2,88,46,194,0.763,39,7,13,2004
Fulham,2,2.39,1.37,477,39,1.32,24,1.66,12.55,52,38,4.92,56,187,7,2.34,4,38,3420,21.1,18,12,1.58,1,2,88,60,258,0.767,39,8,8,2004
Liverpool,3,2.39,1.29,430,42,1.21,28,1.24,11.32,49,38,6.45,45,245,2,2.32,5,38,3420,18.4,14,17,1.08,0,3,90,41,171,0.76,38,7,7,2004
Manchester City,5,2.05,1.18,475,33,1.05,24,1.24,12.5,45,38,5.61,44,213,3,1.92,6,38,3420,28.9,12,13,1.03,0,1,90,39,195,0.8,38,13,11,2004
Manchester United,3,2.68,1.5,477,45,1.42,24,1.61,12.55,57,38,8.87,56,337,5,2.61,4,38,3420,50.0,5,22,0.68,0,2,90,26,106,0.755,38,11,19,2004
Middlesbrough,1,2.32,1.29,474,39,1.26,27,1.47,12.47,49,38,6.37,54,242,2,2.29,1,38,3420,28.9,11,14,1.21,0,3,90,46,213,0.784,38,13,11,2004
Newcastle United,3,2.0,1.16,526,32,1.08,26,1.87,13.84,44,38,6.32,65,240,6,1.92,3,38,3420,15.8,14,10,1.5,0,2,90,57,236,0.758,38,14,6,2004
Norwich City,3,1.84,1.08,534,29,1.0,25,1.08,14.05,41,38,4.82,39,183,2,1.76,4,38,3420,15.8,19,7,2.03,1,2,88,77,291,0.735,39,12,6,2004
Portsmouth,6,1.87,1.08,393,30,0.92,23,1.21,10.34,41,38,4.55,45,173,1,1.71,6,38,3420,13.2,19,10,1.55,0,3,90,59,266,0.778,38,9,5,2004
Southampton,3,1.92,1.16,431,30,1.05,28,1.11,11.34,44,38,4.55,45,173,2,1.84,3,38,3420,7.9,19,6,1.79,1,4,88,68,170,0.6,39,14,3,2004
Tottenham Hotspur,1,2.08,1.24,424,32,1.21,27,1.32,11.16,47,38,6.37,49,242,1,2.05,1,38,3420,34.2,14,14,1.08,1,2,88,41,217,0.8109999999999999,39,10,13,2004
West Bromwich Albion,2,1.55,0.89,512,25,0.84,26,1.21,13.47,34,38,5.03,41,191,5,1.5,3,38,3420,21.1,16,6,1.61,1,2,88,61,247,0.753,39,16,8,2004
