squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,3,3.05,1.79,326,48,1.71,27,1.5,8.58,68,38,6.68,53,254,4,2.97,3,37,3330,43.2,7,23,1.11,0,1,90,41,147,0.721,37,7,16,2013
Aston Villa,2,1.66,1.0,483,25,0.95,26,2.05,12.71,38,38,3.58,78,136,0,1.61,4,38,3420,23.7,20,10,1.61,0,1,90,61,174,0.649,38,8,9,2013
Cardiff City,1,1.45,0.82,348,24,0.79,32,1.32,9.16,31,38,3.29,49,125,1,1.42,1,38,3420,18.4,22,7,1.95,0,2,90,74,220,0.664,38,9,7,2013
Chelsea,5,2.84,1.82,424,39,1.68,29,1.63,11.16,69,38,7.39,59,281,3,2.71,7,38,3420,47.4,6,25,0.71,0,2,90,27,121,0.777,38,7,18,2013
Crystal Palace,5,1.39,0.84,408,21,0.71,32,1.58,10.74,32,38,3.74,58,142,2,1.26,6,38,3420,31.6,19,13,1.26,0,2,90,48,169,0.716,38,6,12,2013
Everton,3,2.63,1.53,360,42,1.45,28,1.45,9.47,58,38,6.18,54,235,1,2.55,3,38,3420,39.5,8,21,1.03,1,2,88,39,148,0.736,39,9,15,2013
Fulham,2,1.74,1.0,385,28,0.95,39,1.55,10.13,38,38,3.92,58,149,1,1.68,3,38,3420,10.5,24,9,2.24,2,2,86,85,241,0.647,40,5,4,2013
Hull City,2,1.47,0.92,418,21,0.87,27,1.53,11.0,35,38,3.39,54,129,4,1.42,3,38,3419,26.3,21,10,1.4,2,3,85,53,164,0.677,40,7,10,2013
Liverpool,10,4.16,2.55,410,61,2.29,25,1.45,10.79,97,38,7.89,54,300,1,3.89,12,38,3420,26.3,6,26,1.32,0,1,90,50,152,0.6709999999999999,38,6,10,2013
Manchester City,6,4.21,2.55,393,63,2.39,23,1.92,10.34,97,38,6.29,72,239,1,4.05,7,38,3420,42.1,6,27,0.97,0,2,90,37,126,0.706,38,5,16,2013
Manchester United,5,2.63,1.66,400,37,1.53,30,1.87,10.53,63,38,6.16,68,234,3,2.5,5,38,3420,34.2,12,19,1.13,0,2,90,43,143,0.6990000000000001,38,7,13,2013
Newcastle United,2,1.74,1.08,412,25,1.03,26,1.55,10.84,41,38,4.87,53,185,6,1.68,3,38,3420,26.3,19,15,1.55,0,2,90,59,170,0.653,38,4,10,2013
Norwich City,1,1.21,0.74,425,18,0.71,25,1.71,11.18,28,38,3.82,63,145,2,1.18,2,38,3420,31.6,21,8,1.63,0,1,90,62,189,0.672,38,9,12,2013
Southampton,3,2.34,1.37,444,37,1.29,24,1.58,11.68,52,38,4.76,60,181,0,2.26,3,38,3420,39.5,12,15,1.21,1,3,88,46,132,0.652,39,11,15,2013
Stoke City,4,1.84,1.16,486,26,1.05,26,2.11,12.79,44,38,3.74,75,142,5,1.74,5,38,3420,23.7,14,13,1.37,1,3,88,52,173,0.6990000000000001,39,11,9,2013
Sunderland,6,1.71,1.08,444,24,0.92,31,2.0,11.68,41,38,3.55,69,135,7,1.55,6,38,3420,28.9,20,10,1.58,1,2,88,60,217,0.7240000000000001,39,8,11,2013
Swansea City,4,2.21,1.24,374,37,1.13,27,1.55,9.84,47,38,4.29,56,163,3,2.11,4,38,3420,21.1,18,11,1.42,0,2,90,54,155,0.652,38,9,8,2013
Tottenham Hotspur,5,2.18,1.32,403,33,1.18,28,1.82,10.61,50,38,6.0,65,228,4,2.05,6,38,3420,36.8,11,21,1.34,0,2,90,51,152,0.664,38,6,14,2013
West Bromwich Albion,2,1.79,1.08,424,27,1.03,28,1.76,11.16,41,38,3.82,67,145,0,1.74,2,38,3420,15.8,16,7,1.55,1,3,88,59,174,0.6609999999999999,39,15,6,2013
West Ham United,2,1.53,0.95,402,22,0.89,29,1.82,10.58,36,38,3.24,64,123,5,1.47,2,38,3420,36.8,20,11,1.34,0,2,90,51,193,0.736,38,7,14,2013
