,pens_made,goals_assists_per90,position,fouls,goals,player,goals_assists_pens_per90,squad,goals_per90,minutes_per_game,games_starts,games_subs,cards_per90,shots_on_target_per90,goals_pens_per90,games,cards_yellow,cards_red,nationality,assists,minutes,fouls_per90,age,shots_on_target,pens_att
0,0,0.07,DF,,0,Gary Kelly,0.07,Leeds United,0.00,90,42,0,0.05,0.10,0.00,42,2,0,ie IRL,3,"3,780",,19,4,0
1,1,0.40,MF,,9,Gary McAllister,0.38,Leeds United,0.21,90,42,0,0.07,0.62,0.19,42,3,0,sco SCO,8,"3,780",,28,26,1
2,0,0.29,MF,,9,Robbie Earle,0.29,Wimbledon,0.21,90,42,0,0.00,0.79,0.21,42,0,0,jm JAM,3,"3,780",,28,33,0
3,0,0.00,GK,,0,Neville Southall,0.00,Everton,0.00,90,42,0,0.00,0.00,0.00,42,0,0,wal WAL,0,"3,780",,34,0,0
4,0,0.10,DF,,4,Shaun Taylor,0.10,Swindon Town,0.10,90,42,0,0.00,0.33,0.10,42,0,0,eng ENG,0,"3,780",,30,14,0
5,0,0.07,MF,,1,Mick Stockwell,0.07,Ipswich Town,0.02,90,42,0,0.00,0.21,0.02,42,0,0,eng ENG,2,"3,780",,28,9,0
6,0,0.02,DF,,1,Ian Culverhouse,0.02,Norwich City,0.02,90,42,0,0.07,0.07,0.02,42,3,0,eng ENG,0,"3,780",,28,3,0
7,3,0.10,DF,,3,Clive Wilson,0.02,Queens Park Rangers,0.07,90,42,0,0.00,0.26,0.00,42,0,0,eng ENG,1,"3,780",,31,11,4
8,0,0.00,GK,,0,Luděk Mikloško,0.00,West Ham United,0.00,90,42,0,0.00,0.00,0.00,42,0,0,"cs TCH,cz CZE",0,"3,780",,31,0,0
9,0,0.12,DF,,2,Denis Irwin,0.12,Manchester United,0.05,90,42,0,0.07,0.24,0.05,42,3,0,ie IRL,3,"3,767",,27,10,0
10,0,0.17,"DF,MF",,5,Steve Sedgley,0.17,Tottenham Hotspur,0.12,89,42,0,0.02,0.46,0.12,42,1,0,eng ENG,2,"3,731",,25,19,0
11,0,0.02,DF,,0,Des Walker,0.02,Sheffield Wednesday,0.00,89,42,0,0.02,0.12,0.00,42,1,0,eng ENG,1,"3,718",,27,5,0
12,1,0.56,FW,,17,Dean Holdsworth,0.53,Wimbledon,0.41,88,42,0,0.07,1.33,0.39,42,3,0,eng ENG,6,"3,711",,24,55,2
13,0,0.41,FW,,14,Ian Rush,0.41,Liverpool,0.34,88,41,1,0.05,1.27,0.34,42,2,0,wal WAL,3,"3,691",,31,52,0
14,0,0.00,GK,,0,Tim Flowers,0.00,Blackburn Rovers,0.00,90,41,0,0.00,0.00,0.00,41,0,0,eng ENG,0,"3,690",,26,0,0
15,0,0.05,DF,,1,Gary Pallister,0.05,Manchester United,0.02,90,41,0,0.05,0.10,0.02,41,2,0,eng ENG,1,"3,690",,28,4,0
16,0,0.42,FW,,11,Brian Deane,0.42,Leeds United,0.27,90,41,0,0.05,1.07,0.27,41,2,0,eng ENG,6,"3,685",,25,44,0
17,0,0.00,GK,,0,Bryan Gunn,0.00,Norwich City,0.00,90,41,0,0.02,0.00,0.00,41,0,1,sco SCO,0,"3,685",,29,0,0
18,0,0.20,DF,,5,Mark Bowen,0.20,Norwich City,0.12,90,41,0,0.00,0.42,0.12,41,0,0,wal WAL,3,"3,685",,29,17,0
19,1,1.03,"DF,FW",,25,Chris Sutton,1.00,Norwich City,0.61,90,41,0,0.07,1.66,0.59,41,3,0,eng ENG,17,"3,680",,20,68,1
20,0,0.00,DF,,0,Steve Potts,0.00,West Ham United,0.00,90,41,0,0.07,0.10,0.00,41,3,0,us USA,0,"3,673",,26,4,0
21,0,0.22,"MF,DF",,7,Neil Maddison,0.22,Southampton,0.17,89,41,0,0.05,0.61,0.17,41,2,0,eng ENG,2,"3,665",,23,25,0
22,0,0.10,DF,,3,Steve Bruce,0.10,Manchester United,0.07,89,41,0,0.05,0.20,0.07,41,2,0,eng ENG,1,"3,656",,32,8,0
23,0,0.00,GK,,0,Hans Segers,0.00,Wimbledon,0.00,89,41,0,0.00,0.00,0.00,41,0,0,nl NED,0,"3,647",,31,0,0
24,2,0.37,FW,,13,Trevor Morley,0.32,West Ham United,0.32,87,39,3,0.07,0.79,0.27,42,3,0,eng ENG,2,"3,642",,32,32,3
