squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,3,3.47,2.08,468,53,2.0,30,1.5,12.32,79,38,6.24,56,237,1,3.39,4,38,3420,36.8,9,23,1.08,0,3,90,41,129,0.682,38,6,14,2009
Aston Villa,5,2.16,1.26,504,34,1.13,23,1.63,13.26,48,38,4.32,60,164,2,2.03,8,38,3420,39.5,8,17,1.03,0,1,90,39,186,0.79,38,13,15,2009
Birmingham City,2,1.53,0.95,449,22,0.89,25,1.97,11.82,36,38,4.11,74,156,1,1.47,4,38,3420,28.9,14,13,1.24,0,2,90,47,208,0.774,38,11,11,2009
Blackburn Rovers,3,1.58,1.0,538,22,0.92,27,1.61,14.16,38,38,4.37,59,166,2,1.5,3,38,3420,34.2,14,13,1.45,1,2,88,55,176,0.688,39,11,13,2009
Bolton Wanderers,4,1.74,1.11,552,24,1.0,25,2.11,14.53,42,38,4.5,75,171,5,1.63,4,38,3420,13.2,19,10,1.76,0,1,90,67,208,0.6779999999999999,38,9,5,2009
Burnley,6,1.76,1.11,451,25,0.95,26,1.55,11.87,42,38,4.05,57,154,2,1.61,6,38,3420,7.9,24,8,2.16,1,2,88,82,234,0.65,39,6,3,2009
Chelsea,11,4.29,2.61,461,64,2.32,30,1.63,12.13,99,38,7.47,57,284,5,4.0,12,38,3420,47.4,6,27,0.84,1,3,88,32,113,0.7170000000000001,39,5,18,2009
Everton,5,2.34,1.47,511,33,1.34,28,1.58,13.45,56,38,5.42,58,206,2,2.21,6,38,3420,28.9,9,16,1.29,0,1,90,49,170,0.7120000000000001,38,13,11,2009
Fulham,4,1.55,1.0,465,21,0.89,29,1.24,12.24,38,38,3.71,46,141,1,1.45,4,38,3420,31.6,16,12,1.21,0,2,90,46,176,0.7390000000000001,38,10,12,2009
Hull City,6,1.29,0.87,554,16,0.71,30,1.89,14.58,33,38,3.16,66,120,6,1.13,8,38,3420,18.4,20,6,1.97,0,2,90,75,236,0.682,38,12,7,2009
Liverpool,3,2.5,1.53,457,37,1.45,29,1.61,12.03,58,38,5.05,56,192,5,2.42,3,38,3420,44.7,11,18,0.92,0,1,90,35,139,0.748,38,9,17,2009
Manchester City,5,3.18,1.92,443,48,1.79,31,1.39,11.66,73,38,5.24,51,199,2,3.05,5,38,3420,28.9,7,18,1.18,1,3,88,45,157,0.713,39,13,11,2009
Manchester United,6,3.21,1.95,441,48,1.79,30,1.45,11.61,74,38,6.47,51,246,4,3.05,8,38,3420,50.0,7,27,0.74,0,3,90,28,146,0.8079999999999999,38,4,19,2009
Portsmouth,3,1.39,0.89,500,19,0.82,33,2.0,13.16,34,38,3.92,71,149,5,1.32,6,38,3420,18.4,24,7,1.74,2,3,86,66,211,0.687,40,7,7,2009
Stoke City,2,1.45,0.84,476,23,0.79,23,1.87,12.53,32,38,3.13,66,119,5,1.39,2,38,3420,36.8,13,11,1.26,2,3,86,48,192,0.75,40,14,14,2009
Sunderland,6,1.92,1.18,540,28,1.03,28,2.39,14.21,45,38,4.0,82,152,9,1.76,9,38,3420,18.4,16,11,1.47,1,2,88,56,199,0.7190000000000001,39,11,7,2009
Tottenham Hotspur,2,2.92,1.74,453,45,1.68,30,1.55,11.92,66,38,6.05,58,230,1,2.87,3,38,3420,34.2,10,21,1.08,1,3,88,41,178,0.77,39,7,13,2009
West Ham United,7,1.92,1.21,539,27,1.03,30,1.82,14.18,46,38,4.92,66,187,3,1.74,9,38,3420,21.1,19,8,1.74,1,2,88,66,193,0.6579999999999999,39,11,8,2009
Wigan Athletic,1,1.5,0.95,500,21,0.92,27,1.76,13.16,36,38,4.79,64,182,3,1.47,2,38,3420,21.1,20,9,2.08,2,3,86,79,206,0.617,40,9,8,2009
Wolverhampton Wanderers,2,1.13,0.74,513,15,0.68,29,1.79,13.5,28,38,3.74,64,142,4,1.08,2,38,3420,21.1,18,9,1.47,0,2,90,56,225,0.7509999999999999,38,11,8,2009
