,squad,games_starts,minutes,clean_sheets_perc,losses,wins,goals_against_per90,games_subs,keepers_used,minutes_per_game,goals_against,shots_on_target_against,save_perc,games,draws,clean_sheets
0,Arsenal,38,"3,420",36.8,9,23,1.08,0,3,90,41,129,.682,38,6,14
1,Aston Villa,38,"3,420",39.5,8,17,1.03,0,1,90,39,186,.790,38,13,15
2,Birmingham City,38,"3,420",28.9,14,13,1.24,0,2,90,47,208,.774,38,11,11
3,Blackburn Rovers,38,"3,420",34.2,14,13,1.45,1,2,88,55,176,.688,39,11,13
4,Bolton Wanderers,38,"3,420",13.2,19,10,1.76,0,1,90,67,208,.678,38,9,5
5,Burnley,38,"3,420",7.9,24,8,2.16,1,2,88,82,234,.650,39,6,3
6,Chelsea,38,"3,420",47.4,6,27,0.84,1,3,88,32,113,.717,39,5,18
7,Everton,38,"3,420",28.9,9,16,1.29,0,1,90,49,170,.712,38,13,11
8,Fulham,38,"3,420",31.6,16,12,1.21,0,2,90,46,176,.739,38,10,12
9,Hull City,38,"3,420",18.4,20,6,1.97,0,2,90,75,236,.682,38,12,7
10,Liverpool,38,"3,420",44.7,11,18,0.92,0,1,90,35,139,.748,38,9,17
11,Manchester City,38,"3,420",28.9,7,18,1.18,1,3,88,45,157,.713,39,13,11
12,Manchester United,38,"3,420",50.0,7,27,0.74,0,3,90,28,146,.808,38,4,19
13,Portsmouth,38,"3,420",18.4,24,7,1.74,2,3,86,66,211,.687,40,7,7
14,Stoke City,38,"3,420",36.8,13,11,1.26,2,3,86,48,192,.750,40,14,14
15,Sunderland,38,"3,420",18.4,16,11,1.47,1,2,88,56,199,.719,39,11,7
16,Tottenham Hotspur,38,"3,420",34.2,10,21,1.08,1,3,88,41,178,.770,39,7,13
17,West Ham United,38,"3,420",21.1,19,8,1.74,1,2,88,66,193,.658,39,11,8
18,Wigan Athletic,38,"3,420",21.1,20,9,2.08,2,3,86,79,206,.617,40,9,8
19,Wolverhampton Wanderers,38,"3,420",21.1,18,9,1.47,0,2,90,56,225,.751,38,11,8
